term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
mensch,374,0.021,0.0012,0.0137,0.0054,0.0,0.0,0.0,0.0,0.0,0.0202,0.0244,0.0028,0.0,0.0001,0.0418,0.0162,0.0037,0.0001,0.0058,0.0134
leben,366,0.0131,0.0,0.0001,0.0001,0.0,0.0,0.0133,0.0065,0.0,0.0,0.014,0.0159,0.0,0.0016,0.0329,0.0001,0.0,0.0252,0.0064,0.0684
gesellschaft,356,0.0091,0.0141,0.0001,0.0,0.0088,0.0087,0.0,0.0334,0.0,0.0,0.0036,0.0205,0.0,0.0001,0.0104,0.0087,0.0163,0.0001,0.015,0.0
religion,311,0.0047,0.0079,0.0136,0.0,0.0,0.0,0.0344,0.0312,0.0,0.0,0.0,0.0,0.0215,0.0001,0.0171,0.0002,0.0009,0.0176,0.0186,0.0
kulturell,290,0.0015,0.0,0.0004,0.1225,0.0,0.0,0.0344,0.0,0.0,0.0,0.014,0.0,0.0,0.0001,0.0134,0.0001,0.0,0.0001,0.0056,0.0
politisch,285,0.0,0.0116,0.0001,0.0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0064,0.0027,0.0,0.0001,0.0,0.0076,0.0526,0.0001,0.0013,0.0
geschichte,270,0.0,0.0044,0.0001,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0134,0.0269,0.0,0.0001,0.0,0.0001,0.0268,0.0001,0.0,0.0
welt,269,0.024,0.0,0.0001,0.0148,0.0022,0.0004,0.0,0.0001,0.0,0.0357,0.0129,0.0,0.0,0.0001,0.0246,0.0001,0.0016,0.0001,0.0,0.006
historisch,258,0.0,0.034,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0266,0.0001,0.005,0.0
entwicklung,243,0.0072,0.0129,0.0078,0.0,0.0145,0.0,0.0,0.002,0.0,0.0,0.0,0.014,0.0159,0.0003,0.0107,0.0001,0.0077,0.0001,0.0058,0.0
sozial,241,0.0347,0.0,0.0001,0.0,0.0,0.0032,0.0024,0.0,0.0119,0.0,0.0036,0.0,0.0,0.0001,0.0036,0.0195,0.0014,0.0001,0.0233,0.0166
verschieden,216,0.0,0.0012,0.0064,0.0,0.0,0.0,0.0456,0.0,0.0,0.0,0.0039,0.0084,0.0,0.0148,0.0106,0.0001,0.0185,0.0001,0.0,0.008
gesellschaftlich,191,0.0125,0.0,0.0061,0.01,0.0,0.0171,0.0,0.0,0.0109,0.0,0.0,0.0051,0.0108,0.0001,0.0079,0.0064,0.0077,0.0001,0.0045,0.0
unterschiedlich,190,0.0175,0.0107,0.0001,0.0,0.0,0.0,0.0,0.0097,0.0,0.0,0.0063,0.0043,0.0002,0.0001,0.0,0.0134,0.0101,0.0001,0.0024,0.0
