term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
mensch,374,0.0201,0.0061,0.019,0.0081,0.0001
leben,366,0.0205,0.0045,0.0025,0.0149,0.0073
gesellschaft,356,0.0051,0.0141,0.005,0.0,0.0155
religion,311,0.0177,0.0075,0.011,0.0,0.0013
kulturell,290,0.0078,0.0026,0.003,0.0356,0.0021
politisch,285,0.0,0.0083,0.002,0.0,0.0232
geschichte,270,0.0,0.0105,0.0069,0.0,0.0123
welt,269,0.0198,0.0048,0.0,0.0043,0.0035
historisch,258,0.0,0.0121,0.006,0.0079,0.0067
entwicklung,243,0.0076,0.006,0.0076,0.0,0.0092
sozial,241,0.0153,0.0007,0.0039,0.0064,0.0086
verschieden,216,0.0089,0.0032,0.0112,0.0053,0.0033
gesellschaftlich,191,0.0048,0.0019,0.0039,0.0022,0.0123
unterschiedlich,190,0.0088,0.004,0.0029,0.0,0.0079
europäisch,172,0.0,0.0151,0.0,0.0,0.0
wissenschaft,157,0.0026,0.0061,0.0037,0.0106,0.0
natur,148,0.0115,0.0012,0.003,0.0,0.0023
wirtschaft,144,0.0002,0.0091,0.0011,0.0,0.0046
perspektive,143,0.0053,0.0034,0.0,0.0001,0.0076
vielfalt,143,0.0066,0.0015,0.0009,0.0151,0.0011
demokratie,142,0.0,0.0054,0.0,0.0,0.0104
handeln,137,0.0153,0.0004,0.0,0.0,0.0016
kunst,135,0.0,0.004,0.0087,0.0,0.005
frage,135,0.0079,0.0,0.0074,0.0,0.003
lernen,129,0.0006,0.0001,0.0074,0.0035,0.0078
herrschaft,126,0.0,0.0108,0.0,0.0,0.0
deutsch,123,0.0,0.0051,0.0113,0.0001,0.0
zusammenleben,121,0.0079,0.0016,0.004,0.004,0.0
europa,118,0.0,0.0113,0.0,0.0,0.0
interkulturell,114,0.0022,0.0009,0.0017,0.0106,0.0038
wert,111,0.0091,0.0,0.0016,0.0,0.0041
identität,108,0.0032,0.0,0.0001,0.0068,0.0061
mittelalter,105,0.0,0.0088,0.0,0.0,0.0
religiös,103,0.0079,0.0025,0.0,0.0,0.0007
begriff,102,0.0,0.0,0.0063,0.0113,0.0013
umwelt,101,0.003,0.0014,0.0013,0.0,0.0066
darstellung,100,0.0,0.0036,0.0051,0.0064,0.0
ethik,100,0.0114,0.0,0.0001,0.0,0.0
griechisch,98,0.0,0.004,0.0069,0.0,0.0016
technik,98,0.0072,0.0014,0.0009,0.0,0.0017
ziel,98,0.0,0.0016,0.0022,0.0028,0.0071
revolution,97,0.0,0.007,0.0,0.0025,0.0
zusammenhang,97,0.0018,0.0,0.0162,0.0001,0.0
demokratisch,96,0.0,0.0002,0.0017,0.004,0.0102
ethisch,90,0.0076,0.0,0.0046,0.0,0.0
form,89,0.0,0.0028,0.0007,0.0084,0.0014
menschlich,88,0.0073,0.0,0.001,0.0,0.0027
orientierung,86,0.0006,0.0015,0.0,0.0,0.0076
republik,86,0.0,0.007,0.0,0.0,0.0
mitin,86,0.002,0.0,0.0,0.0141,0.0
kontext,84,0.0026,0.0026,0.0002,0.0072,0.0
bereich,84,0.0,0.0,0.0038,0.0,0.0077
antike,84,0.0,0.006,0.0,0.0,0.0014
antik,83,0.0,0.0072,0.0,0.0,0.0
zentral,79,0.0,0.0,0.0044,0.0,0.0072
land,78,0.0,0.0014,0.0104,0.0025,0.0
römisch,76,0.0,0.0065,0.0,0.0,0.0
wandel,75,0.0,0.0058,0.0,0.0009,0.0002
nehmen,74,0.0009,0.0017,0.0001,0.0103,0.0006
menschenrecht,72,0.0076,0.0,0.0008,0.0001,0.0009
toleranz,70,0.0,0.0,0.0101,0.0027,0.0
deutschland,65,0.0,0.006,0.0,0.0,0.0
gestaltung,61,0.0,0.0,0.0,0.0,0.0072
musik,58,0.0,0.0,0.0081,0.0,0.0018
religionsunterricht,56,0.0,0.0,0.0106,0.0,0.0
kommunikation,56,0.0,0.0,0.0003,0.0074,0.003
sport,54,0.0,0.0,0.0114,0.0,0.0
spiel,52,0.0,0.0,0.0,0.0,0.0063
grundlegend,50,0.0,0.0,0.0072,0.0,0.0016
friedlich,49,0.0018,0.0004,0.0,0.0073,0.0
englisch,47,0.0,0.0,0.0089,0.0,0.0
setzen,44,0.0008,0.0,0.0074,0.0,0.0
jugend,37,0.0,0.0,0.0079,0.0,0.0
handlung,35,0.0001,0.0,0.0,0.0078,0.0
prägung,35,0.0,0.0002,0.0,0.0078,0.0
förderung,24,0.0,0.0,0.0,0.0068,0.0
