Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
bildung,kulturell,europäisch,leben,mensch
lernen,politisch,gesellschaft,kompetenz,historisch
land,vielfalt,europa,sozial,unterschiedlich
wissenschaft,bildung,religion,welt,verschieden
thema,demokratisch,geschichte,religion,kulturell
sport,demokratie,mittelalter,mitin,gesellschaft
religionsunterricht,beitrag,aspekt,ethik,entwicklung
spiel,interkulturell,herrschaft,gesellschaftlich,sozial
deutsch,wert,entwicklung,zusammenleben,perspektive
politisch,entwicklung,revolution,projekt,natur
englisch,globalisierung,antik,handeln,umwelt
musik,gesellschaft,wirtschaft,verschieden,religion
jugend,leben,republik,möglichkeit,welt
kunst,global,antike,gemeinschaft,handeln
geschichte,hintergrund,kompetenz,frage,politisch
griechisch,konflikt,inhalt,inhaltsbezogen,gesellschaftlich
wissen,auseinandersetzung,grundlage,kulturell,leben
bezug,unterschied,römisch,methodischdidaktisch,geschichte
funktion,sozial,beschreiben,bild,begriff
latein,menschenrecht,weimarer,engagement,lernende
