term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
natur,1266,0.005,0.0599,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leben,1009,0.0043,0.0105,0.0031,0.0,0.0,0.0174,0.0139,0.0034,0.0056,0.0074,0.0172,0.0182,0.0,0.0,0.0
entwicklung,938,0.0,0.008,0.0,0.0059,0.0,0.0003,0.0013,0.0266,0.0,0.0035,0.0,0.0,0.0,0.0,0.0461
bedeutung,700,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.014,0.0229,0.0,0.0
handeln,699,0.0,0.0097,0.0,0.0,0.0,0.0071,0.0058,0.0,0.0141,0.0036,0.0349,0.0,0.0,0.0,0.0
frage,656,0.0,0.0007,0.0,0.0,0.0,0.033,0.0004,0.0006,0.0,0.0,0.0,0.0064,0.0,0.0,0.0
welt,608,0.0099,0.0057,0.0,0.0,0.0,0.0072,0.0128,0.0,0.0016,0.0,0.0107,0.0179,0.0,0.0013,0.0
verantwortung,603,0.0,0.017,0.001,0.0,0.0,0.0,0.0006,0.0,0.0316,0.0,0.0,0.0,0.0,0.0031,0.0
tier,591,0.0028,0.0023,0.0,0.0617,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0
gesellschaft,588,0.0128,0.0015,0.0,0.0,0.0,0.0141,0.0,0.0142,0.0118,0.0,0.0,0.001,0.0,0.0008,0.0
verschieden,586,0.0,0.013,0.0,0.0,0.0018,0.0042,0.0049,0.0,0.0,0.0029,0.0,0.0135,0.0,0.0096,0.0062
unterschiedlich,519,0.0092,0.0118,0.0,0.0,0.0,0.0062,0.0009,0.0,0.0002,0.0188,0.0,0.0049,0.0,0.0,0.0
sozial,513,0.0,0.0041,0.0067,0.0,0.0163,0.0,0.0,0.0137,0.0039,0.0078,0.0055,0.0008,0.0,0.0065,0.0
