term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
wert,1230,0.0726,0.0238,0.0611,0.0125,0.0601,0.045,0.0244,0.0349,0.0362,0.0305
moralisch,357,0.048,0.0,0.0194,0.0001,0.0001,0.0148,0.0,0.0001,0.0074,0.0045
handeln,338,0.0132,0.0001,0.0084,0.005,0.0001,0.0577,0.0,0.0041,0.0009,0.0028
gesellschaftlich,270,0.0,0.0034,0.0001,0.0129,0.0001,0.0109,0.0225,0.0094,0.0,0.0268
ethisch,253,0.0136,0.0036,0.0001,0.0053,0.0001,0.018,0.007,0.0076,0.0056,0.0057
ethik,240,0.0264,0.0,0.0001,0.0089,0.0013,0.0155,0.0,0.0031,0.0039,0.0021
regel,189,0.002,0.0452,0.0001,0.0001,0.0001,0.0056,0.0,0.0056,0.0071,0.0
sozial,178,0.0025,0.0,0.011,0.0001,0.0001,0.0,0.0108,0.0128,0.0014,0.0182
frage,175,0.0,0.0062,0.0001,0.0112,0.0001,0.001,0.0046,0.019,0.0052,0.0043
gesellschaft,171,0.0086,0.0,0.0001,0.0075,0.0001,0.0,0.0,0.0088,0.0,0.023
bedeutung,169,0.0101,0.0174,0.0021,0.0001,0.0001,0.0053,0.0035,0.0075,0.0035,0.0016
mensch,162,0.0166,0.0,0.0001,0.0041,0.0001,0.0174,0.0041,0.0,0.0,0.0
verschieden,148,0.0045,0.0238,0.0001,0.0001,0.0001,0.0,0.0,0.0109,0.0009,0.0068
wertvorstellung,147,0.0073,0.0038,0.0048,0.0001,0.0001,0.0,0.0209,0.0,0.0,0.0096
religiös,140,0.0,0.0,0.0001,0.0007,0.0001,0.007,0.0091,0.0107,0.0029,0.0049
leben,132,0.0022,0.0,0.0001,0.0001,0.0001,0.0246,0.0,0.0038,0.0011,0.0002
entscheidung,130,0.0043,0.0072,0.0043,0.0047,0.0001,0.0,0.0,0.0193,0.0,0.0
religion,126,0.0021,0.0,0.0001,0.0001,0.0001,0.0,0.0056,0.0187,0.0,0.0032
historisch,115,0.0,0.0081,0.0001,0.0001,0.0001,0.0068,0.0057,0.0,0.0,0.0156
politisch,113,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0182,0.0,0.0,0.0206
entwicklung,107,0.0038,0.0059,0.0001,0.0053,0.0001,0.0017,0.0,0.0015,0.0,0.0169
unterschiedlich,106,0.0,0.0052,0.0042,0.0001,0.0001,0.0066,0.0,0.0109,0.0,0.0048
gerechtigkeit,106,0.0105,0.0,0.0001,0.0001,0.0001,0.011,0.0,0.0,0.0046,0.0
moral,103,0.0152,0.0,0.0001,0.005,0.0001,0.0,0.0,0.0042,0.0,0.0017
zusammenleben,102,0.0048,0.013,0.0001,0.0001,0.0001,0.0,0.003,0.0029,0.0039,0.0028
begründen,101,0.004,0.0,0.0001,0.0001,0.0001,0.0035,0.0,0.0001,0.0162,0.0017
aufgabe,100,0.0,0.0017,0.0001,0.0158,0.0135,0.0,0.0104,0.0,0.0,0.0087
welt,100,0.009,0.0112,0.005,0.0001,0.0001,0.0049,0.0,0.0016,0.0,0.0
sinn,96,0.0015,0.0,0.0001,0.0062,0.0001,0.0132,0.0,0.0063,0.0,0.0
wichtig,94,0.0038,0.0,0.0123,0.0035,0.0122,0.0096,0.0,0.0,0.0,0.0
kriterium,93,0.0,0.007,0.0001,0.0001,0.0001,0.0011,0.0,0.0009,0.0186,0.0
freiheit,93,0.0038,0.0,0.0001,0.0001,0.0001,0.0071,0.0,0.0046,0.0,0.0072
perspektive,88,0.0,0.0,0.0001,0.0001,0.0001,0.0059,0.0,0.006,0.0102,0.0003
lernen,86,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.005,0.0119,0.002,0.002
bne,85,0.0028,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0014,0.0128,0.0066
möglichkeit,85,0.0011,0.0042,0.0147,0.0001,0.0001,0.0053,0.0083,0.0,0.0001,0.0017
