term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
wert,1230,0.0762,0.0393,0.0669,0.0001,0.0598,0.0345,0.0193,0.0317,0.0567,0.0363,0.0083,0.0467,0.0369,0.0376,0.0494,0.0595,0.0454,0.0002,0.0027,0.0368
moralisch,357,0.0631,0.0073,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0386,0.0047,0.0,0.0,0.0001,0.0045,0.0001,0.0,0.0066,0.0002,0.0,0.0
handeln,338,0.0347,0.0,0.0001,0.0001,0.0001,0.0163,0.0,0.0117,0.0367,0.0,0.0,0.0161,0.0001,0.0074,0.0041,0.0001,0.014,0.0002,0.0,0.0066
gesellschaftlich,270,0.0,0.0018,0.005,0.0001,0.0001,0.0198,0.0468,0.0187,0.0,0.0134,0.0,0.0158,0.0001,0.0063,0.0031,0.008,0.0079,0.0002,0.0,0.0
ethisch,253,0.0112,0.0,0.0001,0.0001,0.0001,0.0111,0.0,0.0072,0.0372,0.0054,0.0044,0.0051,0.0176,0.0,0.0001,0.0001,0.0068,0.0002,0.027,0.0056
ethik,240,0.0278,0.0046,0.0001,0.0366,0.0001,0.0001,0.0,0.0147,0.0156,0.0056,0.0,0.0,0.0001,0.0081,0.0073,0.0,0.0,0.0002,0.0,0.0
regel,189,0.0,0.0,0.0001,0.0001,0.0001,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0272,0.0001,0.0,0.0,0.0126,0.0079,0.0838
sozial,178,0.0011,0.0,0.026,0.0001,0.0001,0.0,0.0197,0.0232,0.0005,0.0,0.0,0.0,0.0001,0.0246,0.0001,0.0062,0.0,0.0002,0.0,0.0
frage,175,0.0,0.0125,0.0057,0.0417,0.0001,0.0,0.0,0.0291,0.0,0.0041,0.0,0.0003,0.0145,0.009,0.0001,0.0002,0.0,0.0002,0.0023,0.0004
gesellschaft,171,0.0153,0.007,0.0001,0.0001,0.0001,0.0,0.0,0.0145,0.006,0.0275,0.0,0.0,0.0001,0.0,0.0135,0.0,0.0,0.0228,0.0,0.0
bedeutung,169,0.0032,0.0087,0.0056,0.0001,0.0001,0.0132,0.0,0.0093,0.0073,0.0,0.0,0.0011,0.0001,0.0129,0.0032,0.0001,0.0093,0.0002,0.0089,0.0199
mensch,162,0.0192,0.0,0.0001,0.0282,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0001,0.0,0.0001,0.0,0.0246,0.0002,0.0,0.01
verschieden,148,0.0061,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0173,0.0006,0.0,0.0,0.0045,0.0001,0.0,0.0001,0.0033,0.0035,0.0002,0.001,0.0379
wertvorstellung,147,0.0055,0.0,0.0001,0.0001,0.0001,0.0,0.0254,0.0,0.0081,0.0147,0.0,0.0037,0.0001,0.0,0.0001,0.0173,0.0,0.0002,0.0,0.005
religiös,140,0.0,0.0,0.0001,0.0001,0.0001,0.0049,0.0055,0.0,0.0076,0.0126,0.0034,0.0002,0.0675,0.0078,0.0001,0.0,0.0,0.0002,0.0,0.0043
leben,132,0.0123,0.0,0.0001,0.0001,0.0001,0.0064,0.004,0.0105,0.0015,0.0,0.0,0.0,0.0001,0.0076,0.0122,0.0,0.0056,0.0002,0.0,0.0
entscheidung,130,0.0052,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0062,0.0479,0.0001,0.0,0.0001,0.0086,0.0,0.0002,0.0,0.0
religion,126,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0138,0.0,0.0056,0.0,0.0,0.0784,0.0,0.0001,0.0,0.0,0.0111,0.0,0.0
historisch,115,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.022,0.0,0.0096,0.0134,0.0,0.0071,0.0001,0.0,0.0001,0.0,0.0065,0.0002,0.0,0.0064
politisch,113,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.04,0.0106,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0283,0.0,0.0
