term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
wert,1230,0.0202,0.0449,0.0453,0.0296,0.0381
moralisch,357,0.0,0.0145,0.0038,0.0001,0.0229
handeln,338,0.0,0.0134,0.0084,0.0001,0.0206
gesellschaftlich,270,0.018,0.006,0.0099,0.0001,0.0091
ethisch,253,0.0,0.0184,0.0017,0.0049,0.0031
fach,253,0.003,0.0034,0.0228,0.0194,0.0
ethik,240,0.0077,0.0078,0.0049,0.0028,0.0093
unterricht,203,0.0,0.0037,0.021,0.0136,0.0
regel,189,0.0,0.0022,0.0,0.0296,0.0052
sozial,178,0.0077,0.0025,0.0054,0.0001,0.0129
kompetenz,177,0.0009,0.0004,0.0127,0.0068,0.0103
frage,175,0.0054,0.0081,0.003,0.0103,0.0001
gesellschaft,171,0.0031,0.0068,0.0034,0.0042,0.007
bedeutung,169,0.0008,0.0058,0.007,0.0081,0.0051
reflektieren,168,0.0,0.0091,0.0055,0.0,0.0069
mensch,162,0.0038,0.0071,0.0026,0.0,0.0068
verschieden,148,0.0,0.0049,0.0,0.0109,0.0071
wertvorstellung,147,0.0118,0.0054,0.0033,0.0021,0.0
religiös,140,0.0027,0.0006,0.0015,0.0176,0.0046
beschreiben,140,0.0,0.006,0.0001,0.0001,0.0113
erläutern,131,0.0,0.0059,0.0,0.003,0.0077
entscheidung,130,0.0034,0.01,0.0015,0.0,0.0008
religion,126,0.0,0.0057,0.0023,0.013,0.0
historisch,115,0.0143,0.0,0.004,0.0021,0.0016
politisch,113,0.0238,0.0,0.0,0.0,0.0
bezug,113,0.0,0.0062,0.0073,0.0016,0.0009
gerechtigkeit,106,0.0022,0.0036,0.0,0.0001,0.0076
unterschiedlich,106,0.0,0.0061,0.0,0.0036,0.0043
zusammenleben,102,0.0,0.0059,0.0001,0.0085,0.0
beurteilen,101,0.0077,0.0055,0.0,0.0,0.0011
begründen,100,0.0,0.0098,0.0,0.0,0.0
aufgabe,100,0.0041,0.0007,0.014,0.0015,0.0
welt,100,0.0,0.0005,0.0007,0.005,0.0091
analysieren,97,0.0003,0.0097,0.0,0.0,0.0
sinn,96,0.0,0.0001,0.0122,0.0023,0.0036
kriterium,93,0.0094,0.0046,0.0,0.0,0.0
möglich,90,0.0,0.0014,0.0,0.0046,0.0075
lernen,86,0.0,0.0022,0.0092,0.0022,0.001
bne,85,0.0,0.0026,0.0038,0.0,0.0064
möglichkeit,85,0.0059,0.0014,0.0,0.0036,0.0036
argument,82,0.0011,0.0075,0.0,0.0,0.0
handlung,82,0.0,0.007,0.0,0.0,0.001
toleranz,81,0.0,0.002,0.0108,0.0012,0.0
gewissen,81,0.0,0.0062,0.0,0.0029,0.0
auseinandersetzung,78,0.0,0.0023,0.0077,0.002,0.001
umgang,77,0.0039,0.0009,0.0001,0.0001,0.0062
sachverhalt,74,0.0074,0.0032,0.0,0.0015,0.0
werturteil,72,0.015,0.0,0.0,0.0,0.0
bewerten,70,0.0068,0.0035,0.0,0.0,0.0
beitrag,66,0.003,0.0,0.0101,0.0,0.0
miteinander,65,0.001,0.0007,0.0,0.0001,0.0069
relevant,64,0.0,0.0063,0.0,0.0,0.0
unterrichtsfach,64,0.0,0.0006,0.0072,0.0048,0.0
europäisch,61,0.0134,0.0,0.0,0.0,0.0001
formulieren,61,0.0062,0.0011,0.0029,0.0012,0.0
funktion,61,0.0,0.0003,0.0,0.0,0.008
bestimmt,60,0.0,0.0,0.002,0.0072,0.0026
grundgesetz,57,0.0,0.0025,0.0069,0.0,0.0
bildung,56,0.0,0.0,0.0114,0.0,0.0
kulturell,55,0.0,0.0,0.0032,0.0064,0.002
sicherheit,55,0.0015,0.0,0.0,0.0064,0.0031
nehmen,51,0.0093,0.0,0.0007,0.0001,0.0
iii,49,0.0095,0.0,0.0,0.0,0.0
ökonomisch,49,0.0098,0.0,0.0,0.0,0.0
weltanschauung,47,0.0,0.0016,0.0,0.0067,0.0
leisten,46,0.0013,0.0,0.0078,0.0,0.0
weltanschaulich,45,0.0,0.0013,0.0,0.0073,0.0
wirtschaftlich,45,0.0069,0.0,0.0,0.0037,0.0
ethikunterricht,44,0.0,0.0004,0.0079,0.0,0.0
kerncurriculum,41,0.0,0.0,0.0012,0.0081,0.0
ritual,39,0.0,0.0,0.0,0.0088,0.0002
geschichte,36,0.0068,0.0,0.0,0.0,0.0
sowohl,33,0.0,0.0,0.0067,0.0001,0.0
einsicht,30,0.0,0.0001,0.0,0.0069,0.0
beziehungsweise,24,0.0,0.0,0.0,0.0062,0.0
