Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
politisch,politisch,inhalt,prüfen,ethisch,politisch,frage
entwickeln,sozial,mensch,sinnvorstellung,mensch,vertreten,welt
ökonomisch,perspektive,bedeutung,ökonomisch,position,entscheidung,wissenschaft
urteilsfähigkeit,handeln,begriff,beschreiben,fähigkeit,position,problem
gesellschaftlich,ökonomisch,philosophie,rationalität,moralisch,kriterium,technik
interesse,naturwissenschaftlich,bezug,überzeugung,hinaus,unterricht,notwendig
grundlage,rationalität,modell,wandel,maß,reflektiert,menschlich
fähigkeit,bürger,religiös,religiös,urteil,formulieren,lernen
demokratisch,fähigkeit,religion,verschieden,erfassen,ökologie,ethik
begründeter,lassen,psychologisch,erhöht,rationalität,selbstständig,philosophie
maßstab,sinnvorstellung,beziehen,erklären,wesentlich,umsetzungsmöglichkeit,mensch
wertbezogen,entscheidung,erkenntnis,grundlegend,lernen,spannungsverhältnis,wirtschaft
reflektieren,wissen,rationalität,analyse,handeln,ökonomie,kompetenz
denkweise,ermöglichen,strategie,aufklärung,bereich,nennen,religion
medium,gesellschaftlich,psychologie,handelnd,philosophisch,sinn,aufgabe
toleranz,verhalten,kompetenz,vorstellung,rahmen,wirtschaftlich,behandeln
vertreten,erkennen,grundlage,lage,argumentieren,einnehmen,auseinandersetzung
rolle,begründet,entwickeln,vernunft,geltungsansprüch,urteil,stellen
digital,blick,form,stellen,zunehmend,reflektieren,toleranz
bereitschaft,methode,theorie,welt,frage,diskurse,wesen
