Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
genetisch,sachverhalt,international,revolution,entwicklung,verhalten,historisch,variabilität,evolution,konflikt,wirkung,gesellschaftlich
fortpflanzung,begründen,folge,französisch,wandel,ultimat,verschieden,genetisch,endogen,dar,kommunikation,folge
gewalt,zusammenhang,historisch,demokratie,sozial,proximat,geschichte,bedeutung,armut,stellen,zusammenhang,politisch
selektion,modell,auswirkung,deutsch,gesellschaft,erklärung,konflikt,grundlegend,exogen,folge,funktion,konflikt
entwicklung,iii,krieg,politisch,deutschland,kausal,wirkung,mutation,mensch,ziel,menschlich,prozeß
führen,darstellung,akteur,sozial,politisch,funktional,vorurteil,folge,reichtum,beurteilungskompetenz,entwicklung,problem
variation,geeignet,globalisierung,europa,wirtschaftlich,adaptiv,lernen,niveau,hunger,international,ökologisch,sozial
mensch,bestimmt,global,bedeutung,gesellschaftlich,abhängigkeit,zusammenhang,symptom,merkmal,interesse,mensch,zusammenleben
information,theorie,politisch,gesellschaft,folge,verschieden,text,leistungskurs,fitness,benennen,nachhaltig,regional
form,datum,frieden,form,historisch,sucht,funktion,erhöht,sozialverhalten,akteur,bewertung,medium
ausgewählt,position,aktuell,ziel,unterschiedlich,tier,fähigkeit,nennen,verhalten,form,behandlung,auswirkung
evolutiv,hypothese,prozeß,scheitern,industrialisierung,konfrontation,form,gen,auswirkung,europäisch,phänomen,ökonomisch
bedeutung,sachverhalte,ereignis,weltkrieg,auswirkung,wert,kontext,anwendung,stammbaum,unterschiedlich,nutzung,verschieden
wichtig,material,grenze,republik,ökonomisch,verhaltensweise,frage,erkrankung,primat,terrorismus,erkenntnisgewinnung,nutzen
organismus,experiment,herausforderung,kalt,europäisch,gehirn,antisemitismus,rekombination,heutig,verschieden,nachhaltigkeit,erörtern
basiskonzept,erfassen,migration,krieg,ungleichheit,blut,struktur,erkenntnis,unternehmen,bedeutung,ökosystem,grund
wahrnehmung,stellen,national,jugendkriminalität,migration,reproduktiv,aussage,bedingt,zunehmend,analysekompetenz,veränderung,aktuell
erfahrung,nachvollziehbar,struktur,dar,interesse,süchte,sozial,erblich,reproduktiv,bne,klimawandel,differenziert
material,ergebnis,welt,weimarer,system,kostennutzenanalyse,deutung,grundkurs,weltwirtschaft,krieg,individuell,exemplarisch
innerhalb,undod,entwicklung,aufklärung,merkmal,fitness,aggression,modifikation,unterentwicklung,grund,treibhauseffekt,zusammenhang
