term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
folge,433,0.0,0.0,0.0001,0.0125,0.0395,0.0,0.0,0.0001,0.0141,0.0138,0.025,0.0219,0.0001,0.0001,0.0175,0.0325,0.0001,0.0146,0.0073,0.0203
politisch,311,0.0,0.0,0.0001,0.0223,0.0001,0.0,0.0152,0.0001,0.0,0.0043,0.0,0.0317,0.0001,0.0001,0.0028,0.0,0.0001,0.0,0.0001,0.0001
historisch,295,0.0,0.0,0.0001,0.0006,0.0001,0.0,0.0123,0.0001,0.0,0.0001,0.0,0.0064,0.0001,0.0001,0.0329,0.0965,0.0001,0.0,0.0001,0.0001
konflikt,280,0.0,0.0,0.0031,0.0,0.0001,0.0,0.0324,0.0001,0.0,0.0571,0.0,0.0128,0.0001,0.0001,0.0021,0.0,0.0001,0.0152,0.0001,0.0001
entwicklung,273,0.0,0.0063,0.0001,0.0116,0.0001,0.0,0.0185,0.0001,0.0181,0.0044,0.009,0.0154,0.0001,0.0001,0.0134,0.0,0.0001,0.0,0.0174,0.0001
auswirkung,235,0.0,0.0,0.0001,0.0105,0.0001,0.0276,0.0,0.0001,0.0018,0.0,0.0062,0.012,0.0001,0.0343,0.0232,0.0,0.0001,0.007,0.0001,0.0034
gesellschaftlich,226,0.0,0.0,0.0001,0.0074,0.0001,0.0001,0.0133,0.0063,0.0,0.0,0.0,0.0292,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
sozial,226,0.0,0.0003,0.0001,0.0045,0.0021,0.0113,0.0084,0.0001,0.0058,0.0106,0.0,0.0227,0.008,0.0001,0.0,0.0016,0.0001,0.0002,0.0001,0.0045
bedeutung,222,0.0047,0.0001,0.0001,0.0109,0.0191,0.0,0.0,0.0001,0.0162,0.0067,0.0413,0.0077,0.0001,0.0001,0.0005,0.0,0.0001,0.0,0.0001,0.0287
zusammenhang,217,0.0,0.0414,0.0001,0.0,0.0107,0.0,0.0,0.0001,0.0033,0.0075,0.0,0.0043,0.0107,0.0001,0.0084,0.0,0.0001,0.0321,0.0001,0.0001
international,199,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0127,0.0,0.0107,0.0001,0.0001,0.0389,0.0,0.0158,0.0,0.0001,0.0001
revolution,193,0.0,0.0,0.0001,0.0474,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0039,0.0,0.0001,0.0,0.0001,0.0001
deutschland,169,0.0,0.0,0.0001,0.02,0.0256,0.0,0.0,0.0001,0.0,0.0,0.0,0.0127,0.0001,0.0001,0.0002,0.0,0.0001,0.0,0.0001,0.0001
verschieden,169,0.0,0.0,0.0001,0.0,0.0001,0.0316,0.0303,0.0069,0.0,0.0038,0.0031,0.0083,0.0001,0.0208,0.0047,0.0001,0.0001,0.0,0.0001,0.0054
form,163,0.0046,0.0,0.0066,0.0035,0.0001,0.0,0.0196,0.0162,0.0,0.0163,0.0,0.0038,0.0001,0.0185,0.0059,0.0094,0.0001,0.0012,0.0001,0.0091
gesellschaft,162,0.0,0.0,0.0001,0.01,0.0001,0.0041,0.0034,0.0001,0.0,0.0,0.0,0.0157,0.0001,0.0001,0.0,0.0082,0.0111,0.0,0.0001,0.0001
unterschiedlich,158,0.0036,0.0061,0.0001,0.0013,0.0001,0.0,0.0001,0.0001,0.0,0.0058,0.0,0.0106,0.0001,0.0187,0.0,0.0,0.0048,0.0082,0.0216,0.0254
mensch,151,0.0394,0.0,0.0155,0.007,0.006,0.0,0.0,0.0001,0.0001,0.0035,0.0279,0.0,0.0001,0.0002,0.0,0.0073,0.0001,0.0035,0.0042,0.0001
krieg,147,0.0,0.0,0.0001,0.0126,0.0001,0.0,0.0061,0.0001,0.0,0.0112,0.0,0.0,0.0001,0.0001,0.0236,0.0,0.0001,0.0,0.0001,0.0028
wirkung,146,0.0,0.011,0.0001,0.0,0.0001,0.0018,0.0085,0.0001,0.0,0.0,0.0,0.0024,0.0001,0.0001,0.0059,0.037,0.0001,0.0222,0.0001,0.0001
ökonomisch,137,0.0,0.0,0.0001,0.0004,0.0001,0.0,0.0,0.0001,0.0,0.013,0.0024,0.0166,0.0001,0.0001,0.0,0.0,0.0075,0.0001,0.0001,0.0001
akteur,132,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0084,0.0,0.0037,0.0001,0.0001,0.0348,0.0038,0.0001,0.0,0.0001,0.0001
dar,132,0.0,0.0,0.0001,0.0052,0.0001,0.0,0.0,0.0001,0.0,0.0432,0.0,0.0022,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
prozeß,132,0.0,0.0048,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0089,0.0013,0.0001,0.0017,0.0412,0.0001,0.0,0.0001,0.0001
stellen,131,0.0,0.011,0.0001,0.0051,0.0001,0.0,0.0,0.0001,0.0,0.0352,0.0,0.0,0.0001,0.0001,0.0,0.004,0.0001,0.0,0.0001,0.0001
möglichkeit,128,0.0,0.0,0.0001,0.005,0.0001,0.0052,0.009,0.0001,0.0006,0.0006,0.0001,0.0097,0.0001,0.0001,0.0081,0.0003,0.0001,0.0,0.0001,0.0114
wirtschaftlich,127,0.0,0.0,0.0001,0.0072,0.0001,0.0,0.0054,0.0001,0.0,0.0102,0.0,0.0118,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
wandel,121,0.0,0.0,0.0001,0.0063,0.0001,0.0,0.0,0.0001,0.0025,0.0,0.0,0.0134,0.0001,0.0001,0.0057,0.0,0.0001,0.0,0.0001,0.0001
global,112,0.0,0.0,0.0001,0.0029,0.0001,0.0,0.0,0.0001,0.0,0.0,0.009,0.0153,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
weltkrieg,112,0.0,0.0,0.0001,0.0228,0.0132,0.0,0.0016,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0038,0.0,0.0001,0.0,0.0001,0.0001
gewalt,107,0.0,0.0,0.0001,0.0,0.0001,0.005,0.0041,0.2498,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001
merkmal,106,0.0044,0.0,0.0001,0.0,0.0001,0.0,0.0078,0.0001,0.0087,0.0061,0.0,0.0057,0.0001,0.0001,0.0043,0.0,0.0161,0.0,0.0001,0.0001
verhalten,106,0.0737,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
funktion,105,0.0,0.0011,0.0001,0.0026,0.0001,0.0145,0.0143,0.0001,0.0,0.0,0.0,0.0029,0.0261,0.0001,0.0,0.0116,0.0001,0.0,0.0001,0.0001
genetisch,103,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0577,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
ziel,103,0.0,0.0,0.0001,0.0036,0.0001,0.0,0.0,0.0001,0.0,0.0181,0.0,0.001,0.0001,0.0001,0.012,0.0,0.0001,0.0005,0.0141,0.0001
deutsch,102,0.0,0.0,0.0001,0.0219,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0031,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
struktur,102,0.0,0.0073,0.0001,0.0013,0.0001,0.009,0.0045,0.0001,0.0085,0.0014,0.0,0.0025,0.0001,0.0001,0.009,0.0063,0.0001,0.0,0.0001,0.0001
erörtern,101,0.0,0.0111,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0082,0.0001,0.0118,0.0073,0.0,0.0032,0.0,0.0001,0.0001
sachverhalt,97,0.0,0.041,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0037,0.0,0.0001,0.0,0.0001,0.0001
europäisch,96,0.0,0.0,0.0001,0.0076,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0109,0.0001,0.0001,0.0011,0.0,0.0001,0.0,0.0001,0.0001
inhalt,95,0.0,0.0,0.0001,0.005,0.0001,0.0125,0.0101,0.0001,0.0,0.001,0.0,0.0014,0.0001,0.0111,0.0065,0.0,0.0001,0.0,0.0253,0.0001
ausgewählt,94,0.0055,0.0017,0.0001,0.0,0.0161,0.0,0.0,0.0001,0.0,0.0,0.0,0.0073,0.0001,0.0001,0.0006,0.015,0.0001,0.0,0.0001,0.0001
darstellung,92,0.0048,0.0282,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0031,0.0039,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
veränderung,92,0.0247,0.0,0.0001,0.0013,0.0001,0.0,0.0,0.0001,0.005,0.0,0.0,0.0038,0.0013,0.0001,0.0052,0.0026,0.0001,0.0,0.0001,0.0001
demokratie,88,0.0,0.0,0.0001,0.0033,0.0714,0.0,0.0,0.0001,0.0,0.0,0.0,0.002,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
aktuell,86,0.0,0.0,0.0001,0.0019,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0121,0.0001,0.0001,0.0,0.006,0.0001,0.0,0.0001,0.0001
interesse,86,0.0,0.0,0.0001,0.0015,0.0001,0.0,0.0045,0.0001,0.0,0.0175,0.0,0.0022,0.0001,0.0001,0.0,0.0149,0.0001,0.0,0.0001,0.0001
staat,85,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0056,0.0,0.0095,0.0001,0.0001,0.0057,0.0,0.0001,0.0,0.0001,0.0001
geschichte,82,0.0,0.0012,0.0001,0.0016,0.0034,0.0,0.0196,0.0001,0.0,0.0,0.0,0.0014,0.0001,0.0001,0.0087,0.0036,0.0013,0.0,0.0001,0.0042
begründen,81,0.0,0.0362,0.0001,0.0,0.0048,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
ereignis,80,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0077,0.0356,0.0001,0.0039,0.0001,0.0001
frage,79,0.0,0.0039,0.0001,0.0065,0.0001,0.0,0.0151,0.0001,0.0,0.0036,0.0,0.0,0.0001,0.0001,0.0,0.0103,0.0001,0.0,0.0001,0.0001
französisch,79,0.0,0.0,0.0001,0.0202,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0011,0.0,0.0001,0.0001
migration,79,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0089,0.0001,0.0069,0.0,0.0,0.0258,0.0,0.0001,0.0001
welt,79,0.0,0.0,0.0001,0.0061,0.0001,0.0072,0.0,0.0001,0.0,0.0,0.0,0.003,0.0001,0.0048,0.0,0.0,0.0001,0.0,0.0001,0.035
leben,74,0.0,0.0,0.006,0.0064,0.0017,0.0,0.0,0.0117,0.0093,0.0,0.0,0.0018,0.0001,0.0064,0.0009,0.0,0.0001,0.0,0.0085,0.0042
modell,73,0.0,0.0347,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001
