topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,9,0.1403,200,57.9169
2,2,0.0912,110,27.3537
3,20,0.0855,118,58.1616
4,12,0.066,64,73.4182
5,18,0.06,70,62.4156
6,1,0.0592,68,72.3259
7,11,0.055,72,48.6727
8,6,0.0531,62,102.197
9,3,0.051,65,50.4438
10,13,0.0467,51,76.0946
11,10,0.0415,33,81.6894
12,8,0.0374,35,132.3405
13,17,0.0359,33,77.1734
14,16,0.0344,39,48.7765
15,14,0.031,36,142.2208
16,4,0.0296,28,64.7033
17,19,0.0242,22,83.9973
18,15,0.0218,17,67.6019
19,5,0.0188,16,88.9159
20,7,0.0174,16,65.7266
