topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,12,0.1239,38,33.2324
2,13,0.0948,26,23.6576
3,14,0.0866,27,31.7983
4,5,0.0857,25,29.2044
5,19,0.0803,26,37.6419
6,15,0.0768,25,14.2024
7,6,0.0734,21,22.2746
8,9,0.057,14,29.0843
9,10,0.0568,17,19.4056
10,20,0.0554,16,66.8504
11,11,0.053,13,23.3537
12,8,0.037,10,25.5456
13,17,0.0369,11,16.7262
14,16,0.0199,5,32.8146
15,3,0.0169,3,25.4721
16,4,0.0141,3,28.247
17,2,0.012,2,31.5029
18,1,0.008,1,63.7359
19,7,0.0063,1,18.9745
20,18,0.0055,1,46.6027
