rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,struktur,148,42.77195591406454,0.03363399017993374
2,stoff,61,41.45545230634687,0.032598749483838674
3,halle,46,33.60348515413983,0.026424306897647448
4,fachlehrplan,25,27.6869254491357,0.0217717838421922
5,energieumwandlung,69,27.12067424200342,0.021326508728322553
6,erkennen,25,25.45642121392194,0.020017813140122638
7,funktion,187,24.09522697316821,0.01894742969031087
8,information,45,23.44037865200534,0.01843248569178085
9,mitwirken,27,23.102177576928653,0.018166539199625416
10,regelung,22,21.83211038700173,0.017167814065809136
11,angepasstheit,839,21.349831340262334,0.0167885709759067
12,steuerung,21,19.54032053062888,0.015365651039208578
13,bildung,80,19.334599050082986,0.015203880689721082
14,basiskonzept,167,18.9364576312595,0.014890799740188665
15,anpassung,357,17.936449745421342,0.014104437398477818
16,leitung,23,17.1685838197858,0.013500621312671015
17,kompartimentierung,18,17.146031386030646,0.013482887067901418
18,kommunikation,65,14.511397296198503,0.01141112637303933
19,ökologie,32,14.448619675111964,0.01136176080520356
20,system,65,13.649961569984805,0.010733731099970036
