term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
angepasstheit,834,0.0275,0.001,0.0511,0.0202,0.0391,0.0463,0.0691
anpassung,353,0.0132,0.0448,0.0659,0.0232,0.0054,0.0058,0.0091
beschreiben,254,0.0146,0.0001,0.0062,0.0036,0.0353,0.0034,0.0079
entwicklung,210,0.0032,0.0067,0.0001,0.0098,0.0206,0.0134,0.0094
erläutern,201,0.0272,0.0075,0.0046,0.0024,0.0156,0.0046,0.0
erklären,200,0.0055,0.007,0.0102,0.0024,0.0173,0.0015,0.0174
lebensraum,187,0.003,0.0001,0.0001,0.0094,0.0111,0.0309,0.0
organismus,187,0.0026,0.0001,0.0001,0.0001,0.0251,0.0,0.02
funktion,187,0.0001,0.0001,0.0001,0.0065,0.021,0.0092,0.0146
variabilität,181,0.0021,0.0001,0.0001,0.0001,0.0034,0.0,0.0393
tier,164,0.0,0.0001,0.0001,0.0055,0.0,0.0419,0.0
basiskonzept,162,0.0019,0.0001,0.005,0.0001,0.004,0.015,0.0185
pflanze,160,0.0034,0.0001,0.0001,0.009,0.0077,0.0265,0.0007
lebewesen,154,0.0008,0.0001,0.0011,0.0001,0.0109,0.014,0.0132
mensch,150,0.003,0.0043,0.0001,0.0001,0.0173,0.0129,0.0041
struktur,148,0.006,0.0001,0.0001,0.0001,0.0147,0.0074,0.0111
art,147,0.0019,0.0124,0.0198,0.0101,0.005,0.0024,0.0075
zusammenhang,145,0.0169,0.002,0.0001,0.0001,0.0131,0.0,0.0088
umwelt,130,0.0013,0.0001,0.0001,0.0001,0.0171,0.0019,0.0122
verschieden,123,0.0113,0.0013,0.0056,0.0001,0.0091,0.0083,0.0018
evolution,118,0.0017,0.0136,0.0068,0.0001,0.0035,0.0044,0.0106
ökosystem,117,0.008,0.0001,0.0001,0.0124,0.0077,0.0087,0.0
selektion,102,0.0009,0.0068,0.0001,0.0001,0.0,0.0014,0.0197
leben,98,0.0,0.0064,0.0001,0.0001,0.0,0.0194,0.0037
inhalt,98,0.0027,0.007,0.0168,0.0084,0.0085,0.0001,0.0
bedeutung,94,0.0039,0.005,0.0001,0.0107,0.0058,0.0056,0.0015
