rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,ethik,187,48.312190746563026,0.054267755541905376
2,freiheit,73,39.37385277889213,0.044227566258727334
3,mensch,259,28.991088676614297,0.03256489281244466
4,verantwortung,38,25.004233774676035,0.02808656831802449
5,ethisch,67,23.945503013009333,0.02689732516280882
6,themenfelder,18,19.016660304536277,0.02136089166487337
7,perspektive,30,18.984546966070624,0.021324819634717867
8,religion,63,17.655866881800197,0.01983234982756644
9,argumentieren,10,15.962741966308208,0.017930509161763784
10,rahmenthema,21,15.835061010309838,0.01778708865442591
11,grundlegend,28,15.717413172163699,0.017654938072515013
12,allgemein,12,14.170710439065362,0.015917569418377783
13,menschenbilder,25,13.761214043176334,0.015457593375809727
14,philosophisch,116,13.549405913893313,0.015219675127763049
15,weltanschauung,28,13.466490148714321,0.015126538128472167
16,moral,12,11.205200438287354,0.012586493569975165
17,angewandte,13,11.010550949080056,0.01236784915055583
18,psychologie,9,10.563492500183413,0.011865680686597437
19,gesellschaft,75,10.15255153090259,0.011404081994456326
20,leben,34,10.033887375583234,0.01127078981140798
