term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
sozial,228,0.0002,0.0091,0.019,0.0099,0.0001,0.0154,0.009,0.0001,0.0306,0.0201
wunsch,195,0.0487,0.0031,0.0004,0.0002,0.0633,0.0004,0.0053,0.0208,0.0,0.0165
mensch,184,0.0002,0.0001,0.0001,0.0002,0.0019,0.0001,0.0167,0.0599,0.0073,0.0155
leben,146,0.0253,0.0017,0.0063,0.0349,0.0003,0.0008,0.0104,0.0001,0.0123,0.0144
reflektieren,142,0.0002,0.0001,0.0092,0.0002,0.0001,0.0227,0.0066,0.0001,0.021,0.006
beschreiben,137,0.0002,0.0078,0.0312,0.0002,0.0332,0.005,0.0048,0.0066,0.0002,0.0031
interesse,128,0.0002,0.0178,0.02,0.0002,0.0001,0.0226,0.0,0.0001,0.0052,0.0056
unterschiedlich,120,0.0002,0.0062,0.0099,0.0002,0.0001,0.0031,0.0075,0.0001,0.0241,0.0048
fähigkeit,119,0.0002,0.0001,0.0001,0.0054,0.0001,0.0374,0.0003,0.0025,0.0165,0.0
handeln,110,0.0067,0.0223,0.0024,0.0002,0.0001,0.0271,0.0064,0.0001,0.0,0.0001
lernende,104,0.0002,0.0001,0.0001,0.0002,0.0001,0.0245,0.0,0.0001,0.0242,0.0
gefühl,103,0.0002,0.0008,0.0099,0.0002,0.0002,0.0215,0.0,0.0001,0.0163,0.0016
kompetenz,102,0.0002,0.0003,0.0036,0.0427,0.0307,0.0112,0.0054,0.0001,0.0,0.0007
verschieden,94,0.0002,0.0001,0.0042,0.0002,0.0021,0.0037,0.0093,0.0103,0.0071,0.0082
gesellschaftlich,90,0.0002,0.0001,0.0001,0.0002,0.0001,0.0031,0.0138,0.0001,0.0154,0.0047
familie,80,0.0002,0.0001,0.0004,0.0002,0.0124,0.0001,0.003,0.0001,0.0055,0.0179
wirtschaftlich,75,0.0002,0.0153,0.0001,0.0002,0.0139,0.0001,0.0152,0.0001,0.0,0.0
erkennen,73,0.0108,0.0001,0.0001,0.0002,0.0001,0.0264,0.0055,0.0002,0.0004,0.0
freiheit,73,0.0002,0.0001,0.0064,0.0002,0.0001,0.0001,0.0066,0.0001,0.0,0.0182
möglichkeit,71,0.0002,0.0001,0.009,0.0002,0.0001,0.0015,0.0055,0.0002,0.0064,0.0095
regel,71,0.0046,0.0001,0.0095,0.0002,0.0001,0.0001,0.0001,0.0001,0.0172,0.0029
entwicklung,71,0.0002,0.0015,0.0001,0.0002,0.0001,0.0001,0.0237,0.0043,0.0,0.0
erläutern,71,0.0002,0.0001,0.0022,0.0002,0.0001,0.0001,0.0031,0.0078,0.0001,0.0197
frage,70,0.0002,0.0001,0.0099,0.0248,0.0001,0.0001,0.012,0.0055,0.0001,0.0001
