rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,sozial,228,75.90612810417738,0.030574914609104525
2,lernende,104,60.033964092020256,0.024181622374946966
3,unterschiedlich,120,59.94496073514906,0.024145771909322825
4,reflektieren,142,52.16195484063064,0.021010784701169315
5,regel,71,42.822925500228315,0.01724903276168383
6,fähigkeit,119,41.000610172685946,0.016515005919292378
7,gefühl,103,40.3750928670127,0.016263048156656554
8,gesellschaft,60,38.524366564899296,0.015517577401327292
9,gesellschaftlich,90,38.19252726637365,0.01538391285447487
10,nehmen,59,32.204338847462914,0.012971876380685234
11,anforderung,31,31.936720367921154,0.012864079917288
12,sozialkompetenz,37,31.58428261467858,0.012722118332900146
13,gemeinschaft,44,31.467080643653684,0.01267490949290785
14,leben,146,30.53886403358243,0.012301024744726113
15,voraussetzung,38,29.96280415500166,0.012068988385643678
16,realität,28,28.777937518782075,0.011591725256428726
17,emotion,36,26.40033471730253,0.010634029159351629
18,entwickeln,68,26.242131483720343,0.010570305050660155
19,interpretation,24,24.81683820687637,0.009996198304329657
20,psychisch,27,24.81541275724908,0.00999562413460552
