term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
sozial,228,0.0001,0.0,0.0379,0.0003,0.007,0.0125,0.017,0.0009,0.0001,0.0001,0.0012,0.0256,0.0002,0.0231,0.012,0.0001,0.0239,0.0428,0.0078,0.0002
wunsch,195,0.0043,0.0155,0.0008,0.0003,0.0091,0.0001,0.0367,0.0009,0.0001,0.0632,0.0012,0.0136,0.0002,0.0001,0.0217,0.0001,0.0002,0.0,0.0222,0.0001
mensch,184,0.0001,0.052,0.0,0.0003,0.0003,0.0664,0.0045,0.001,0.0159,0.0001,0.0012,0.0033,0.0043,0.0001,0.0001,0.0493,0.0002,0.0025,0.004,0.0001
leben,146,0.0021,0.0044,0.0106,0.0003,0.0134,0.0394,0.0297,0.0009,0.0001,0.0098,0.0012,0.0043,0.0002,0.0043,0.0001,0.0001,0.0002,0.0017,0.0198,0.0004
interesse,128,0.0465,0.0072,0.0001,0.0459,0.0002,0.0001,0.0,0.0009,0.0002,0.0207,0.0012,0.0196,0.0002,0.0018,0.0217,0.0001,0.0002,0.0235,0.0001,0.0063
unterschiedlich,120,0.0344,0.0161,0.0193,0.0003,0.0002,0.0001,0.0,0.0009,0.0301,0.0001,0.0011,0.0001,0.0002,0.0,0.0001,0.0092,0.0002,0.0113,0.0001,0.027
fähigkeit,119,0.0001,0.0019,0.0527,0.0003,0.0002,0.0001,0.0,0.0009,0.0148,0.0001,0.0012,0.0171,0.0002,0.0,0.0001,0.0049,0.0002,0.0,0.0001,0.0124
handeln,110,0.0001,0.0,0.0265,0.0003,0.0002,0.0001,0.0001,0.0009,0.0119,0.0001,0.0012,0.0001,0.0002,0.0348,0.0183,0.0001,0.0002,0.0003,0.0048,0.0001
gefühl,103,0.0201,0.0,0.0218,0.0003,0.0002,0.0021,0.0175,0.0009,0.0001,0.0001,0.0012,0.0105,0.0002,0.0,0.0001,0.0001,0.0002,0.0121,0.0051,0.0003
verschieden,94,0.0001,0.0144,0.0018,0.0003,0.0002,0.0024,0.015,0.0009,0.0109,0.0092,0.0011,0.0063,0.0002,0.0086,0.0001,0.0201,0.0002,0.0,0.0001,0.0001
