document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,6,0.6203041558762951,"des Zusammenlebens Inhaltliche Schwerpunkte: - Partizipation und Verantwortung - Recht und Gerechtigkeit Sachkompetenz Die Schülerinnen und Schüler erklären die Bedeutsamkeit einer Dialog- und Debattenkultur für die verantwortungsvolle Partizipation in einer demokratischen Gesellschaft, erläutern Chancen und Herausforderungen unterschiedlicher Möglichkeiten von Partizipation in einer demokratischen Gesellschaft u. a. Künstliche Intelligenz, soziale Medien, vergleichen die Gesellschaften zugrundeliegenden Werthaltungen kritisch, beschreiben ausgewählte gesellschaftliche Probleme hinsichtlich",NRW,,Sek1,2024.0,"Ethik, Philo"
1,6,0.8011031032290429,"Sachkompetenz Die Schülerinnen und Schüler erklären die Bedeutsamkeit einer Dialog- und Debattenkultur für die verantwortungsvolle Partizipation in einer demokratischen Gesellschaft, erläutern Chancen und Herausforderungen unterschiedlicher Möglichkeiten von Partizipation in einer demokratischen Gesellschaft u. a. Künstliche Intelligenz, soziale Medien, vergleichen die Gesellschaften zugrundeliegenden Werthaltungen kritisch, beschreiben ausgewählte gesellschaftliche Probleme hinsichtlich ihrer Ursachen, Entwicklungen und Konsequenzen, beschreiben Freiheitsrechte und deren mögliche Gefährdung, erläutern",NRW,,Sek1,2024.0,"Ethik, Philo"
2,6,0.6997414272675321,"mögliche Gefährdung, erläutern Gerechtigkeitsgrundsätze, stellen das Verhältnis von Recht, Gerechtigkeit und Rechtsstaat dar. Urteilskompetenz Die Schülerinnen und Schüler beurteilen den Einsatz von Künstlicher Intelligenz im Kontext von Partizipation in einer demokratischen Gesellschaft, beurteilen gesellschaftliche Probleme hinsichtlich ethischer Aspekte, beurteilen Freiheitsrechte und deren mögliche Grenzen und Gefährdungen, beurteilen Gerechtigkeitsgrundsätze, reflektieren das Verhältnis von Recht, Gerechtigkeit und Staat. Inhaltsfeld : Gegenwart und Zukunft",NRW,,Sek1,2024.0,"Ethik, Philo"
3,4,0.9666623149488716,"sowie eine grundsätzliche Toleranzbereitschaft maßgeblich. Toleranz darf dabei nicht mit Beliebigkeit und Gleichgültigkeit verwechselt werden. So bilden etwa Menschenwürde und Menschenrechte als Normen mit universalem Geltungsanspruch die unverhandelbare Basis der Demokratie und des sozialen Rechtsstaats. Der Kompetenzbereich Fragen nach der Wirklichkeit fordert die Schülerinnen und Schüler also dazu auf, sich eigene und ihnen begegnende Wahrheits- und Wirklichkeitsvorstellungen bewusst zu machen und",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
4,1,0.9709642804568779,"die der des Niedersächsischen Schulgesetzes formuliert. Dem dort verankerten Ziel, ... die Persönlichkeit der Schülerinnen und Schüler auf der Grundlage des Christentums, des europäischen Humanismus und der Ideen der liberalen, demokratischen und sozialen Freiheitsbewegungen weiterzuentwickeln, trägt das Fach Werte und Normen in besonderem Maße Rechnung. Obwohl gesellschaftlich von einem gewissen Konsens über gültige Werte und Normen ausgegangen werden kann, wird die",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
5,7,0.9709655195727784,"zum Ausdruck gebrachten Wertvorstellungen werden unterschiedliche Weltanschauungen und Wahrheitsauffassungen im Sinne einer prinzipiellen Pluralität berücksichtigt. Ein besonderer Stellenwert kommt in diesem Zusammenhang den Grund- und Menschenrechten und den Prinzipien des demokratischen und sozialen Rechtsstaates zu. Dem Menschenbild der Aufklärung verpflichtet, wurzeln diese rechtlichen Bestimmungen in der Überzeugung, dass der Mensch eine spezifische Würde besitzt, d. h. einen unverfügbaren, nicht im Namen",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
6,1,0.9742841864213937,"um Einsichten in die tragenden Wertvorstellungen und Normen einer menschenwürdigen Gesellschaft sowie in die entsprechenden ethischen Grundsätze zu gewinnen und um wesentliche kulturelle, geistige und religiöse Bedingungen und Grundlagen der demokratischen Gesellschaftsordnungen kennenzulernen. Mit Blick auf religiöse bzw. religionswissenschaftliche Unterrichtsinhalte ist zu betonen, dass das Fach Werte und Normen die Pluralität unterschiedlicher Wahrheitsansprüche in Religionen und Weltanschauungen thematisiert. Zur Wahrung der",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
7,3,0.9727262122217684,"der in der Gesellschaft wirksamen Wertvorstellungen und Normen beitragen. Dies verlangt neben der philosophischen Reflexion auch empirische und historische Betrachtungen. So hat der Unterricht die Lernenden mit dem Bestand der demokratischen Grundwerte bekannt zu machen, gesellschaftlich anerkannte moralische und rechtliche Normen aufzuzeigen und Aspekte des Werte- und Normenwandels zu untersuchen. Zu diesem Zweck sind insbesondere Fragestellungen und Ergebnisse geeigneter Sozialwissenschaften wie",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
8,6,0.6330047851332017,"und artikulieren begründet eigene und auch fremde Interessen. Auf dieser Basis ist es den Schülerinnen und Schülern möglich, eine eigene Haltung zu den tragenden Werten und Normen einer menschenwürdigen und demokratischen Gesellschaft sowie eines gerechten und verantwortungsvollen Miteinanders zu entwickeln. Dem Kompetenzbereich Fragen nach Moral und Ethik kommt also im Rahmen des zentralen didaktischen Bereichs Entwicklung der ethischen Urteilsfähigkeit eine besondere",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
9,9,0.35509818154110084,"Orientierung anderer. Pluralismus wird damit als gegenseitige Toleranz, als ein Wert innerhalb der freiheitlich-demokratischen Grundordnung Thema des Ethikunterrichts. Thematisiert werden hier zugleich die Grenzen der Freiheit weltanschaulicher Orientierungen am Grundkonsens demokratischer Gesellschaften, der mit den unveräußerlichen Menschenrechten über die Regeln eines bloß praktikablen Zusammenlebens hinausgeht. Ethik und Menschenbild Philosophische, wissenschaftliche sowie religiöse Vorstellungen vom Menschen werden auf ihre impliziten Wertvorstellungen und",,,,2006.0,"Ethik, Philo"
10,6,0.5080250738641778,"Gesellschaften. Pluralismus ist dabei nicht gleichbedeutend mit Beliebigkeit, sondern Ausdruck des jeweils reziproken Respekts vor der weltanschaulichen Orientierung anderer. Pluralismus wird damit als gegenseitige Toleranz, als ein Wert innerhalb der freiheitlich-demokratischen Grundordnung Thema des Ethikunterrichts. Thematisiert werden hier zugleich die Grenzen der Freiheit weltanschaulicher Orientierungen am Grundkonsens demokratischer Gesellschaften, der mit den unveräußerlichen Menschenrechten über die Regeln eines bloß praktikablen Zusammenlebens",,,,2006.0,"Ethik, Philo"
11,1,0.6257540302436968,"bleibt die Würde jedes einzelnen Menschen, unabhängig von seinen individuellen Merkmalen und Anschauungen. Recht und Gerechtigkeit Die systematische Analyse des Begriffs Gerechtigkeit und Einblicke in die Aufgabe des Rechts im demokratischen Staat sind weitere Schwerpunkte des Ethikunterrichts. Dabei wird das Abhängigkeits- und Spannungsverhältnis von Recht und Gerechtigkeit sowie von Recht und Moral untersucht. Religion und Weltanschauung Die Beschäftigung mit Erscheinungsformen, Herkunft",,,,2006.0,"Ethik, Philo"
12,5,0.3945036339240927,"staatlich organisierte Einrichtung, ein Amt, eine Behörde oder ähnliches zum Subjekt der Verantwortungsrelation wird. Zu verantworten hat diese Institution die technische Entwicklung vor entsprechenden Instanzen der Jurisdiktion und vor der demokratischen Öffentlichkeit. Die Besonderheit dieses Konzepts liegt allerdings darin, dass sich die Institution auf Verantwortung spezialisiert, ohne selbst jene Hand lungen auszuführen, für deren Folgen sie Verantwortung übernimmt. Eine solche Aufgabenteilung",,,,2006.0,"Ethik, Philo"
13,9,0.9718725931867034,sich auf die Anforderungen eines Hochschulstudiums oder einer beruflichen Ausbildung vorzubereiten. Sie handeln zunehmend selbstständig und übernehmen Verantwortung in gesellschaftlichen Gestaltungsprozessen. Die Grundlagen für das Zusammenleben und -arbeiten in einer demokratischen Gesellschaft und für das friedliche Zusammenleben der Völker sind ihnen vertraut. Die Lernenden erweitern ihre interkulturelle Kompetenz und bringen sich im Dialog und in der Kooperation mit Menschen unterschiedlicher kultureller,Berlin,Gym,Sek2,2022.0,"Ethik, Philo"
14,1,0.970963927777352,"das rein Fachliche hinausgehen, eine fundamentale Bedeutung zu. Nur in der Verknüpfung mit personalen und sozialen Kompetenzen können sich fachliche Expertise und nicht zuletzt auch die Bereitschaft und Fähigkeit, für Demokratie und Teilhabe sowie zivilgesellschaftliches Engagement und einen verantwortungsvollen Umgang mit den natürlichen Ressourcen einzustehen, adäquat entfalten. Daher liegt es in der Verantwortung aller Fächer, dass Lernende im fachgebundenen wie auch",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
15,9,0.8069361677802697,"gesellschaftliche Entwicklungen und die vielfältigen damit verbundenen Herausforderungen für junge Erwachsene zielt der Erwerb fachlicher und überfachlicher Kompetenzen insbesondere auf die folgenden drei gesellschaftlichen Dimensionen, die von übergreifender Bedeutung sind: Demokratie und Teilhabe/zivilgesellschaftliches Engagement: sozial handeln, politische Verantwortung übernehmen; Rechte und Pflichten in der Gesellschaft wahrnehmen; sich einmischen, mitentscheiden und mitgestalten; sich persönlich für Einzelne und/oder das Gemeinwohl engagieren aktive Bürgerschaft;",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
16,6,0.707933028998022,"nachhaltig handeln; mit friedlicher Gesinnung im Geiste der Völkerverständigung handeln, ethische Normen sowie kulturelle und religiöse Werte kennen, reflektieren und auf dieser Grundlage eine Orientierung für das eigene Handeln gewinnen; demokratische Normen und Werthaltungen im Sinne einer historischen Weltsicht reflektieren und Rückschlüsse auf das eigene Leben in der Gemeinschaft und zum Umgang mit der Natur ziehen; selbstbestimmt urteilen und handeln. interkulturelle",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
17,3,0.29181339735272227,"diskutieren und mit Bezugnahme auf Lehrstücke beziehungsweise Differenzierungen der philosophischen Tradition zu beurteilen. Des Weiteren nehmen sie eine kritisch-reflektierte Haltung gegenüber Werten und Autoritäten ein, um so Verantwortung für unser demokratisches und pluralistisches Gemeinwesen, den Staat und das Leben zukünftiger Generationen in europäischen und internationalen Bezügen übernehmen zu können. Dementsprechend zielt der Unterricht darauf ab, die sittliche Autonomie der Lernenden zu",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
18,9,0.5607757221358619,"aus Expertenperspektive verantwortlich agieren können. Beim Erwerb von überfachlichen Kompetenzen in der gymnasialen Oberstufe kommt dem Fach Ethik eine besondere Bedeutung zu, da es zur Entwicklung von Wertebewusstsein, zivilgesellschaftlichem Engagement, demokratischen, personalen und sozialen Basisfähigkeiten sowie sprachlichen und wissenschaftspropädeutischen Kompetenzen beiträgt. Kompetenzbereiche Die im Kerncurriculum des Faches Ethik für die Sekundarstufe I beschriebenen fünf Kompetenzbereiche werden in der gymnasialen Oberstufe fortgeführt,",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
19,7,0.9735283924697186,"zur Entwicklung der Mündigkeit junger Menschen und zur Stärkung der Zivilgesellschaft zu. Im Vordergrund stehen dabei die Fähigkeit und Bereitschaft, sich vor dem Hintergrund demokratischer Handlungsoptionen aktiv in die freiheitliche Demokratie einzubringen. Als ein übergeordnetes Bildungs- und Erziehungsziel des Gymnasiums ist politische Bildung im Sächsischen Schulgesetz verankert und muss in allen Fächern angemessen Beachtung finden. Zudem ist sie integrativ insbesondere in",Sachsen,Gym,,2019.0,"Ethik, Philo"
20,5,0.538265182162042,"Umgang mit Vielfalt sowie Respekt vor dem Leben, dem Menschen und vor zukünftigen Generationen. Sie entwickeln die Fähigkeit und Bereitschaft, sich vor dem Hintergrund demokratischer Handlungsoptionen aktiv in die freiheitliche Demokratie einzubringen. Werteorientierung Die Schüler setzen sich, ausgehend von den eigenen Lebensweltbezügen, einschließlich ihrer Erfahrungen mit der Vielfalt und Einzigartigkeit der Natur, mit lokalen, regionalen und globalen Entwicklungen auseinander. Sie lernen,",Sachsen,Gym,,2019.0,"Ethik, Philo"
21,7,0.9742846019254855,"der politischen Bildung als aktivem Beitrag zur Entwicklung der Mündigkeit junger Menschen und zur Stärkung der Zivilgesellschaft zu. Im Vordergrund stehen dabei die Fähigkeit und Bereitschaft, sich vor dem Hintergrund demokratischer Handlungsoptionen aktiv in die freiheitliche Demokratie einzubringen. Als ein übergeordnetes Bildungs- und Erziehungsziel des Gymnasiums ist politische Bildung im Sächsischen Schulgesetz verankert und muss in allen Fächern angemessen Beachtung finden.",Sachsen,Gym,,2019.0,"Ethik, Philo"
22,5,0.6775042482893223,"der Anerkennung und der Wertschätzung im Umgang mit Vielfalt sowie Respekt vor dem Leben, dem Menschen und vor zukünftigen Generationen. Sie entwickeln die Fähigkeit und Bereitschaft, sich vor dem Hintergrund demokratischer Handlungsoptionen aktiv in die freiheitliche Demokratie einzubringen. Werteorientierung Die Schüler setzen sich, ausgehend von den eigenen Lebensweltbezügen, einschließlich ihrer Erfahrungen mit der Vielfalt und Einzigartigkeit der Natur, mit lokalen, regionalen",Sachsen,Gym,,2019.0,"Ethik, Philo"
23,9,0.9689629428891989,die für ein Hochschulstudium notwendige Studierfähigkeit. Die Entwicklung und Stärkung der Persönlichkeit sowie die Möglichkeit zur Gestaltung des eigenen Lebens in sozialer Verantwortung und die Befähigung zur Mitwirkung in der demokratischen Gesellschaft gehören zum Auftrag des Gymnasiums. Den individuellen Fähigkeiten und Neigungen der Schüler wird unter anderem durch die Möglichkeit zur eigenen Schwerpunktsetzung entsprochen. Schüler entscheiden sich zwischen verschiedenen schulspezifischen Profilen,Sachsen,Gym,,2019.0,"Ethik, Philo"
24,7,0.392660980091678,"Sie entwickeln interkulturelle Kompetenz, um offen zu sein, sich mit anderen zu verständigen und angemessen zu handeln. Empathie und Perspektivwechsel Die Schüler entwickeln eigene Wertvorstellungen auf der Grundlage der freiheitlichen demokratischen Grundordnung, indem sie Werte im schulischen Alltag erleben, kritisch reflektieren und diskutieren. Dazu gehören insbesondere Erfahrungen der Toleranz, der Akzeptanz, der Anerkennung und der Wertschätzung im Umgang mit Vielfalt sowie",Sachsen,Gym,,2019.0,"Ethik, Philo"
25,9,0.974282144007084,"Fähigkeiten, Eigenschaften, Wertvorstellungen und seinem Lebens- und Erfahrungshintergrund respektiert. In gleicher Weise respektiert er seine Mitschüler. Unterschiedliche Positionen bzw. Werturteile können geäußert werden und sie werden auf der Basis der demokratischen Grundordnung zur Diskussion gestellt. Wesentliche Kriterien eines guten Schulklimas am Gymnasium sind Transparenz der Entscheidungen, Gerechtigkeit und Toleranz sowie Achtung und Verlässlichkeit im Umgang aller an Schule Beteiligten. Wichtigste Partner",Sachsen,Gym,,2019.0,"Ethik, Philo"
26,8,0.9571337995387619,"Überlegungen zu Wahrheitsansprüchen und Wirklichkeitsdeutungen im Zentrum. Die Frage nach dem Verhältnis von Wahrheit, Täuschung, Irrtümern und Begründungen stellt sich vor allem vor dem Hintergrund zunehmend medialer Weltvermittlung. Diskutiert werden demokratie- und gemeinschaftsgefährdende Tendenzen und bewusste Täuschungsstrategien sowie Möglichkeiten, diese zu identifizieren und mit ihnen umzugehen. Kompetenzen Fachinterne Bezüge I WM Mentales und Psychisches II PM Zugänge zur Wirklichkeit II WM",Hamburg,Stadtteilschule,5-11,2024.0,"Ethik, Philo"
27,7,0.9718716392975724,"leer Frieden Frieden als Wert Gefährdung des Friedens durch Vorurteile, Diskriminierungen und Feindbilder Wertevielfalt, Wertekonflikte und universelle Werte Beitrag zur Leitperspektive W: Die Schülerinnen und Schüler erkennen Frieden als wichtigen demokratischen Grundwert und seine Verbindung zu anderen Werten wie z. B. Freiheit und Sicherheit, Solidarität und Gerechtigkeit. Beitrag zur Leitperspektive BNE: Die Schülerinnen und Schüler erkennen, dass nachhaltige Entwicklung ohne Frieden",Hamburg,Stadtteilschule,5-11,2024.0,"Ethik, Philo"
28,1,0.46060242619616215,"bei Hobbes, Locke und Rousseau Instrumentalisierung der Moral für staatliche Herrschaft, Selbsterhaltung durch Souverän, Legitimierung des totalen Staates, Sicherung des Eigentums, Herrschaftstypologien Kontraktualismus, Liberalismus, Kommunitarismus, Anarchismus, Totalitarismus repräsentative vs. direkte Demokratie internationale Staatengemeinschaft oder Weltgesellschaft Nationalstaat vs. Staatenbund Freiheit, Gleichheit, Gerechtigkeit, Verantwortung globale Herausforderungen, z. B. nachhaltiger Umweltschutz, Weltfrieden, Garantie von Menschenrechten weltweit, ökonomische Vernetzungen Gewaltenteilung, Grund- und Bürgerrechte, Rechtsschutz ...",Niedersachsen,Gym,Sek2,2018.0,"Ethik, Philo"
