term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
demokratie,3059,0.0207,0.0742,0.0519,0.0324,0.0174,0.0335,0.0622,0.0235,0.0178,0.0
demokratisch,2269,0.0248,0.0,0.0113,0.016,0.0352,0.0231,0.0099,0.0049,0.041,0.0557
politisch,2139,0.0408,0.0,0.0237,0.0191,0.0415,0.0346,0.0065,0.0,0.0102,0.0006
deutschland,814,0.0121,0.0,0.0,0.0,0.0001,0.0053,0.0364,0.0045,0.0,0.0
gesellschaft,803,0.025,0.0033,0.0,0.0065,0.0039,0.0066,0.0018,0.0,0.0,0.0159
gesellschaftlich,610,0.017,0.0,0.0016,0.0122,0.0086,0.0046,0.0,0.0013,0.0054,0.0025
entwicklung,562,0.0115,0.0,0.0,0.011,0.0019,0.0076,0.0019,0.0,0.0109,0.0014
sozial,549,0.016,0.0122,0.0052,0.0,0.0049,0.0058,0.0013,0.0031,0.0016,0.001
leben,469,0.0111,0.0,0.0,0.004,0.013,0.0032,0.0001,0.0045,0.0074,0.001
politik,451,0.0106,0.0,0.001,0.0075,0.0096,0.0038,0.0,0.0098,0.0,0.0033
bedeutung,412,0.005,0.0002,0.0,0.0013,0.0,0.0129,0.0034,0.0,0.0,0.0
bundesrepublik,389,0.0067,0.0,0.0,0.0,0.0,0.0062,0.0119,0.0,0.0,0.0
republik,379,0.0,0.0,0.0,0.0036,0.0,0.0,0.0248,0.0,0.0,0.0
möglichkeit,373,0.0003,0.0,0.0,0.0073,0.0101,0.0107,0.0,0.0,0.0,0.0
entwickeln,371,0.0025,0.0,0.0,0.0019,0.0053,0.0,0.0,0.0,0.0377,0.0028
grundlage,352,0.006,0.0001,0.0063,0.0026,0.0,0.0042,0.0,0.0055,0.0,0.0103
system,352,0.0,0.0,0.0,0.0011,0.0103,0.0095,0.004,0.0,0.0,0.0
medium,344,0.0027,0.005,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0
fähigkeit,342,0.0029,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0369,0.0
deutsch,338,0.0,0.0,0.0,0.001,0.0,0.0053,0.015,0.0,0.0,0.0
weimarer,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0,0.0,0.0
kompetenz,337,0.0047,0.0125,0.0055,0.0101,0.0048,0.0024,0.0,0.0,0.0004,0.0
form,335,0.0012,0.0,0.0,0.0003,0.008,0.0079,0.002,0.0,0.0,0.0069
handeln,324,0.0051,0.0,0.0045,0.0056,0.0,0.0018,0.0,0.0,0.0,0.0168
beurteilen,322,0.0027,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.0074,0.0
europa,313,0.0,0.0,0.0005,0.0002,0.0,0.0013,0.0124,0.0243,0.0,0.0
europäisch,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709,0.0,0.0
erkennen,310,0.0013,0.0,0.0,0.0,0.0072,0.0063,0.0011,0.0,0.0,0.0084
interesse,308,0.0,0.0,0.0,0.0029,0.011,0.0,0.0,0.0,0.0,0.024
fach,308,0.0061,0.0,0.0,0.0113,0.0027,0.0,0.0,0.0022,0.0058,0.007
menschenrecht,303,0.0047,0.0088,0.0024,0.0041,0.0,0.0001,0.0043,0.0,0.0,0.0101
wert,294,0.0018,0.0,0.0042,0.0,0.0006,0.0028,0.0,0.0132,0.0,0.0136
wirtschaftlich,294,0.008,0.0,0.0,0.0,0.0071,0.0018,0.0031,0.0,0.0032,0.0002
herrschaft,293,0.0032,0.0008,0.0,0.0104,0.0029,0.0,0.0093,0.0,0.0,0.0
herausforderung,290,0.0035,0.0,0.0132,0.0,0.0,0.0075,0.0,0.0,0.0,0.0
geschichte,290,0.002,0.0,0.0,0.0072,0.0,0.0048,0.0046,0.0055,0.0,0.0
bildung,289,0.0064,0.0,0.0087,0.0002,0.0008,0.0007,0.0,0.0053,0.0143,0.0
historisch,288,0.0047,0.0016,0.0,0.0071,0.0,0.0,0.003,0.0001,0.0006,0.0106
partizipation,287,0.0022,0.0,0.0,0.0021,0.0095,0.008,0.0,0.0,0.0,0.0
konflikt,286,0.006,0.0,0.0,0.0,0.0069,0.0,0.0,0.0139,0.0049,0.0056
mensch,282,0.0056,0.0,0.0034,0.0024,0.0009,0.0016,0.0,0.0,0.0159,0.0001
inhalt,280,0.0036,0.0193,0.0044,0.0039,0.0,0.0012,0.0048,0.0,0.0,0.0
diktatur,277,0.0,0.0,0.0,0.0037,0.0,0.0012,0.0152,0.0,0.0,0.0
teilhabe,276,0.0051,0.0012,0.0018,0.0123,0.0,0.0028,0.003,0.0,0.0,0.0
bürger,276,0.0066,0.0,0.0,0.0042,0.0122,0.0017,0.0,0.0,0.0,0.0
freiheitlich,268,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0347,0.0035
grundordnung,257,0.0,0.0,0.001,0.0,0.0,0.0022,0.0,0.0,0.0163,0.0115
erläutern,255,0.0,0.0,0.0,0.0032,0.0,0.0077,0.0047,0.0,0.0,0.0
aktiv,240,0.0037,0.0,0.0,0.0009,0.0049,0.0,0.0,0.0,0.0191,0.0
prozeß,240,0.0088,0.0,0.0,0.0037,0.0072,0.0007,0.0,0.0,0.0,0.0001
grundrecht,234,0.0019,0.0,0.0,0.0,0.0,0.0024,0.0053,0.0,0.0,0.0097
