rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,politisch,2139,753.7914572011208,0.03461268749507055
2,demokratie,3059,729.8582651611167,0.0335137202821546
3,demokratisch,2269,503.17053155834463,0.023104645454890972
4,medium,344,294.89839007053064,0.013541180018424222
5,bedeutung,412,279.8570474379546,0.012850509824335343
6,möglichkeit,373,233.32282033520096,0.010713745544049124
7,beurteilen,322,231.86407188745656,0.01064676255601796
8,system,352,207.89964978762657,0.00954636131742968
9,aktuell,218,191.17512523187344,0.008778402571782255
10,partizipation,287,174.82841802917423,0.008027792489145721
11,wahl,220,173.84839168087905,0.007982791520500588
12,form,335,171.98176750155594,0.007897079645190208
13,erläutern,255,167.2728259460293,0.0076808538960961735
14,entwicklung,562,165.81961629161614,0.007614125239048524
15,partei,189,165.73068624484392,0.00761004173838207
16,herausforderung,290,164.04217844455331,0.0075325086325527014
17,beschreiben,186,157.74385932634655,0.007243301651894981
18,ebene,144,152.9179940352535,0.007021706984539467
19,gefährdung,143,143.3099637853386,0.006580524286982365
20,gesellschaft,803,143.23156636055145,0.006576924424528827
