Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
demokratisch,demokratie,demokratie,demokratie,demokratisch
politisch,deutschland,demokratisch,politisch,entwickeln
gesellschaft,republik,politisch,deutschland,fähigkeit
gesellschaftlich,weimarer,erkennen,demokratisch,freiheitlich
fach,diktatur,bundesrepublik,entwicklung,politisch
handeln,europa,jugendliche,bedeutung,bereitschaft
demokratie,revolution,institution,medium,leben
politik,deutsch,medium,bundesrepublik,demokratie
lernende,weltkrieg,europäisch,system,grundordnung
bildung,herrschaft,grundlage,sozial,aktiv
wert,nationalsozialismus,schwerpunkt,herausforderung,hintergrund
unterricht,demokratisch,kompetenzerwartunge,leben,erkennen
entscheidung,verfassung,idee,erläutern,mensch
konflikt,jahrhundert,rechtsstaat,gesellschaft,gesellschaft
ökonomisch,scheitern,form,partizipation,gesellschaftlich
sozial,politisch,deutschland,möglichkeit,reflektieren
kultur,inhalt,diskutieren,politik,entscheidungsfindung
verantwortung,historisch,prinzip,partei,handlungsoption
beitrag,krieg,aktuell,wahl,position
prozeß,entwicklung,historisch,international,prinzip
