term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
sozial,93,0.0686,0.0002,0.0313,0.0164,0.0293,0.0001,0.0045,0.0487,0.049,0.0002
wahrnehmung,67,0.0003,0.0002,0.0313,0.0187,0.0003,0.0002,0.0003,0.0004,0.0002,0.044
bedürfnis,56,0.0565,0.0002,0.0001,0.0002,0.0003,0.1481,0.0003,0.0004,0.0002,0.0002
gesellschaftlich,53,0.0002,0.0002,0.061,0.0085,0.0604,0.0328,0.0003,0.0003,0.0003,0.0074
frage,52,0.0003,0.0123,0.0001,0.0127,0.0003,0.0002,0.0003,0.0004,0.0025,0.0313
motivation,52,0.0005,0.0002,0.0002,0.0383,0.0003,0.0001,0.0003,0.0011,0.0002,0.0295
kognitiv,51,0.0283,0.0002,0.0001,0.0005,0.0306,0.0001,0.0056,0.029,0.0258,0.0015
perspektive,51,0.0002,0.0002,0.0001,0.0002,0.0003,0.0002,0.0003,0.0004,0.0296,0.0434
psychisch,48,0.0291,0.0243,0.0001,0.0027,0.0003,0.0001,0.0003,0.0004,0.0002,0.0126
handeln,46,0.0287,0.0002,0.0002,0.0002,0.0077,0.0002,0.021,0.0003,0.0069,0.0095
gefühl,45,0.0269,0.0002,0.0001,0.0125,0.0003,0.0009,0.0028,0.0061,0.0002,0.02
entwicklung,44,0.0002,0.0002,0.0001,0.022,0.0003,0.0001,0.0102,0.0574,0.045,0.0002
grenze,36,0.0002,0.0002,0.0001,0.0002,0.0021,0.0002,0.0064,0.0003,0.0004,0.0311
natur,36,0.0002,0.0002,0.0001,0.0002,0.0021,0.0001,0.0003,0.0003,0.0338,0.0002
unterschiedlich,36,0.028,0.0002,0.0001,0.0086,0.0003,0.0001,0.0159,0.0003,0.0311,0.0002
verschieden,36,0.0002,0.0002,0.0001,0.0029,0.0003,0.0001,0.028,0.0051,0.0002,0.0175
kognition,34,0.0002,0.0002,0.0002,0.0214,0.0003,0.0001,0.0003,0.0008,0.0002,0.0218
denken,32,0.0002,0.0122,0.0001,0.0002,0.0323,0.0007,0.0003,0.0005,0.0059,0.009
lernen,31,0.0002,0.0002,0.0001,0.0133,0.0368,0.0001,0.0003,0.018,0.0002,0.0067
stellen,31,0.0002,0.0002,0.0001,0.0057,0.0003,0.0022,0.0003,0.0003,0.0004,0.0244
ausdrücken,30,0.0002,0.0306,0.0001,0.0008,0.0003,0.0001,0.0081,0.0003,0.0002,0.0002
erleben,30,0.0002,0.0242,0.0001,0.0003,0.0003,0.0001,0.0003,0.0388,0.0022,0.0025
motivieren,30,0.0002,0.0362,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
adressat,29,0.0002,0.0303,0.0001,0.0068,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
eingehen,29,0.0002,0.0303,0.0001,0.0067,0.0003,0.0001,0.0003,0.0003,0.0002,0.0003
funktion,29,0.0002,0.0002,0.0001,0.0153,0.0003,0.0915,0.0003,0.015,0.0001,0.0002
selbstwirksamkeit,29,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0152,0.0002
ethisch,28,0.006,0.0002,0.0001,0.0002,0.0004,0.0002,0.0407,0.0004,0.0002,0.0002
bedeutung,27,0.0002,0.0002,0.0001,0.0291,0.0003,0.0021,0.0123,0.0003,0.0002,0.0002
kulturell,27,0.0002,0.0003,0.0001,0.0002,0.0675,0.0001,0.0003,0.0522,0.0002,0.0002
zustand,27,0.0002,0.0323,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0004
bewältigen,26,0.0002,0.0314,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
gehören,26,0.0002,0.0314,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
gesundheit,26,0.0002,0.0315,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
orientierung,26,0.0002,0.0002,0.0305,0.0145,0.0314,0.0001,0.0003,0.0003,0.0001,0.0002
angst,25,0.0002,0.0002,0.0001,0.0405,0.0003,0.0003,0.0003,0.0004,0.0001,0.0002
aversiv,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
belastend,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
emotionsregulation,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
empathisch,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
motivationlernbereitschaft,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
situationsadäquat,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
umgeh,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
vertrauen,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
äußern,25,0.0002,0.0303,0.0001,0.0003,0.0003,0.0001,0.0003,0.0003,0.0002,0.0002
beziehung,23,0.0297,0.0002,0.0001,0.0028,0.0003,0.0001,0.0064,0.0004,0.0002,0.0032
entwickeln,22,0.0002,0.0002,0.0001,0.0079,0.0003,0.0001,0.0007,0.0003,0.0358,0.0039
fähigkeit,22,0.0286,0.0002,0.0001,0.0033,0.0315,0.0001,0.0003,0.0003,0.0002,0.0002
