term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
sozial,93,0.0368,0.0004,0.0005,0.0325,0.0004,0.0001,0.0004,0.0007,0.0006,0.0405,0.0277,0.0004,0.0282,0.0586,0.0011
wahrnehmung,67,0.0345,0.0004,0.0005,0.0325,0.0179,0.0001,0.0004,0.0163,0.0006,0.0003,0.0001,0.0005,0.0487,0.001,0.0011
bedürfnis,56,0.0002,0.0004,0.0005,0.0001,0.0004,0.1619,0.0004,0.0012,0.0006,0.0001,0.0001,0.0004,0.0002,0.0585,0.0011
gesellschaftlich,53,0.0074,0.0165,0.0005,0.0607,0.0075,0.0336,0.0005,0.0007,0.0144,0.0004,0.0195,0.0004,0.008,0.0001,0.0011
frage,52,0.0222,0.0171,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0545,0.0045,0.0079,0.0004,0.0137,0.0002,0.0011
motivation,52,0.0233,0.0004,0.0005,0.0001,0.0366,0.0001,0.0004,0.0319,0.0006,0.0003,0.0001,0.0145,0.0409,0.0002,0.0011
kognitiv,51,0.0207,0.0004,0.0005,0.0001,0.0223,0.0001,0.0004,0.0007,0.0006,0.0132,0.0209,0.0007,0.0002,0.0283,0.0011
perspektive,51,0.0261,0.0345,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0774,0.0417,0.0004,0.0004,0.0008,0.0008,0.0012
psychisch,48,0.0188,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.0001,0.0134,0.0004,0.0071,0.0282,0.0012
handeln,46,0.0013,0.0004,0.0005,0.0001,0.0004,0.0001,0.0676,0.0007,0.0006,0.0131,0.0001,0.0084,0.0002,0.0299,0.0395
gefühl,45,0.0002,0.0327,0.0005,0.0001,0.0359,0.0004,0.0004,0.0007,0.0006,0.0093,0.0001,0.0004,0.0066,0.0301,0.0198
entwicklung,44,0.0313,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0009,0.0425,0.0204,0.0245,0.0002,0.0003,0.0011
grenze,36,0.0228,0.0203,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0573,0.0034,0.0001,0.0004,0.0002,0.0003,0.0252
natur,36,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0465,0.0001,0.0004,0.0002,0.0006,0.0012
