rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,sozial,93,34.21297144348699,0.056541330202163384
2,bedürfnis,56,32.59713006214974,0.0538709447535501
3,gesellschaft,19,20.619039456463682,0.03407561135942441
4,realität,16,18.639108230911134,0.03080352067339744
5,beziehung,23,18.266224168526698,0.030187281860781352
6,fähigkeit,22,17.81985312059465,0.029449596364638453
7,nehmen,18,17.662513837309117,0.0291895729876946
8,psychisch,48,17.57477867187453,0.02904457935662773
9,gemeinschaft,15,17.419244790171387,0.02878753963771504
10,unterschiedlich,36,17.367353311643278,0.028701782303629558
11,kognitiv,51,17.331938181495044,0.028643254251742235
12,erfassen,14,17.27566037503439,0.02855024794729419
13,wahrnehmungsfähigkeit,13,16.70723547786679,0.027610852786632036
14,partner,13,16.67486779063841,0.027557361025634802
15,versetzen,13,16.67406009719342,0.027556026208463168
16,handeln,46,16.63685226562546,0.02749453548719491
17,gefühl,45,16.161896305234734,0.026709609751285175
18,gruppe,21,16.024430798022905,0.026482430342226526
19,voraussetzung,22,16.02424067504274,0.0264821161395792
20,überzeugung,17,16.023998080336707,0.026481715220664517
