term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
sozial,101,0.0013,0.0005,0.0499,0.001,0.0352,0.0172,0.0198,0.0006,0.0019,0.0774
kompetenz,78,0.0013,0.0005,0.0003,0.001,0.1028,0.0002,0.0145,0.0006,0.0018,0.0228
toleranz,66,0.0013,0.0227,0.0003,0.0011,0.0339,0.0257,0.0377,0.0005,0.0364,0.0053
fähigkeit,45,0.0013,0.0006,0.0003,0.001,0.034,0.0262,0.0118,0.0273,0.0017,0.0075
mensch,43,0.0012,0.028,0.0003,0.0139,0.0339,0.0004,0.0002,0.0101,0.0017,0.008
unterschiedlich,38,0.0012,0.0005,0.0249,0.001,0.0002,0.0155,0.0105,0.0227,0.0018,0.0185
handeln,36,0.0013,0.0162,0.0249,0.0248,0.0002,0.0002,0.0149,0.0005,0.0018,0.009
entwickeln,35,0.0014,0.0005,0.0003,0.001,0.0002,0.0329,0.0444,0.0227,0.0017,0.0003
konflikt,35,0.0012,0.0005,0.0003,0.0012,0.036,0.0002,0.0152,0.0006,0.0017,0.0149
respekt,35,0.0012,0.0005,0.0003,0.0109,0.0338,0.0123,0.005,0.0005,0.0282,0.0052
perspektivwechsel,34,0.0422,0.0005,0.0003,0.0011,0.0002,0.0002,0.0155,0.0285,0.0018,0.0457
wert,31,0.0478,0.0247,0.0003,0.0109,0.0002,0.0002,0.015,0.0004,0.0939,0.0002
nehmen,30,0.0013,0.0005,0.0495,0.001,0.0002,0.0002,0.0076,0.0004,0.028,0.0002
position,29,0.1185,0.0005,0.0003,0.001,0.0002,0.001,0.0263,0.0449,0.0018,0.0003
fach,28,0.0012,0.018,0.0003,0.0012,0.0002,0.0476,0.0079,0.0005,0.0017,0.0079
konstruktiv,27,0.0012,0.0005,0.0003,0.001,0.0338,0.0184,0.005,0.0005,0.0017,0.0002
lernende,26,0.0012,0.0005,0.0524,0.001,0.0002,0.0002,0.0002,0.0004,0.0018,0.0003
reflektieren,26,0.0013,0.0005,0.0333,0.0059,0.0002,0.0002,0.0095,0.0005,0.0628,0.0002
gesellschaft,25,0.0012,0.0005,0.0253,0.001,0.0002,0.0377,0.0056,0.0005,0.0019,0.0002
lernen,25,0.0012,0.0005,0.0003,0.0014,0.0002,0.0133,0.0002,0.0807,0.0017,0.0075
verstehen,25,0.0524,0.0005,0.0003,0.001,0.0338,0.0002,0.0108,0.0021,0.0017,0.0002
lösen,24,0.0012,0.0005,0.0003,0.001,0.0338,0.0002,0.005,0.0005,0.0017,0.0002
rolle,24,0.0012,0.0005,0.0003,0.0109,0.0002,0.0003,0.0076,0.0005,0.0017,0.0472
verantwortung,24,0.0012,0.0005,0.0003,0.0157,0.0002,0.0319,0.005,0.0004,0.0018,0.0065
verhalten,23,0.0015,0.0005,0.0003,0.001,0.0373,0.0003,0.0002,0.0005,0.0018,0.0003
gesellschaftlich,22,0.0013,0.0005,0.0003,0.001,0.0002,0.0205,0.0255,0.0005,0.0018,0.0002
diskutieren,21,0.0013,0.0005,0.0003,0.0552,0.0002,0.0002,0.0143,0.0005,0.0018,0.0002
fördern,21,0.0012,0.0174,0.0003,0.001,0.0002,0.024,0.0002,0.0073,0.0018,0.0042
kooperieren,21,0.0012,0.0005,0.0003,0.001,0.0338,0.0123,0.0002,0.0005,0.0018,0.0002
kritisch,21,0.0013,0.0005,0.0003,0.001,0.0002,0.0231,0.0101,0.0004,0.0017,0.0043
tragen,21,0.0012,0.0161,0.0003,0.001,0.0002,0.0461,0.0002,0.0005,0.0017,0.0003
erfolgreich,20,0.0012,0.0005,0.0003,0.001,0.0346,0.0002,0.0002,0.0007,0.0017,0.0003
fachlich,20,0.0012,0.0005,0.0003,0.001,0.0347,0.0002,0.0002,0.0005,0.0017,0.0003
frage,20,0.0012,0.0148,0.0003,0.0011,0.0002,0.0133,0.005,0.0005,0.0173,0.0003
perspektive,20,0.0012,0.0005,0.0003,0.001,0.0002,0.0002,0.0098,0.0076,0.0361,0.0039
auseinander,19,0.0013,0.0133,0.0003,0.001,0.0002,0.0002,0.0132,0.0228,0.0017,0.0003
genannt,19,0.0012,0.0005,0.0003,0.001,0.0338,0.0002,0.0002,0.0005,0.0017,0.0002
rahmenplän,19,0.0012,0.0005,0.0003,0.001,0.0338,0.0002,0.0002,0.0005,0.0017,0.0002
solidarität,19,0.0012,0.0005,0.0249,0.001,0.0002,0.0095,0.0002,0.0005,0.0283,0.0002
umgehen,19,0.0012,0.0005,0.0003,0.001,0.0338,0.0002,0.0002,0.0005,0.0017,0.0002
zusammenarbeiten,19,0.0012,0.0005,0.0003,0.001,0.0338,0.0002,0.0002,0.0005,0.0018,0.0002
zählen,19,0.0012,0.0005,0.0003,0.001,0.0338,0.0002,0.0002,0.0005,0.0018,0.0002
