rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,tier,6,2.02701932772327,0.045023205552438404
2,mensch,43,1.8261697322439487,0.04056202824706634
3,mitgefühl,16,1.3930947185733291,0.03094276853235122
4,moralisch,10,1.3860766850979325,0.030786887254153655
5,pflicht,7,1.2513172075004784,0.027793672746019616
6,ethik,7,1.2496541582684182,0.027756733874053866
7,handeln,36,1.2475725163220457,0.02771049741643539
8,gelten,5,1.0128057635563479,0.022495968071754413
9,bildung,8,0.7075754932072261,0.01571633602049507
10,unterschiedlich,38,0.6870254032515128,0.015259887030817012
11,folge,9,0.6814246760522354,0.015135486296947628
12,wissen,5,0.6806429044226248,0.015118121951036552
13,einsicht,8,0.6790120100952836,0.015081897288780044
14,umwelt,7,0.6789907734477355,0.015081425590294132
15,medium,13,0.6787827130980688,0.015076804251088217
16,gerechtigkeit,8,0.18876451986449377,0.004192749256324163
17,sinn,13,0.15423624879272518,0.0034258234433470207
18,kompetenz,78,0.14749848338182917,0.003276167348355757
19,unterricht,18,0.14500904811013582,0.0032208731760634633
20,toleranz,66,0.13908685222543068,0.003089332130059542
