topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,18,0.1587,25,14.0805
2,7,0.1313,23,20.506
3,9,0.1143,20,13.3581
4,3,0.1087,17,16.9141
5,19,0.0856,12,16.3298
6,6,0.0763,10,19.7027
7,4,0.0734,12,14.0016
8,11,0.0649,9,17.8245
9,12,0.0594,9,6.5407
10,13,0.0513,9,26.5803
11,15,0.033,4,19.439
12,10,0.0102,1,17.6066
13,17,0.0092,1,7.747
14,16,0.0034,0,1.2597
15,1,0.0034,0,1.1962
16,14,0.0034,0,1.6019
17,2,0.0034,0,1.226
18,8,0.0034,0,1.155
19,5,0.0034,0,1.2012
20,20,0.0034,0,1.1341
