term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
sozial,101,0.0165,0.0008,0.0319,0.0535,0.0291
kompetenz,78,0.0162,0.0008,0.0004,0.0044,0.0793
toleranz,66,0.0219,0.0275,0.0008,0.0143,0.0365
fähigkeit,45,0.0203,0.0009,0.0146,0.0007,0.0307
mensch,43,0.0003,0.0256,0.0004,0.009,0.0256
unterschiedlich,38,0.0139,0.0008,0.0233,0.0123,0.0035
handeln,36,0.0118,0.0158,0.0152,0.0036,0.0035
entwickeln,35,0.0502,0.0008,0.0132,0.0004,0.0003
konflikt,35,0.0003,0.0008,0.0004,0.0146,0.0327
respekt,35,0.0003,0.0008,0.0003,0.0065,0.0365
perspektivwechsel,34,0.0242,0.0008,0.0003,0.0292,0.0003
wert,31,0.022,0.0243,0.0003,0.002,0.0004
nehmen,30,0.0071,0.0008,0.0303,0.0003,0.0003
position,29,0.0465,0.0008,0.0003,0.0003,0.0003
fach,28,0.0134,0.0209,0.0142,0.0156,0.0013
konstruktiv,27,0.0003,0.0044,0.0046,0.0003,0.0352
lernende,26,0.0003,0.0008,0.0314,0.0003,0.0002
reflektieren,26,0.0154,0.0008,0.0162,0.0004,0.0003
gesellschaft,25,0.0006,0.0009,0.0425,0.0075,0.0003
lernen,25,0.037,0.0011,0.0004,0.0004,0.0003
verstehen,25,0.0136,0.0008,0.0003,0.0003,0.0257
angemessen,24,0.007,0.0008,0.0003,0.0003,0.0251
lösen,24,0.0003,0.0008,0.0003,0.0003,0.0284
rolle,24,0.0096,0.0008,0.0003,0.0269,0.0003
verantwortung,24,0.0004,0.0008,0.0005,0.0206,0.0109
zeigen,24,0.0003,0.0008,0.0003,0.0003,0.0284
verhalten,23,0.0003,0.0008,0.0003,0.0003,0.0277
gesellschaftlich,22,0.0155,0.0008,0.0163,0.0044,0.0003
diskutieren,21,0.007,0.0008,0.0003,0.0128,0.0002
fördern,21,0.0026,0.0202,0.0186,0.0003,0.0012
kooperieren,21,0.0003,0.0008,0.0003,0.0003,0.0326
tragen,21,0.0003,0.0156,0.0285,0.0079,0.0003
erfolgreich,20,0.0003,0.0008,0.0003,0.0003,0.0257
fachlich,20,0.0003,0.0008,0.0003,0.0003,0.0258
umgehen,19,0.0003,0.0008,0.0003,0.0003,0.0251
zusammenarbeiten,19,0.0003,0.0008,0.0003,0.0003,0.0251
zählen,19,0.0003,0.0008,0.0003,0.0003,0.0251
überfachlich,19,0.0003,0.0008,0.0003,0.0003,0.0251
bedürfnis,18,0.007,0.0008,0.0158,0.0003,0.0002
meinung,18,0.0003,0.0008,0.0324,0.0003,0.0003
unterricht,18,0.0003,0.0152,0.025,0.0012,0.0006
überzeugung,18,0.0003,0.0008,0.0325,0.0003,0.0003
erfassen,17,0.0023,0.0008,0.0167,0.0003,0.0002
beitrag,16,0.0114,0.0197,0.0004,0.0003,0.0003
demokratisch,16,0.0312,0.0008,0.0003,0.0073,0.0003
einnehmen,16,0.0144,0.0008,0.0003,0.0003,0.0035
mitgefühl,16,0.0003,0.0008,0.0003,0.0127,0.0003
entwicklung,15,0.0003,0.0008,0.0003,0.0266,0.0003
gruppe,15,0.0003,0.0008,0.0176,0.0003,0.0002
kulturell,15,0.0042,0.0008,0.0166,0.0077,0.0003
realität,15,0.0003,0.0008,0.0175,0.0004,0.0002
anteil,14,0.0003,0.0008,0.0159,0.001,0.0002
bereitschaft,14,0.006,0.0165,0.015,0.0004,0.0002
grenze,14,0.0003,0.0008,0.0003,0.0149,0.0002
haltung,14,0.0003,0.0192,0.0003,0.0003,0.0036
politisch,14,0.0144,0.0008,0.0004,0.0282,0.0003
medium,13,0.0003,0.0008,0.0003,0.0209,0.0006
sinn,13,0.0003,0.0153,0.0003,0.0086,0.0002
sowohl,11,0.0144,0.0008,0.0003,0.0003,0.0002
verantwortungsbewusst,11,0.0003,0.0236,0.0003,0.0003,0.0002
wertvorstellung,11,0.0177,0.0008,0.0003,0.0003,0.0002
identität,10,0.0169,0.0008,0.0003,0.0003,0.0003
moral,10,0.0003,0.0159,0.0003,0.0022,0.0004
nachhaltig,10,0.0003,0.0008,0.0003,0.0154,0.0003
positionieren,9,0.0003,0.0008,0.0003,0.0182,0.0003
reflektiert,9,0.0003,0.0189,0.0003,0.0003,0.0004
wahlbereich,9,0.0003,0.0008,0.0003,0.0218,0.0004
aspekt,8,0.0003,0.0152,0.0003,0.0011,0.0003
einsicht,8,0.0003,0.0171,0.0003,0.0004,0.0002
freiheitlich,8,0.0189,0.0008,0.0003,0.0003,0.0002
grundordnung,8,0.0189,0.0008,0.0003,0.0003,0.0002
norm,8,0.0003,0.0172,0.0003,0.0003,0.0003
politik,8,0.0013,0.0013,0.0197,0.0005,0.0019
unterscheiden,8,0.0003,0.0268,0.0004,0.0003,0.0002
verantwortungsbereitschaft,8,0.0005,0.0008,0.0003,0.0135,0.0003
vermitteln,8,0.0003,0.0172,0.0003,0.0003,0.0002
wahrheit,8,0.0003,0.0171,0.0003,0.0003,0.0003
aktuell,7,0.0003,0.0008,0.0003,0.0165,0.0005
beurteile,7,0.0004,0.0008,0.0003,0.0238,0.0003
erwerben,7,0.0003,0.0008,0.0187,0.0003,0.0003
international,5,0.0004,0.0008,0.0003,0.0186,0.0003
