term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
sozial,101,0.0003,0.0007,0.0519,0.0007,0.0334,0.0328,0.0528
kompetenz,78,0.024,0.0007,0.0005,0.0006,0.104,0.0047,0.0005
toleranz,66,0.0256,0.0178,0.0004,0.0007,0.0335,0.0254,0.0186
fähigkeit,45,0.0273,0.0007,0.0004,0.0007,0.0328,0.0261,0.0002
mensch,43,0.0003,0.0262,0.0004,0.0278,0.0342,0.0007,0.0004
unterschiedlich,38,0.0169,0.0007,0.0235,0.0162,0.0002,0.02,0.0049
handeln,36,0.0163,0.0167,0.0262,0.0126,0.0002,0.0003,0.0049
entwickeln,35,0.0665,0.0007,0.0004,0.0007,0.0002,0.0226,0.0003
konflikt,35,0.0003,0.0007,0.0004,0.0007,0.034,0.0003,0.0256
respekt,35,0.0003,0.0007,0.0004,0.0053,0.0344,0.0139,0.0056
perspektivwechsel,34,0.0311,0.0007,0.0004,0.0452,0.0003,0.0004,0.0212
wert,31,0.0129,0.021,0.0004,0.0053,0.0003,0.0003,0.0211
nehmen,30,0.0003,0.0007,0.0479,0.0006,0.0002,0.0002,0.0089
position,29,0.0388,0.0007,0.0004,0.0006,0.0002,0.0003,0.0277
fach,28,0.0004,0.0172,0.0004,0.0008,0.0002,0.046,0.0072
konstruktiv,27,0.0003,0.0007,0.0004,0.0006,0.0361,0.0154,0.0012
lernende,26,0.0003,0.0007,0.0493,0.0006,0.0002,0.0003,0.0002
reflektieren,26,0.0158,0.0007,0.0331,0.0013,0.0003,0.0002,0.0018
gesellschaft,25,0.0003,0.0007,0.0237,0.0006,0.0002,0.0317,0.0053
lernen,25,0.0409,0.0007,0.0004,0.0007,0.0002,0.014,0.0002
verstehen,25,0.0003,0.0007,0.0004,0.0007,0.0326,0.0002,0.0181
lösen,24,0.0003,0.0007,0.0004,0.0006,0.0359,0.0002,0.0013
rolle,24,0.0003,0.0007,0.0004,0.0086,0.0002,0.018,0.0218
verantwortung,24,0.0003,0.0007,0.0004,0.0231,0.0003,0.0249,0.005
zeigen,24,0.0003,0.0007,0.0004,0.0006,0.0359,0.0002,0.0013
verhalten,23,0.0003,0.0007,0.0004,0.0008,0.036,0.0003,0.0002
gesellschaftlich,22,0.0003,0.0007,0.0004,0.0006,0.0002,0.017,0.024
diskutieren,21,0.0107,0.0007,0.0004,0.0261,0.0002,0.0003,0.0047
fördern,21,0.0036,0.0171,0.0004,0.0006,0.0003,0.0232,0.0002
kooperieren,21,0.0003,0.0007,0.0004,0.0006,0.0327,0.0103,0.0002
kritisch,21,0.0111,0.0007,0.0004,0.0007,0.0002,0.0226,0.0003
tragen,21,0.0003,0.0163,0.0004,0.0006,0.0002,0.0388,0.0002
erfolgreich,20,0.0003,0.0007,0.0004,0.0006,0.0335,0.0002,0.0002
fachlich,20,0.0003,0.0007,0.0004,0.0006,0.0335,0.0002,0.0002
perspektive,20,0.0003,0.0007,0.0004,0.0007,0.0003,0.0037,0.0146
auseinander,19,0.0212,0.0137,0.0004,0.0007,0.0002,0.0003,0.0038
