term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
evolution,1193,0.059,0.0236,0.0557,0.0306,0.021,0.0783,0.035,0.0139,0.0426,0.0441
entwicklung,844,0.0001,0.0019,0.0206,0.031,0.0113,0.0001,0.0046,0.071,0.0001,0.0218
mensch,697,0.0076,0.001,0.0719,0.0117,0.0227,0.0001,0.0047,0.0035,0.0128,0.0155
evolutiv,485,0.0043,0.0001,0.0171,0.0334,0.0185,0.0001,0.0001,0.0237,0.0001,0.0
beschreiben,371,0.0047,0.0046,0.0054,0.0102,0.0046,0.0001,0.0001,0.0115,0.0004,0.0293
basiskonzept,306,0.0,0.0001,0.0154,0.0189,0.0,0.0001,0.004,0.0189,0.0001,0.0
erklären,291,0.0114,0.0037,0.0061,0.0139,0.0,0.0001,0.0001,0.0,0.0001,0.0252
entstehung,269,0.0001,0.0001,0.0032,0.0103,0.001,0.0001,0.0017,0.0,0.0001,0.0322
verwandtschaft,254,0.0044,0.0068,0.0029,0.0,0.0193,0.0001,0.0001,0.0,0.0001,0.0276
organismus,254,0.0009,0.0001,0.002,0.0037,0.0158,0.0001,0.0102,0.0038,0.0004,0.0245
lebewesen,251,0.0,0.0001,0.0026,0.0013,0.0,0.0001,0.0029,0.034,0.0001,0.0036
evolutionstheorie,242,0.0288,0.0001,0.003,0.0,0.0065,0.0001,0.0092,0.0,0.0001,0.0216
stammesgeschichtlich,240,0.0,0.0001,0.0028,0.0,0.0075,0.0001,0.0001,0.0078,0.0001,0.0262
genetisch,237,0.0,0.0001,0.0021,0.0092,0.0,0.0001,0.0001,0.0275,0.0001,0.0008
biologisch,214,0.0,0.0075,0.013,0.0026,0.0008,0.0001,0.0234,0.0072,0.0157,0.0028
angepasstheit,213,0.0001,0.0077,0.0022,0.005,0.012,0.0001,0.0004,0.009,0.0001,0.0117
zusammenhang,201,0.0,0.0041,0.0007,0.0152,0.0,0.0093,0.0001,0.0146,0.0053,0.0007
leben,193,0.0175,0.0043,0.0,0.0099,0.0,0.0001,0.0001,0.001,0.0045,0.0132
erläutern,186,0.0073,0.0072,0.0048,0.0,0.0097,0.0001,0.0001,0.0,0.0001,0.0167
selektion,185,0.0164,0.0001,0.0001,0.0009,0.0,0.0001,0.0001,0.0094,0.0001,0.0173
individuell,181,0.0,0.0001,0.0084,0.0035,0.0,0.0001,0.0001,0.0184,0.0001,0.0
system,178,0.0,0.0001,0.0069,0.0,0.0,0.0001,0.0001,0.025,0.0001,0.0
art,174,0.0111,0.0028,0.0019,0.0,0.0035,0.0001,0.0001,0.0041,0.0001,0.0179
