term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
entwicklung,844,0.0046,0.0882,0.0092,0.0018,0.0266,0.0002,0.0273,0.0237,0.0313,0.0001,0.0001,0.0504
mensch,697,0.0399,0.0002,0.0001,0.1016,0.0001,0.0002,0.0,0.0416,0.0257,0.0213,0.0001,0.0249
basiskonzept,306,0.0001,0.041,0.0001,0.0001,0.0662,0.0002,0.0002,0.0,0.0009,0.0,0.0001,0.0118
entstehung,269,0.0,0.0,0.0001,0.0542,0.0,0.0002,0.0001,0.0104,0.0327,0.0109,0.0001,0.0009
verwandtschaft,254,0.0291,0.0,0.0001,0.0001,0.0001,0.0002,0.0,0.0081,0.02,0.0,0.0001,0.0032
organismus,254,0.0048,0.0,0.0001,0.0001,0.0006,0.0002,0.0,0.0124,0.0144,0.0039,0.0056,0.0199
lebewesen,251,0.0065,0.0244,0.0001,0.0001,0.0033,0.0002,0.0,0.0,0.0014,0.0005,0.0001,0.0231
evolutionstheorie,242,0.0081,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0433,0.0,0.0001,0.0014
genetisch,237,0.0004,0.0572,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0068,0.0,0.0001,0.0072
biologisch,214,0.0,0.0,0.0001,0.0001,0.0093,0.0002,0.0146,0.0,0.007,0.0339,0.0001,0.0115
angepasstheit,213,0.006,0.0,0.0001,0.0001,0.0001,0.0002,0.0,0.0117,0.0121,0.0066,0.0001,0.0141
zusammenhang,201,0.0,0.0204,0.0001,0.0001,0.0,0.0021,0.0059,0.0369,0.0041,0.0,0.0001,0.0061
leben,193,0.006,0.0,0.0001,0.0001,0.0043,0.0002,0.0169,0.0072,0.0086,0.0021,0.0001,0.0095
selektion,185,0.0027,0.0185,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.029,0.0,0.0001,0.0009
individuell,181,0.0001,0.0334,0.0001,0.0001,0.0326,0.0002,0.0,0.0,0.0,0.008,0.0001,0.0023
system,178,0.0011,0.0292,0.0001,0.0001,0.0102,0.0002,0.0,0.0,0.0028,0.0,0.0001,0.0121
art,174,0.0033,0.0,0.0001,0.0001,0.0059,0.0002,0.0016,0.0,0.0199,0.0137,0.0001,0.005
veränderung,170,0.0012,0.0,0.0001,0.0024,0.0,0.0003,0.0,0.0,0.0043,0.0101,0.011,0.0205
zelle,168,0.0,0.0009,0.0001,0.0186,0.0,0.0002,0.0121,0.0313,0.0,0.0,0.0001,0.0094
bedeutung,166,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0108,0.0,0.0199,0.0001,0.0001,0.0072
inhalt,165,0.009,0.0009,0.0001,0.0001,0.0219,0.0002,0.0081,0.0,0.0103,0.0,0.0001,0.0028
beleg,161,0.0099,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0025,0.0234,0.0,0.0001,0.0
stammbaum,160,0.0367,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0041,0.0008,0.0,0.0001,0.0
struktur,154,0.0,0.0,0.0001,0.0001,0.0324,0.0002,0.0199,0.0,0.0,0.0028,0.0062,0.0064
kommunikation,152,0.0064,0.0009,0.0001,0.0001,0.026,0.0002,0.0108,0.0038,0.008,0.0,0.0001,0.0005
verschieden,138,0.0065,0.0173,0.0002,0.0001,0.0029,0.0082,0.0,0.0029,0.0026,0.0045,0.0001,0.0046
