term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
entwicklung,844,0.0397,0.1177,0.0243,0.0048,0.0,0.0002,0.0095,0.0318,0.0379,0.0001,0.0001,0.0589,0.0096,0.0001,0.011,0.0001,0.0,0.0034,0.0002,0.0318
mensch,697,0.0456,0.005,0.0003,0.0635,0.0177,0.0002,0.0,0.019,0.0757,0.0001,0.0047,0.0063,0.0191,0.0001,0.0001,0.0288,0.0396,0.0001,0.0002,0.0
basiskonzept,306,0.0,0.0288,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0048,0.0001,0.0001,0.0239,0.0,0.0001,0.0001,0.0001,0.0,0.0033,0.0002,0.0661
entstehung,269,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0544,0.0383,0.0173,0.0001,0.0001,0.0025,0.0041,0.0001,0.0001,0.0001,0.0,0.0185,0.0002,0.0
verwandtschaft,254,0.0,0.0,0.0002,0.0001,0.0221,0.0002,0.0,0.0213,0.0104,0.0001,0.0001,0.0,0.0413,0.0001,0.0001,0.0001,0.0362,0.0013,0.0002,0.0
organismus,254,0.0,0.0,0.0002,0.0001,0.0064,0.0002,0.0024,0.0001,0.0196,0.0001,0.0001,0.0107,0.0469,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0121
lebewesen,251,0.004,0.0251,0.0331,0.0001,0.0027,0.0002,0.0,0.0059,0.0023,0.0001,0.0001,0.0318,0.0144,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0046
evolutionstheorie,242,0.0,0.0,0.0002,0.0001,0.0001,0.0002,0.0,0.0139,0.0245,0.0001,0.0001,0.0006,0.0,0.0001,0.0001,0.0001,0.0,0.0542,0.0002,0.0
genetisch,237,0.0,0.0135,0.0002,0.0001,0.0033,0.0002,0.009,0.0,0.0007,0.0001,0.0001,0.0371,0.0,0.0001,0.0562,0.0001,0.0,0.0,0.0002,0.0
biologisch,214,0.0296,0.0,0.0002,0.0001,0.0,0.0002,0.0113,0.0,0.0088,0.0001,0.0001,0.0022,0.002,0.0001,0.0001,0.0123,0.0,0.0274,0.0002,0.0149
angepasstheit,213,0.0007,0.0002,0.0002,0.0001,0.013,0.0002,0.0,0.0001,0.0102,0.0001,0.0001,0.0217,0.0115,0.0001,0.0135,0.0001,0.0,0.0104,0.0002,0.0
zusammenhang,201,0.0,0.0309,0.0002,0.0001,0.0,0.0534,0.0088,0.0,0.0034,0.0001,0.0001,0.0188,0.0,0.0001,0.0001,0.0001,0.0,0.004,0.0002,0.0
leben,193,0.005,0.0,0.0002,0.0001,0.0103,0.0002,0.0288,0.0324,0.0046,0.0001,0.0001,0.0035,0.0,0.0001,0.0175,0.0125,0.0,0.0101,0.0002,0.0
selektion,185,0.0,0.0051,0.0002,0.0001,0.0,0.0002,0.0,0.0181,0.0077,0.0001,0.0001,0.0179,0.0,0.0001,0.0001,0.0001,0.0094,0.0199,0.0002,0.0
individuell,181,0.0,0.0273,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0119,0.0083,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0308
system,178,0.0,0.0286,0.0002,0.0001,0.0033,0.0002,0.0,0.0,0.0077,0.0001,0.0001,0.0152,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0172
art,174,0.0,0.0,0.0002,0.0001,0.004,0.0002,0.0,0.0149,0.0092,0.0001,0.0001,0.0095,0.0,0.0001,0.0001,0.0001,0.0,0.0351,0.0002,0.0
veränderung,170,0.0078,0.0,0.0265,0.0001,0.0,0.0002,0.0,0.0,0.0045,0.0469,0.0001,0.023,0.0093,0.0001,0.0001,0.0001,0.0053,0.0001,0.0002,0.0
zelle,168,0.0041,0.0,0.0002,0.0762,0.0,0.0002,0.0415,0.0,0.0,0.0001,0.0001,0.0048,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0059
bedeutung,166,0.0013,0.0,0.0002,0.0001,0.0,0.0002,0.0039,0.0,0.0173,0.0001,0.0001,0.0056,0.003,0.0001,0.0173,0.0001,0.0,0.0173,0.0002,0.0013
inhalt,165,0.0007,0.0015,0.0002,0.0001,0.0189,0.0002,0.0,0.029,0.0046,0.0001,0.0001,0.0012,0.0,0.0001,0.0001,0.0001,0.0,0.0151,0.0002,0.0177
beleg,161,0.0,0.0,0.0002,0.0001,0.0115,0.0002,0.0,0.0269,0.0153,0.0001,0.0001,0.0,0.0047,0.0001,0.0001,0.0001,0.0145,0.0,0.0002,0.0
stammbaum,160,0.0,0.0,0.0002,0.0001,0.0349,0.0002,0.0,0.0,0.0044,0.0001,0.0001,0.0,0.0342,0.0001,0.0001,0.0001,0.0144,0.0,0.0002,0.0
struktur,154,0.0087,0.0,0.0002,0.0001,0.0,0.0002,0.0049,0.0,0.0,0.0134,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0012,0.0002,0.0606
kommunikation,152,0.004,0.0047,0.0002,0.0001,0.0042,0.0002,0.0114,0.0,0.0089,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0128,0.0001,0.0002,0.0221
verschieden,138,0.0002,0.0124,0.0002,0.0051,0.0084,0.0002,0.0,0.0092,0.0032,0.0001,0.0001,0.0097,0.007,0.0106,0.0001,0.0047,0.0,0.0,0.0002,0.0042
verhalten,137,0.0128,0.0,0.0002,0.0001,0.0121,0.0002,0.0,0.0,0.0025,0.0001,0.0001,0.0,0.0018,0.0238,0.0001,0.0001,0.0451,0.0,0.0002,0.0
funktion,137,0.0131,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0011,0.0,0.0001,0.0001,0.003,0.0,0.0005,0.0002,0.0534
merkmal,134,0.0,0.0,0.0002,0.0001,0.083,0.0002,0.0,0.0,0.0004,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
variabilität,132,0.0,0.0059,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0071,0.0001,0.0001,0.0132,0.0107,0.0001,0.0001,0.0001,0.0,0.0115,0.0002,0.0
information,129,0.0,0.0204,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0062,0.0,0.0001,0.0262,0.0001,0.0,0.0,0.0002,0.0222
biologie,127,0.0091,0.0,0.0002,0.0001,0.0075,0.0002,0.0355,0.0,0.0002,0.0001,0.0001,0.001,0.0,0.0001,0.0001,0.0125,0.0,0.0112,0.0002,0.0018
genetik,127,0.0,0.0,0.0002,0.0001,0.0078,0.0002,0.0518,0.0,0.0028,0.0001,0.0001,0.001,0.0,0.0001,0.0234,0.0001,0.0,0.0022,0.0002,0.0
individuelle,126,0.0,0.024,0.0002,0.0238,0.0,0.0002,0.0041,0.0,0.0,0.0001,0.0001,0.0065,0.0,0.0001,0.0308,0.0001,0.0,0.0,0.0002,0.0
grundlegend,126,0.0029,0.0051,0.0002,0.0546,0.0,0.0002,0.0001,0.0,0.0033,0.0001,0.0001,0.0004,0.0,0.0001,0.0001,0.0243,0.0092,0.0049,0.0002,0.0
fortpflanzung,121,0.0,0.015,0.0002,0.0001,0.0019,0.0002,0.0,0.0,0.0009,0.0001,0.0001,0.0214,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
verändern,120,0.0,0.0335,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0099,0.0036,0.0001,0.0001,0.0001,0.0,0.0039,0.0002,0.0
synthetisch,118,0.0,0.0,0.0002,0.0001,0.0032,0.0002,0.0,0.0049,0.0037,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0406,0.0002,0.0
fossil,114,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.025,0.0177,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0002,0.0
vielfalt,112,0.0,0.0,0.0002,0.0001,0.0073,0.0002,0.0,0.007,0.0001,0.0001,0.0001,0.0113,0.0,0.0001,0.0001,0.0001,0.0,0.0069,0.0002,0.0206
prinzip,110,0.0,0.0301,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0027,0.0,0.0001,0.0001,0.0001,0.0115,0.0046,0.0002,0.0
ergebnis,108,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0209,0.0067,0.0001,0.0001,0.0034,0.0164,0.0001,0.0001,0.0001,0.0,0.0041,0.0002,0.0
entwickeln,107,0.014,0.0076,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0049,0.0073,0.0001,0.0001,0.0042,0.0,0.0023,0.0002,0.0155
kulturell,104,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0251,0.0001,0.0001,0.0,0.0,0.0024,0.0001,0.0001,0.0058,0.0,0.0002,0.0
ursache,103,0.0,0.0,0.0002,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0097,0.0001,0.0097,0.0124,0.0001,0.0001,0.0001,0.0208,0.0,0.0002,0.0
