rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,merkmal,134,127.60318703683336,0.0830201444351907
2,ursprünglich,60,56.087226281783124,0.036491013547637896
3,stammbaum,160,53.59322423800409,0.03486838628648313
4,abgeleitet,54,50.63382496800184,0.03294296607918012
5,homologie,92,47.253839091585895,0.030743907245579374
6,molekularbiologisch,63,44.54415538722272,0.02898095494216255
7,verwandtschaft,254,33.952362418216545,0.02208980901913238
8,inhalt,165,29.012828263800145,0.01887608960925718
9,mensch,697,27.136354804960554,0.017655233757618488
10,homolog,27,24.55909593787063,0.015978438621373815
11,morphologisch,31,22.380125076106086,0.014560774377521136
12,angepasstheit,213,19.9254918782,0.012963760953657718
13,identifizieren,23,19.2482887970243,0.012523164610284774
14,verhalten,137,18.567740044414638,0.012080391533460804
15,lebewe,44,18.236450524182395,0.011864850648799306
16,beleg,161,17.680577350857778,0.011503192980141418
17,heutig,38,16.685229114833454,0.010855607631867955
18,leben,193,15.755662140685546,0.010250820351487049
19,unterschiedlich,96,14.86002308500966,0.00966810697660444
20,verbindlich,67,14.70078460471433,0.009564504535781842
