term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
entwicklung,844,0.0037,0.0527,0.0273,0.0575,0.0143
mensch,697,0.0525,0.0114,0.0037,0.032,0.017
basiskonzept,306,0.0001,0.0012,0.0245,0.0299,0.0062
entstehung,269,0.0,0.0156,0.0,0.0068,0.0201
verwandtschaft,254,0.0237,0.0045,0.0,0.0,0.0114
organismus,254,0.0027,0.0184,0.0062,0.0019,0.0123
lebewesen,251,0.005,0.0175,0.0051,0.0137,0.0027
evolutionstheorie,242,0.0053,0.0,0.0,0.0,0.034
genetisch,237,0.0025,0.0088,0.0,0.0279,0.003
biologisch,214,0.0022,0.0095,0.0135,0.0046,0.0092
angepasstheit,213,0.0054,0.0161,0.0,0.0001,0.0109
zusammenhang,201,0.001,0.0023,0.005,0.0254,0.0036
leben,193,0.0072,0.0122,0.0001,0.0,0.0096
selektion,185,0.0,0.0079,0.0,0.0046,0.0204
individuell,181,0.0,0.0021,0.0129,0.0168,0.0034
system,178,0.0011,0.0093,0.0066,0.0185,0.0
art,174,0.0019,0.0047,0.0,0.0009,0.0216
veränderung,170,0.0018,0.0159,0.0031,0.0026,0.0074
zelle,168,0.0,0.0041,0.0107,0.0179,0.0
bedeutung,166,0.0045,0.0065,0.0,0.0057,0.0098
inhalt,165,0.0071,0.0022,0.0091,0.0,0.0098
beleg,161,0.0058,0.0008,0.0,0.0,0.0182
stammbaum,160,0.0232,0.0,0.0,0.0,0.0029
struktur,154,0.0009,0.0001,0.0276,0.0029,0.0
kommunikation,152,0.0047,0.0015,0.0119,0.005,0.0039
verschieden,138,0.0046,0.0037,0.0033,0.0119,0.0015
verhalten,137,0.0188,0.0003,0.0032,0.0,0.0015
funktion,137,0.0,0.001,0.0273,0.0001,0.0
merkmal,134,0.02,0.0,0.0,0.0001,0.0011
variabilität,132,0.0,0.0114,0.0,0.0014,0.0097
information,129,0.0,0.0019,0.0131,0.01,0.0
biologie,127,0.0097,0.0025,0.0062,0.0001,0.0033
genetik,127,0.0128,0.0023,0.0042,0.0,0.0018
individuelle,126,0.0,0.0008,0.0045,0.0185,0.0
grundlegend,126,0.0057,0.0002,0.0,0.0129,0.0043
fortpflanzung,121,0.0,0.008,0.0,0.0139,0.0005
verändern,120,0.0005,0.0014,0.0021,0.0172,0.0027
synthetisch,118,0.0039,0.0,0.0,0.0,0.0145
fossil,114,0.0018,0.0,0.0,0.0,0.016
vielfalt,112,0.0,0.0111,0.0044,0.0,0.0045
ergebnis,108,0.0019,0.0081,0.0,0.0001,0.0069
entwickeln,107,0.0004,0.0053,0.0112,0.0013,0.0031
kulturell,104,0.006,0.0,0.0,0.0145,0.0009
mutation,103,0.0,0.004,0.0,0.0001,0.0132
umwelt,100,0.0007,0.0085,0.0059,0.0009,0.0009
prozeß,96,0.0,0.0091,0.0,0.0037,0.0021
homologie,92,0.008,0.0,0.0,0.0,0.0061
ökosystem,92,0.0001,0.0124,0.0,0.0035,0.0001
ökologie,89,0.0076,0.0005,0.0045,0.0017,0.0009
fitness,88,0.0111,0.0,0.0,0.0,0.0031
verfahren,87,0.0105,0.0014,0.0,0.0014,0.0004
stoff,85,0.0,0.0001,0.0177,0.0001,0.0
tabelle,83,0.0,0.0,0.0005,0.0153,0.0
theorie,82,0.0007,0.0012,0.0007,0.0001,0.0103
isolation,80,0.0,0.0,0.0,0.0,0.0124
darwin,80,0.0,0.0,0.0,0.0,0.0131
steuerung,77,0.0,0.0007,0.0155,0.0001,0.0
molekular,75,0.0017,0.0,0.011,0.0016,0.0003
lebend,71,0.0,0.0,0.0,0.0126,0.0003
naturwissenschaftlich,71,0.0008,0.0,0.008,0.0008,0.004
energieumwandlung,69,0.0,0.0,0.0143,0.0,0.0
artbildung,68,0.0,0.0,0.0,0.0,0.0106
molekularbiologisch,63,0.0085,0.0,0.0,0.0,0.0015
eukaryotisch,63,0.0,0.0,0.0014,0.0107,0.0
reproduktiv,63,0.0094,0.0,0.0,0.0,0.0005
prozess,62,0.0,0.0115,0.0,0.0,0.0
regelung,61,0.0,0.0001,0.0129,0.0,0.0
ursprünglich,60,0.008,0.0,0.0,0.0,0.0013
evolutionsökologie,60,0.0001,0.0,0.0,0.0113,0.0
biologieunterricht,58,0.0011,0.0,0.0099,0.0,0.0007
individualentwicklung,56,0.0,0.0097,0.0,0.0,0.0
abgeleitet,54,0.0071,0.0,0.0,0.0,0.0013
tier,53,0.0075,0.0,0.0,0.0,0.0015
ursprung,52,0.0069,0.0,0.0,0.0,0.0014
primat,50,0.0078,0.0,0.0,0.0,0.0
zeitraum,49,0.0,0.0001,0.0,0.0107,0.0
wissen,42,0.0,0.0,0.0096,0.0,0.0
klasse,39,0.0,0.0,0.0078,0.0,0.0
