Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
entwicklung,beschreiben,evolution,evolution,evolutiv
genetisch,entwicklung,mensch,mensch,evolution
lebewesen,stammesgeschichtlich,veränderung,evolutionstheorie,entwicklung
evolutiv,organismus,verhalten,stammbaum,basiskonzept
system,erklären,entwicklung,erläutern,zelle
basiskonzept,verwandtschaft,menschlich,verwandtschaft,funktion
verändern,angepasstheit,verfahren,art,struktur
individuell,evolution,lebewesen,selektion,zusammenhang
fortpflanzung,mensch,biologisch,merkmal,erklären
selektion,biologisch,abstammung,synthetisch,genetik
information,beispiel,handeln,bedeutung,entstehung
zusammenhang,lebewesen,tier,entstehung,biologie
zeitraum,evolutiv,leben,mutation,individuelle
prinzip,beleg,ursache,homologie,beschreiben
führen,ergebnis,anregung,beleg,stoff
grundlage,prozeß,entstehung,kulturell,leben
verschieden,erläutern,verwandtschaft,darwin,ökologisch
lebend,modell,ergebnis,fitness,steuerung
weitergabe,wirbeltier,biodiversität,vorstellung,ökologie
evolution,fossilium,fachliche,isolation,mensch
