term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
evolution,1193,0.0582,0.0245,0.0551,0.0326,0.0193,0.0452,0.0143
entwicklung,844,0.003,0.0181,0.024,0.0274,0.0267,0.009,0.0686
mensch,697,0.0114,0.0001,0.0814,0.0131,0.0186,0.0045,0.0024
evolutiv,485,0.0031,0.0001,0.0114,0.0296,0.0103,0.001,0.0318
beschreiben,371,0.0013,0.0077,0.0039,0.0,0.047,0.0032,0.0088
basiskonzept,306,0.0,0.0001,0.0187,0.0154,0.0,0.0001,0.0236
erklären,291,0.0107,0.0001,0.0032,0.011,0.0254,0.0001,0.0
entstehung,269,0.0136,0.0001,0.0028,0.0135,0.0109,0.008,0.0001
verwandtschaft,254,0.0146,0.0001,0.0015,0.0,0.0256,0.0001,0.0
organismus,254,0.0057,0.0001,0.0022,0.0039,0.0252,0.0025,0.0068
lebewesen,251,0.0022,0.0047,0.0063,0.0017,0.0043,0.0001,0.0292
evolutionstheorie,242,0.0295,0.0001,0.0,0.0,0.0064,0.0001,0.0
stammesgeschichtlich,240,0.0012,0.0169,0.0018,0.0,0.0309,0.0001,0.0031
genetisch,237,0.0032,0.0001,0.0001,0.0054,0.0023,0.0022,0.0286
biologisch,214,0.0043,0.0001,0.0154,0.003,0.002,0.0213,0.0048
angepasstheit,213,0.006,0.0001,0.002,0.0035,0.0196,0.0001,0.0056
zusammenhang,201,0.0015,0.0038,0.0,0.0157,0.0008,0.0059,0.0131
leben,193,0.012,0.0027,0.0,0.01,0.002,0.0097,0.0012
erläutern,186,0.0105,0.003,0.0034,0.0,0.015,0.0001,0.0004
selektion,185,0.0157,0.0001,0.0,0.0,0.003,0.0001,0.0126
individuell,181,0.0,0.0001,0.0095,0.002,0.0,0.0001,0.0211
system,178,0.0,0.0001,0.0118,0.0,0.0,0.0001,0.0232
art,174,0.0149,0.0001,0.0019,0.0003,0.0071,0.0001,0.0043
veränderung,170,0.0053,0.0328,0.0044,0.0029,0.0003,0.0015,0.0089
zelle,168,0.0,0.0001,0.001,0.027,0.0,0.0001,0.0035
inhalt,165,0.0103,0.0001,0.0074,0.0036,0.006,0.0001,0.0001
beleg,161,0.0105,0.0001,0.0,0.0,0.0145,0.0001,0.0
stammbaum,160,0.0098,0.0001,0.0038,0.0,0.0137,0.0001,0.0
struktur,154,0.0,0.0121,0.0046,0.0161,0.0,0.0011,0.0028
kommunikation,152,0.0033,0.0001,0.0078,0.0106,0.0045,0.0001,0.0
grundlage,141,0.0026,0.0027,0.0002,0.0075,0.0027,0.0001,0.0102
verschieden,138,0.001,0.0016,0.0025,0.0,0.0089,0.0045,0.0099
funktion,137,0.0,0.0107,0.0041,0.0151,0.0,0.0001,0.0025
verhalten,136,0.0126,0.0001,0.0052,0.0,0.0,0.0061,0.0018
merkmal,134,0.0103,0.0043,0.0015,0.0,0.0082,0.0001,0.0
variabilität,132,0.0046,0.0001,0.0016,0.0,0.0057,0.0001,0.0123
biologie,127,0.005,0.0001,0.0018,0.0096,0.0,0.0076,0.0017
genetik,127,0.0052,0.0001,0.0,0.0154,0.001,0.0001,0.0
grundlegend,126,0.0043,0.0001,0.0022,0.0119,0.0044,0.0005,0.0001
individuelle,126,0.0,0.0001,0.0,0.0155,0.0,0.0001,0.0068
fortpflanzung,121,0.0,0.003,0.0001,0.0009,0.0028,0.0001,0.0177
verändern,120,0.0009,0.0001,0.0,0.0,0.0,0.0001,0.0207
synthetisch,118,0.0157,0.0001,0.0,0.0,0.0005,0.0001,0.0
fossil,114,0.0039,0.0076,0.0,0.0,0.0126,0.0001,0.0
vielfalt,112,0.0027,0.0112,0.0046,0.0,0.0008,0.0038,0.0078
entwickeln,107,0.0006,0.0001,0.0106,0.0014,0.0035,0.0001,0.0054
kulturell,104,0.0,0.0001,0.0234,0.0,0.0,0.0001,0.0
mutation,103,0.0133,0.0001,0.0,0.0,0.0,0.0001,0.0025
ökologisch,97,0.0007,0.0001,0.0,0.0132,0.0,0.0001,0.0027
beispiel,92,0.0021,0.0071,0.0001,0.0,0.0113,0.0001,0.0
biodiversität,91,0.0102,0.0001,0.0012,0.0008,0.0001,0.0029,0.0013
ökologie,89,0.0,0.0034,0.0,0.0131,0.0,0.0031,0.0
evolutionär,89,0.0022,0.0058,0.0,0.0001,0.0033,0.0133,0.0011
kompetenz,88,0.0021,0.0001,0.0,0.0036,0.0108,0.0001,0.0
fitness,88,0.011,0.0001,0.0001,0.0,0.0001,0.0001,0.0018
verfahren,87,0.0068,0.0001,0.0004,0.0026,0.0001,0.0075,0.0
aspekt,87,0.0,0.0176,0.0045,0.0,0.0023,0.0023,0.0016
vergleich,86,0.001,0.0018,0.0007,0.0007,0.0109,0.0037,0.0
stoff,85,0.0,0.0001,0.0038,0.012,0.0,0.0001,0.0
tabelle,83,0.0,0.0001,0.0,0.0132,0.0,0.004,0.0
phänomen,82,0.0004,0.0006,0.0054,0.0,0.0003,0.0092,0.0047
isolation,80,0.0108,0.0001,0.0,0.0,0.0,0.0001,0.0
modern,75,0.0,0.0001,0.012,0.0,0.002,0.0013,0.0
lebend,71,0.0,0.0001,0.0,0.0,0.0025,0.0001,0.0092
naturwissenschaftlich,71,0.0033,0.0001,0.0081,0.0013,0.0,0.0001,0.0
lernende,68,0.0044,0.0018,0.0,0.0,0.0025,0.0073,0.0
weitergabe,65,0.0,0.0001,0.0,0.0013,0.0006,0.0001,0.0094
führen,65,0.0,0.0001,0.0015,0.0,0.0,0.0001,0.0115
eukaryotisch,63,0.0,0.0001,0.0,0.0116,0.0,0.0001,0.0
prozess,62,0.0,0.0001,0.0,0.0,0.0045,0.0001,0.0091
evolutionsökologie,60,0.0,0.0001,0.0,0.011,0.0,0.0001,0.0
anregung,59,0.0011,0.0062,0.0,0.0006,0.0011,0.0101,0.0
biologieunterricht,58,0.0,0.0001,0.0093,0.0,0.0,0.0037,0.0
möglich,57,0.0,0.0119,0.0,0.0062,0.0,0.0001,0.0
vergleichen,55,0.0009,0.0142,0.0013,0.0,0.0029,0.0001,0.0
wirbeltiere,53,0.0,0.0287,0.0,0.0,0.0,0.0001,0.0
ursprung,52,0.0009,0.0001,0.0088,0.0,0.0001,0.0001,0.0
beitrag,52,0.0019,0.0001,0.0082,0.0007,0.0,0.0003,0.0
menschlich,51,0.0,0.0023,0.0129,0.0,0.0,0.0001,0.0
organe,51,0.0,0.0194,0.0,0.0,0.0024,0.0001,0.0
zeitraum,49,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0095
pflanze,48,0.0,0.0098,0.0,0.0,0.004,0.0034,0.0
wirbeltier,47,0.0,0.0106,0.0,0.0004,0.0045,0.0001,0.0
stellen,40,0.0,0.0187,0.0,0.0,0.0007,0.0001,0.0
thema,38,0.0,0.0001,0.0029,0.0,0.0,0.0078,0.0
reflektieren,37,0.0,0.0007,0.0,0.0004,0.0017,0.0083,0.0
geschichte,37,0.0,0.0127,0.0,0.0017,0.0,0.0001,0.0016
werkzeuggebrauch,36,0.0,0.0001,0.007,0.0,0.0,0.0001,0.0
lernen,32,0.0014,0.0001,0.0,0.0,0.0,0.0074,0.0
möglichkeit,32,0.0001,0.0008,0.0,0.0001,0.0017,0.007,0.0
gang,32,0.0,0.0001,0.0071,0.0,0.0,0.0001,0.0
kontext,31,0.0,0.0153,0.0,0.0018,0.0,0.0001,0.0
dar,31,0.0,0.0117,0.0,0.0,0.0015,0.0001,0.0
lebensraum,30,0.0,0.0104,0.0012,0.0006,0.0002,0.0001,0.0001
strukturierungsvorschlag,29,0.0007,0.0001,0.0,0.0,0.0,0.0084,0.0
wahlbereich,26,0.0,0.0001,0.0,0.0,0.0,0.0095,0.0
medium,26,0.0,0.0022,0.0002,0.0,0.0006,0.0064,0.0
kompetenzraster,22,0.0,0.0001,0.0,0.0002,0.0,0.0074,0.0
abbildung,20,0.0,0.0001,0.0,0.0,0.0,0.007,0.0
physik,12,0.0,0.0112,0.0,0.0,0.0,0.0001,0.0
