term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
verantwortung,561,0.0001,0.0168,0.0207,0.0001,0.0001,0.001,0.0001,0.0177,0.0072,0.0425,0.0316,0.0272,0.0001,0.0134,0.0646,0.0,0.0001,0.0253,0.0123,0.0312
mensch,486,0.0001,0.0001,0.0276,0.0475,0.0001,0.0012,0.0001,0.0053,0.0106,0.0143,0.0192,0.0417,0.0223,0.0355,0.0001,0.0026,0.0273,0.0001,0.0,0.0254
handeln,328,0.0001,0.0001,0.0082,0.0001,0.0001,0.0034,0.0001,0.0641,0.0169,0.0,0.0,0.0087,0.0001,0.0281,0.0118,0.0,0.0001,0.0,0.0,0.0276
gerechtigkeit,272,0.0001,0.0001,0.0071,0.003,0.0001,0.0119,0.0001,0.0049,0.0071,0.0,0.0331,0.0133,0.0001,0.0104,0.0,0.0,0.0001,0.01,0.017,0.0085
sozial,263,0.0209,0.0001,0.0034,0.0001,0.0001,0.0231,0.0001,0.0073,0.0047,0.0216,0.0011,0.0371,0.0016,0.0,0.0032,0.0,0.0001,0.0,0.0,0.0024
ethik,231,0.0001,0.0001,0.0173,0.0075,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0721,0.0,0.0001,0.0062,0.0,0.0,0.0001,0.0,0.0015,0.0077
gesellschaft,210,0.0001,0.0001,0.0035,0.0001,0.0001,0.0163,0.0001,0.0242,0.0,0.0,0.0001,0.0063,0.0001,0.0032,0.0182,0.0191,0.0001,0.0,0.0,0.0076
politisch,208,0.0001,0.0001,0.0023,0.0001,0.0309,0.0431,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0013,0.0,0.0138,0.0001,0.0,0.0057,0.0
leben,199,0.0001,0.0157,0.0,0.0203,0.0001,0.0051,0.0001,0.0028,0.0,0.0,0.0,0.0281,0.0001,0.0,0.0022,0.0139,0.0001,0.0,0.0001,0.0108
wert,198,0.0345,0.0119,0.005,0.0034,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0047,0.0057,0.0225,0.0285,0.0,0.0,0.0001,0.0,0.0307,0.0052
revolution,179,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.1396,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
bedeutung,165,0.0001,0.0001,0.0,0.0001,0.0001,0.0053,0.0001,0.0155,0.0212,0.0072,0.0027,0.0124,0.0001,0.0078,0.0011,0.0,0.0001,0.0121,0.0167,0.0
frage,157,0.0001,0.0001,0.0069,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0119,0.0,0.0,0.0,0.0001,0.025,0.0032,0.0252
ethisch,153,0.0001,0.0027,0.0,0.0001,0.0001,0.0017,0.0001,0.0,0.0,0.0066,0.0047,0.0014,0.0003,0.0109,0.0,0.0,0.0087,0.0,0.0,0.0254
verschieden,150,0.0001,0.0001,0.0064,0.0001,0.0001,0.0034,0.0001,0.0,0.0,0.0058,0.0006,0.0083,0.0122,0.0031,0.0149,0.0,0.0001,0.0,0.0276,0.0049
begriff,144,0.0039,0.0001,0.0085,0.0092,0.0001,0.0,0.0001,0.0,0.0,0.0453,0.0015,0.0031,0.0001,0.0,0.0,0.0,0.0001,0.029,0.0,0.0022
möglichkeit,139,0.0001,0.0001,0.013,0.0001,0.0001,0.0069,0.0001,0.0,0.0,0.0,0.0011,0.0099,0.0001,0.0,0.0133,0.0,0.0202,0.0059,0.0,0.0041
gesellschaftlich,136,0.0001,0.0113,0.0,0.0091,0.0001,0.0224,0.0001,0.0,0.0,0.0244,0.0003,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
