rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,mensch,486,118.99058536565947,0.041730521871270194
2,sozial,263,105.6657401641928,0.03705744002700211
3,leben,199,80.09735517211749,0.02809049490402447
4,verantwortung,561,77.57095615939188,0.02720447565357604
5,technik,82,72.97357469384977,0.02559215374416769
6,frei,117,72.22577771664787,0.025329898053799437
7,natur,95,57.19560775045823,0.020058751310756358
8,zusammenhang,125,47.060670342958794,0.01650438416609595
9,marktwirtschaft,42,41.463059408701874,0.014541277380789861
10,umgang,71,38.57648564324666,0.013528943259714703
11,gerechtigkeit,272,38.01093498373926,0.013330602154883932
12,aspekt,39,37.22472250212935,0.013054873978083513
13,bedeutung,165,35.3414082554007,0.012394387384778072
14,möglichkeit,139,28.319025077690476,0.009931606704396197
15,glücksvorstellung,30,26.694958132403965,0.009362039280449017
16,ausgleich,26,25.324271645917314,0.008881333498330111
17,verhältnis,63,25.24308852647616,0.008852862221119346
18,begrenzung,33,25.041041649981118,0.0087820034924839
19,gewalt,73,24.93647375154247,0.00874533107038078
20,handeln,328,24.758540439403276,0.00868292907486967
