term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
situation,109,0.0001,0.0002,0.0121,0.0003,0.0001,0.0002,0.0022,0.0003,0.0392,0.0289,0.0003,0.013,0.001,0.0811,0.0635,0.0006,0.0001,0.0006,0.0065,0.0196
mensch,102,0.0001,0.0391,0.0228,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0109,0.0003,0.0347,0.0418,0.02,0.0408,0.0167,0.068,0.0001,0.0061
bedürfnis,87,0.0692,0.0138,0.0002,0.0003,0.0138,0.0002,0.0021,0.0101,0.0001,0.0071,0.0281,0.0003,0.0009,0.0002,0.0001,0.0032,0.0002,0.0003,0.004,0.0001
gedanke,78,0.0001,0.0231,0.0156,0.0003,0.0001,0.0002,0.0023,0.0053,0.1037,0.0002,0.0003,0.0003,0.001,0.0002,0.0051,0.0001,0.0001,0.0016,0.0056,0.0001
perspektive,69,0.0,0.0128,0.0003,0.0115,0.0001,0.0002,0.0021,0.0096,0.0001,0.0002,0.0004,0.0116,0.001,0.0457,0.0002,0.0039,0.0407,0.0012,0.027,0.0099
vernunft,66,0.0012,0.0227,0.0002,0.001,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0004,0.0003,0.0009,0.0002,0.0001,0.062,0.0002,0.0111,0.0116,0.0047
sozial,64,0.0472,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0004,0.0009,0.0003,0.0001,0.0059,0.0247,0.0003,0.004,0.0001
möglichkeit,61,0.0143,0.0058,0.0083,0.0276,0.0001,0.0086,0.0021,0.0003,0.0001,0.0002,0.0003,0.0158,0.001,0.0003,0.0604,0.0001,0.0001,0.0003,0.0001,0.0002
leben,55,0.0139,0.0136,0.0054,0.0197,0.0116,0.0002,0.0021,0.051,0.0001,0.0039,0.0109,0.0003,0.0009,0.0002,0.0001,0.0161,0.0001,0.0003,0.0001,0.0045
verschieden,54,0.0001,0.0007,0.0838,0.0003,0.0175,0.0002,0.0021,0.0003,0.0017,0.0002,0.0003,0.013,0.001,0.0002,0.0247,0.0089,0.0058,0.0003,0.0039,0.0002
ethik,52,0.0001,0.024,0.0003,0.0003,0.0001,0.0002,0.0021,0.0109,0.0001,0.0002,0.0109,0.0003,0.0011,0.004,0.0198,0.0155,0.0163,0.0298,0.0001,0.0001
ethisch,50,0.0016,0.0065,0.0002,0.0003,0.0068,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0066,0.0001,0.0182,0.0219,0.0003,0.0039,0.0326
frage,50,0.0,0.0002,0.0002,0.0003,0.0423,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0017,0.0118,0.0004,0.0065,0.0476
umgang,49,0.0,0.0009,0.0002,0.0003,0.0086,0.0002,0.0021,0.0003,0.0241,0.0002,0.0003,0.0003,0.0009,0.0236,0.0101,0.0045,0.0092,0.0003,0.017,0.0001
handeln,47,0.006,0.0002,0.0056,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0281,0.0003,0.0009,0.0002,0.0001,0.0184,0.0258,0.0207,0.0062,0.0001
inhaltsbezogen,46,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0195,0.0126,0.0002,0.0003,0.0003,0.001,0.0002,0.014,0.0119,0.0001,0.0004,0.0297,0.0041
methodischdidaktisch,44,0.0,0.0002,0.0003,0.0003,0.0001,0.0002,0.0022,0.0195,0.0129,0.0002,0.0003,0.0116,0.001,0.0002,0.014,0.0119,0.0001,0.0004,0.0256,0.0001
moralisch,43,0.0,0.0002,0.0002,0.0003,0.014,0.0256,0.0021,0.0003,0.0001,0.0087,0.0004,0.0003,0.0009,0.0002,0.0001,0.0054,0.0424,0.0003,0.0057,0.0001
verändern,43,0.0,0.0056,0.0002,0.0003,0.0001,0.0002,0.0021,0.0071,0.0632,0.0002,0.0003,0.0003,0.0009,0.0002,0.0063,0.0001,0.0001,0.0003,0.0001,0.0001
bedeutung,42,0.0001,0.0002,0.009,0.051,0.0002,0.0002,0.0021,0.0101,0.0001,0.0263,0.0004,0.0003,0.0009,0.0002,0.0001,0.0305,0.0001,0.0003,0.0001,0.0002
form,42,0.0,0.0002,0.0003,0.0155,0.0001,0.0002,0.0021,0.0101,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0248,0.0001,0.0001,0.0003,0.0379,0.0071
nehmen,42,0.0272,0.0002,0.0161,0.0072,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0091,0.0078,0.0003,0.0044,0.0001
unterschiedlich,42,0.0284,0.0002,0.0002,0.0003,0.0001,0.0256,0.0021,0.0003,0.0001,0.0003,0.0004,0.0102,0.001,0.0002,0.0001,0.0079,0.004,0.0003,0.0039,0.0001
begriff,41,0.0,0.0002,0.0003,0.0006,0.0001,0.0002,0.0021,0.0356,0.0001,0.0002,0.0003,0.0116,0.0009,0.0002,0.0001,0.0001,0.0001,0.0004,0.0429,0.0216
folge,41,0.0071,0.0052,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0068,0.0002,0.0003,0.0106,0.0011,0.0002,0.0319,0.0033,0.0047,0.0003,0.0001,0.0082
