rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,sozial,512,424.9384050425104,0.08335522292710604
2,politisch,214,162.31122906411386,0.031838705378626125
3,gesellschaftlich,170,122.46091813612482,0.024021733526470954
4,gesellschaft,279,92.08738365709353,0.018063710651766287
5,ökonomisch,81,87.77440185873917,0.017217683192218558
6,wirtschaftlich,69,80.31218371758956,0.015753906679422558
7,sozialstaat,69,77.42512709689582,0.015187586371901684
8,marktwirtschaft,58,73.05620394555719,0.014330585547994523
9,unterschiedlich,193,71.60266364017023,0.014045461457652671
10,demokratie,76,68.69782350095136,0.013475652764206918
11,deutschland,64,66.18385047997822,0.012982515925763279
12,entwicklung,128,59.57688806236686,0.011686504977692082
13,herausforderung,77,52.96622928963282,0.010389768958642097
14,wandel,63,47.79853740034913,0.009376082964770239
15,staat,66,46.801764986663,0.00918055771742978
16,politik,96,43.51318541861259,0.008535475324886452
17,kontroverse,29,43.05984940358888,0.008446549673204282
18,folge,48,41.164303894820286,0.008074722564670577
19,problem,124,40.06430142521897,0.007858947878302061
20,ungleichheit,49,38.894308494876995,0.007629443977561348
