term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
leben,521,0.0505,0.0035,0.0081,0.0729,0.0253,0.0166,0.0123,0.0283,0.0002,0.0256
glücklich,409,0.0001,0.0223,0.0033,0.0344,0.0241,0.011,0.0084,0.0652,0.0001,0.0192
mensch,240,0.0068,0.0281,0.0001,0.0232,0.0164,0.0001,0.0002,0.0127,0.0001,0.0
ethik,199,0.0224,0.0102,0.0053,0.0204,0.0115,0.01,0.0054,0.0094,0.0001,0.0
moral,168,0.0067,0.0179,0.0117,0.0165,0.0001,0.0051,0.0002,0.005,0.0001,0.0155
glücksvorstellung,144,0.0001,0.0223,0.0128,0.0102,0.0022,0.0091,0.0002,0.0,0.0001,0.0073
kompetenz,143,0.0114,0.0026,0.0002,0.0031,0.0001,0.0327,0.0089,0.0182,0.0147,0.0
beschreiben,140,0.0001,0.0009,0.0045,0.0,0.0001,0.0001,0.0111,0.0155,0.0001,0.0389
vorstellung,136,0.0001,0.0001,0.0073,0.012,0.0138,0.005,0.0023,0.0043,0.0001,0.0091
reflektieren,123,0.0001,0.0171,0.0206,0.0046,0.0001,0.0051,0.0002,0.0,0.0001,0.0127
begriff,116,0.0218,0.0011,0.0001,0.0035,0.009,0.0001,0.0002,0.0095,0.0093,0.0052
frage,116,0.0001,0.0035,0.0001,0.0098,0.0064,0.0195,0.0002,0.0001,0.0061,0.0026
individuell,105,0.0001,0.0001,0.0157,0.0105,0.0079,0.0001,0.0131,0.0046,0.0001,0.0
ziel,95,0.0151,0.0039,0.0001,0.0065,0.0081,0.0001,0.0052,0.0048,0.0001,0.0012
sozial,91,0.0001,0.0096,0.0001,0.0075,0.0001,0.0001,0.0002,0.0022,0.0001,0.0196
verantwortung,90,0.0001,0.009,0.0111,0.0081,0.0001,0.0057,0.0045,0.0001,0.0001,0.0
gut,90,0.0155,0.0001,0.0001,0.014,0.0033,0.0001,0.0002,0.0082,0.0001,0.0001
konsum,86,0.0001,0.0088,0.0001,0.0,0.0001,0.0001,0.002,0.0,0.04,0.013
moralisch,84,0.0001,0.0001,0.0001,0.0133,0.0001,0.0001,0.0002,0.0094,0.0001,0.0073
thema,84,0.0192,0.011,0.0002,0.0052,0.0089,0.0001,0.0002,0.0001,0.0001,0.0
verschieden,83,0.0001,0.0051,0.0132,0.0022,0.0085,0.0001,0.0002,0.0021,0.0082,0.0064
freiheit,81,0.0001,0.0017,0.0022,0.0139,0.0001,0.0028,0.0002,0.0042,0.0001,0.0033
gesellschaft,81,0.0001,0.0033,0.013,0.005,0.0154,0.0001,0.0076,0.0114,0.0001,0.0001
wert,81,0.0001,0.0095,0.0079,0.0101,0.0001,0.0043,0.0002,0.0,0.0001,0.0
diskutieren,79,0.0001,0.002,0.0014,0.0038,0.0001,0.0001,0.0002,0.0329,0.0001,0.0061
sinn,77,0.0001,0.0001,0.0026,0.0129,0.0016,0.0001,0.0002,0.0001,0.0038,0.0
ethisch,76,0.0043,0.0001,0.0001,0.0072,0.0001,0.0001,0.0002,0.0001,0.0001,0.0204
selbstverwirklichung,74,0.0001,0.0023,0.0001,0.0019,0.0178,0.0001,0.0002,0.005,0.0001,0.0065
handeln,73,0.0077,0.0033,0.0001,0.0095,0.0001,0.0001,0.0002,0.0001,0.0001,0.0039
wahrnehmen,73,0.0001,0.0257,0.0084,0.0011,0.0001,0.0001,0.0002,0.0,0.0001,0.0012
menschlich,70,0.0001,0.0001,0.0001,0.0095,0.0088,0.0004,0.007,0.0018,0.0001,0.0
welt,70,0.0001,0.0144,0.0065,0.0053,0.0001,0.0001,0.0002,0.0032,0.0001,0.0
zusammenhang,70,0.0001,0.0028,0.0001,0.011,0.0027,0.0001,0.0002,0.0001,0.0001,0.0
handlung,68,0.0001,0.0001,0.0001,0.0,0.0001,0.0016,0.0002,0.0001,0.008,0.0235
bedeutung,67,0.0001,0.0059,0.0001,0.0099,0.0057,0.0001,0.0002,0.0,0.0001,0.0012
unglück,67,0.0001,0.0001,0.0001,0.0123,0.0001,0.0001,0.0002,0.0,0.0001,0.0
ding,66,0.0001,0.0061,0.0001,0.0,0.0001,0.0001,0.0002,0.0021,0.0001,0.0244
religion,63,0.0001,0.0001,0.0363,0.0026,0.0001,0.0001,0.0002,0.0,0.0001,0.0
situation,63,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0071,0.0082,0.0176
positiv,61,0.0138,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0151,0.0001,0.0
