rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,konsum,86,36.31556652302175,0.056848643635336774
2,leben,521,33.76437291030469,0.05285498718384899
3,tugend,19,30.78822008267985,0.0481960965840097
4,kriterium,49,16.320761428175437,0.025548634900119795
5,aristotel,7,15.959653182868015,0.02498335350933522
6,tugende,7,15.620312083274639,0.024452146561775204
7,epikur,15,15.393658809826254,0.02409734193101496
8,aristoteles,31,14.447570516206056,0.02261632865210926
9,anerziehen,5,14.158586655654334,0.022163951281252214
10,konsumgemeinschaft,16,13.906437910367321,0.021769235859290352
11,lust,51,13.737920696665952,0.021505437825957843
12,prüfen,51,13.716922331996926,0.021472566837996313
13,kind,25,12.847704870990707,0.0201118877019286
14,text,49,12.248639466560208,0.019174106498126123
15,gedankenexperiment,8,12.157302016511796,0.01903112621045607
16,freizeitgestaltung,16,12.089236046329585,0.01892457526128861
17,provokation,19,11.751597347158414,0.01839603326334091
18,grundlegend,36,10.519912459633904,0.016467945064647306
19,beitrag,27,10.493096179166285,0.01642596667031433
20,wert,81,10.24222501257589,0.016033251179043178
