document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,4,0.471995054382502,"gelingendes Leben im Kontext globaler Krisen und Erfordernissen von Nachhaltigkeit. Inhaltsfeld : Sinnsuche und Lebensentwürfe Inhaltliche Schwerpunkte: - Lebensgestaltung - Grenzerfahrungen Sachkompetenz Die Schülerinnen und Schüler beschreiben Träume, Sinnsuche und Glück in ihrer Bedeutung für das eigene Leben, vergleichen Konzepte der Lebensgestaltung u. a. Eudaimonie, Religiosität, beschreiben Verhalten und Handlungen mit Bezug auf unterschiedliche Lebensweisen und Weltanschauungen, stellen unterschiedliche Lebensentwürfe und",NRW,,Sek1,2024.0,"Ethik, Philo"
1,4,0.9722894502231861,Schuljahrgänge und Leitthemen für die Schuljahrgänge und Fragen nach dem Ich Ich und meine Beziehungen Das Ich und seine sozialen Rollen Entwicklung und Gestaltung von Identität Fragen nach der Zukunft Glück und Lebensgestaltung Konstruktiver Umgang mit Krisen Verantwortung für Natur und Umwelt Fragen nach Moral und Ethik Regeln für das Zusammenleben Liebe und Sexualität Ethische Grundlagen für Konfliktlösungen Fragen nach der,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
2,3,0.9790619101520236,"das eigene Leben. Identifikations- und Abgrenzungsangebote bezüglich verschiedener Kriterien: Schönheit, Berühmtheit, Reichtum, Erfolg, Mut, Zivilcourage, Hilfsbereitschaft, Gewaltlosigkeit ... Grundbegriffe: Familienformen, Freundschaft, Idol, Vorbild Inhaltsbezogener Kompetenzbereich: Fragen nach der Zukunft Leitthema: Glück und Lebensgestaltung Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... beschreiben individuelle Zukunftswünsche und nennen Kriterien für glückliches Leben. Berufswunsch, fiktiver Lebenslauf,",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
3,5,0.9790531661031366,"von Kindern. geschlechtsspezifische Zukunftserwartungen, Kinder im Krieg, Kinder in Armut, Kinder mit Migrationshintergrund setzen sich mit dem Verständnis von Erfolg und Misserfolg auseinander. mögliche Bedingungen für Erfolg und Misserfolg: Leistungsbereitschaft, Glück, eigene und fremde Erwartungshaltungen, Faulheit, Pech, überzogene Erwartungshaltung, Minderwertigkeitsgefühl, Selbstvertrauen, Motivation und Demotivation entwickeln Verhaltensmöglichkeiten für den Umgang mit Erfolg bzw. Misserfolg. Trost, Lob, Anerkennung, Wertschätzung relativen Erfolgs, Inanspruchnahme fremder",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
4,3,0.9768238160754991,"für Weiblichkeit und Männlichkeit LGBT bzw. LSBTTIQ offizielle Abkürzungen für eine Zusammenstellung verschiedener Geschlechtsidentitäten stellen individuelle Glücksvorstellungen dar. erörtern individuelle Glücksvorstellungen. Glückskonzeptionen in Vergangenheit und Gegenwart z. B. Stoa, Flow, Glück als aktive Sinnsetzung, Selbstwirksamkeit materielles vs. immaterielles Glück reflektieren den Umgang mit der eigenen Endlichkeit. Krankheit, Altern, Sterben, Tod Trauer Phasen der Trauerbewältigung, Leiden, carpe diem vs. memento mori religiöse",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
5,3,0.9800555397594772,"Abkürzungen für eine Zusammenstellung verschiedener Geschlechtsidentitäten stellen individuelle Glücksvorstellungen dar. erörtern individuelle Glücksvorstellungen. Glückskonzeptionen in Vergangenheit und Gegenwart z. B. Stoa, Flow, Glück als aktive Sinnsetzung, Selbstwirksamkeit materielles vs. immaterielles Glück reflektieren den Umgang mit der eigenen Endlichkeit. Krankheit, Altern, Sterben, Tod Trauer Phasen der Trauerbewältigung, Leiden, carpe diem vs. memento mori religiöse Jenseitsvorstellungen ... Grundbegriffe: Endlichkeit, Freiheit, Gender/Sex, Glück, Identität",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
6,3,0.9780069740869436,"immaterielles Glück reflektieren den Umgang mit der eigenen Endlichkeit. Krankheit, Altern, Sterben, Tod Trauer Phasen der Trauerbewältigung, Leiden, carpe diem vs. memento mori religiöse Jenseitsvorstellungen ... Grundbegriffe: Endlichkeit, Freiheit, Gender/Sex, Glück, Identität Inhaltsbezogener Kompetenzbereich: Fragen nach der Zukunft Leitthema: Verantwortung für Natur und Umwelt Erwartete Kompetenzen am Ende von Schuljahrgang am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
7,4,0.9831707106011027,"Vorurteil Werte Ethik Geschlechterrolle Grundbedürfnisse Initiationsritus Konflikt Konvention Krise Liebe Menschenbild Menschenrechte Menschenwürde Mobbing Orientierung Prävention Selbstbestimmung Selbstwertgefühl Sexualität soziale Rolle Sucht Weltanschauung Weltbild Endlichkeit Erkennen Ethik Gender/Sex Gewalt Glauben/Meinen/Wissen Glück Identität Konflikt Medien Nachhaltigkeit Natur Ökologie Ökonomie Religionskritik Sinnstiftung Toleranz Umwelt Wahrnehmen Wahrheitsansprüche Weltanschauung Weltreligionen - Christentum, Judentum, Islam, Hinduismus, Buddhismus Wirklichkeit Verantwortung",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
8,1,0.97853078472347,"nach der Zukunft Leitthema: Glück und Lebensgestaltung Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... beschreiben individuelle Zukunftswünsche und nennen Kriterien für glückliches Leben. Berufswunsch, fiktiver Lebenslauf, Gesundheit, Frieden, persönliche Sicherheit intakte Umwelt verantwortungsvoller Umgang mit Tieren, Wasser, Luft und Energie, Möglichkeiten zur Übernahme von Verantwortung Schule, Freizeit, Familie und Gesellschaft vergleichen unterschiedliche",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
9,6,0.9795436706179662,"Motivation und Demotivation entwickeln Verhaltensmöglichkeiten für den Umgang mit Erfolg bzw. Misserfolg. Trost, Lob, Anerkennung, Wertschätzung relativen Erfolgs, Inanspruchnahme fremder Hilfe, Bescheidenheit, realistische Selbsteinschätzung, Aufstiegsmöglichkeiten, Versagensängste, Förderprogramme ... Grundbegriffe: Erfolg/Misserfolg, glückliches Leben, Verantwortungsbewusstsein Inhaltsbezogener Kompetenzbereich: Fragen nach Moral und Ethik Leitthema: Regeln für das Zusammenleben Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ...",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
