term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
politisch,789,0.0,0.0,0.0,0.0,0.0,0.0451,0.0,0.0,0.0,0.0,0.0651,0.0
mensch,789,0.0009,0.0,0.003,0.0146,0.0117,0.0,0.0251,0.0,0.0154,0.0,0.0,0.0
sozial,701,0.0,0.0,0.0094,0.0002,0.0,0.0203,0.0031,0.0056,0.0077,0.0,0.0428,0.0
verantwortung,659,0.0,0.0,0.0022,0.0065,0.016,0.0,0.0,0.0059,0.0326,0.0,0.0013,0.0
wirtschaftlich,600,0.0461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0
gesellschaftlich,594,0.0145,0.0,0.0105,0.0,0.0066,0.0174,0.0001,0.0,0.0107,0.0,0.0053,0.0004
ethisch,588,0.0019,0.0015,0.0275,0.0,0.0009,0.0025,0.0003,0.0015,0.0135,0.0,0.0,0.0221
entwicklung,574,0.004,0.0,0.0,0.0099,0.0139,0.0209,0.0021,0.0,0.0,0.0088,0.0,0.003
leben,546,0.0,0.0,0.004,0.0054,0.0044,0.0004,0.0237,0.0006,0.0078,0.0021,0.0,0.0032
wert,517,0.0003,0.0,0.0,0.0,0.0,0.0048,0.0029,0.0,0.014,0.0,0.009,0.0346
entscheidung,511,0.0169,0.0271,0.0,0.0046,0.0034,0.0038,0.0,0.0,0.0015,0.0,0.0,0.0
entwickeln,490,0.0001,0.0367,0.0,0.008,0.0001,0.0058,0.0025,0.0,0.0028,0.0023,0.0,0.0028
ökonomisch,489,0.0,0.0,0.0,0.0,0.0,0.0543,0.0,0.0,0.0,0.0,0.0,0.0
welt,466,0.0,0.0,0.0021,0.0027,0.0286,0.0,0.0162,0.0,0.0054,0.0011,0.0,0.0
frage,466,0.001,0.0012,0.0077,0.0071,0.0,0.0014,0.0087,0.0,0.0145,0.0,0.0012,0.0
gesellschaft,447,0.0051,0.0,0.0,0.0045,0.008,0.0,0.0,0.0,0.0247,0.0,0.0,0.0
bedeutung,446,0.0,0.0,0.0031,0.0044,0.0093,0.0034,0.0074,0.0007,0.0161,0.0,0.0012,0.0
ethik,445,0.0,0.0,0.0103,0.0051,0.0,0.0,0.0001,0.0,0.0098,0.0013,0.0002,0.0265
moralisch,435,0.0,0.0,0.0103,0.0007,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0457
denken,432,0.0032,0.0038,0.0047,0.0032,0.0,0.0061,0.0162,0.0044,0.0026,0.0,0.0,0.0001
menschlich,414,0.0029,0.0,0.0,0.0094,0.0,0.0,0.0091,0.0,0.0008,0.0,0.0,0.0232
norm,414,0.0,0.0,0.0,0.0,0.0,0.0068,0.0012,0.0,0.0066,0.0,0.0055,0.0344
historisch,404,0.0,0.0,0.0,0.0,0.0,0.0048,0.0292,0.0,0.002,0.0,0.0006,0.0
nachhaltig,389,0.0,0.0,0.0,0.0,0.0186,0.0151,0.0,0.0,0.0,0.0198,0.0,0.0
folge,379,0.0103,0.0022,0.0206,0.0022,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0034
fähigkeit,359,0.0,0.0096,0.0,0.0047,0.0,0.0016,0.0,0.0328,0.0,0.0,0.0,0.0
möglichkeit,358,0.0102,0.0,0.0,0.0007,0.0118,0.0012,0.0038,0.0,0.0076,0.0,0.0,0.002
verschieden,351,0.0087,0.0,0.0,0.0,0.0,0.002,0.0107,0.0,0.0054,0.006,0.0,0.0
lernen,334,0.0032,0.01,0.0,0.0024,0.0,0.0,0.0085,0.0194,0.0,0.0,0.0,0.0
motiv,333,0.0,0.0,0.0457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freiheit,328,0.0,0.0,0.0102,0.0034,0.0,0.0,0.0,0.0,0.0174,0.0,0.0,0.0
situation,326,0.0028,0.0146,0.0182,0.0,0.0,0.0,0.0001,0.0,0.0027,0.0,0.0,0.0023
unterschiedlich,323,0.0143,0.0,0.004,0.0023,0.0001,0.0,0.005,0.0004,0.0023,0.0,0.0,0.0021
ziel,321,0.0013,0.0,0.0,0.0098,0.0,0.0076,0.0,0.0076,0.0019,0.0,0.0,0.0044
zusammenhang,321,0.0111,0.0043,0.0,0.0051,0.0,0.0029,0.0,0.0,0.0042,0.0,0.0029,0.0
wissen,309,0.0,0.0,0.0,0.0027,0.0,0.0104,0.0051,0.0081,0.0018,0.0,0.0,0.0033
kontext,306,0.0,0.0038,0.0144,0.001,0.0008,0.0,0.0102,0.0,0.0,0.0,0.0,0.0061
perspektive,304,0.0075,0.0062,0.0,0.0025,0.0,0.0,0.004,0.0,0.0,0.0,0.0015,0.0121
begründen,292,0.0043,0.0173,0.0,0.0029,0.0039,0.0003,0.0006,0.0008,0.0022,0.0,0.0,0.0
inhalt,283,0.0,0.0,0.0,0.0097,0.0,0.0021,0.0082,0.0,0.0,0.0141,0.0,0.0
konflikt,282,0.0,0.0049,0.0,0.0021,0.0,0.0,0.0,0.0,0.0127,0.0,0.0117,0.0
verantwortlich,273,0.0031,0.0,0.0,0.0026,0.0,0.0,0.0,0.0049,0.0085,0.0,0.0,0.0108
prozeß,270,0.0,0.0,0.0,0.0085,0.0,0.0164,0.0007,0.0,0.0,0.0,0.0,0.0
sinn,268,0.0,0.0,0.0,0.0087,0.0,0.0031,0.0023,0.0,0.0064,0.0,0.0057,0.0
urteil,262,0.0,0.0129,0.0,0.0,0.0,0.0024,0.004,0.01,0.0007,0.0,0.0,0.0003
individuell,262,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0075,0.0,0.0
demokratisch,246,0.0,0.0,0.0,0.0,0.0143,0.0125,0.0015,0.0,0.0003,0.0,0.0,0.0014
umgang,245,0.0012,0.0,0.0014,0.0064,0.0002,0.0,0.0045,0.0,0.0083,0.0007,0.0,0.0
regel,235,0.0,0.0007,0.0,0.0055,0.0,0.0,0.0088,0.0,0.0,0.0,0.0124,0.0
orientierung,234,0.0,0.0,0.0003,0.0,0.0,0.0088,0.0037,0.0051,0.0008,0.0076,0.0004,0.0
politik,232,0.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0,0.0057,0.0,0.0101,0.0
medium,229,0.0,0.0,0.0,0.0,0.0177,0.0027,0.0069,0.0,0.0027,0.0,0.0,0.0
akteur,227,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0074,0.0,0.0
interesse,227,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gerechtigkeit,226,0.0,0.0,0.0024,0.0,0.0004,0.0012,0.0,0.0,0.0127,0.0,0.0062,0.0
dimension,224,0.0044,0.0,0.0,0.0003,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0219
grenze,223,0.0037,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0034,0.0,0.0,0.0097
position,221,0.0027,0.0094,0.0069,0.0,0.0039,0.0,0.001,0.0,0.0022,0.0,0.0,0.0
kulturell,221,0.0,0.0,0.0,0.0,0.0083,0.0019,0.0115,0.0,0.0005,0.0,0.0,0.0
struktur,213,0.0128,0.0016,0.0,0.0016,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0028
relevanz,206,0.0,0.0,0.0238,0.0009,0.0,0.0,0.0009,0.0,0.0,0.0018,0.0,0.0
relevant,202,0.0,0.0043,0.0142,0.0,0.0,0.0034,0.0,0.0,0.0026,0.0,0.0,0.0
zentral,196,0.0,0.0,0.0,0.001,0.0,0.0081,0.0019,0.0,0.0,0.0037,0.0088,0.0
beitrag,196,0.0,0.0,0.0,0.0,0.0,0.0183,0.0,0.0002,0.0,0.0,0.0,0.0034
global,194,0.0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0012,0.0,0.0,0.0
persönlich,192,0.0074,0.0,0.0013,0.001,0.0048,0.0,0.0029,0.0,0.0,0.0,0.0,0.0
wirtschaft,190,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geschichte,189,0.0,0.0,0.0,0.0028,0.0,0.0,0.0097,0.0,0.0,0.0075,0.0007,0.0
begriff,189,0.0,0.0,0.0201,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0069
