rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,mensch,789,280.3474936064973,0.04081209493657574
2,verantwortung,659,173.11392813596467,0.025201374119810566
3,umwelt,158,154.99924293573133,0.022564295961459688
4,freiheit,328,138.40777374002286,0.020148962736105565
5,natur,262,116.91111824254784,0.017019548116785847
6,bne,177,108.00721261145011,0.015723345902712443
7,menschlich,414,95.4129174425987,0.013889908537255259
8,gewissen,139,86.03099880071787,0.012524118712013903
9,kriterium,170,84.82755313233184,0.012348924925769035
10,folge,379,82.12607098382668,0.011955651761468834
11,eth,80,80.21324872938149,0.011677189191888
12,entwicklung,574,75.22423630136124,0.010950904657531102
13,bedeutung,446,75.19711194838126,0.010946955980642032
14,notwendigkeit,102,73.30969028262794,0.010672191147837087
15,haushalt,68,73.18035312219884,0.010653362656087956
16,auswirkung,174,68.24923951058342,0.009935506846958564
17,stehen,161,67.74627236969434,0.009862286493033248
18,ökosystem,72,66.57005235750692,0.009691056131077265
19,bewertung,102,66.29424149456288,0.009650904464378897
20,frei,81,63.454726438854365,0.00923753690921868
