term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
politisch,789,0.0003,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
mensch,789,0.036,0.0,0.0259,0.004,0.0246,0.0,0.0051,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0017,0.0072,0.0118,0.0
sozial,701,0.0077,0.0,0.0,0.0,0.0,0.0308,0.0,0.0506,0.0186,0.0,0.0,0.0,0.0038,0.0,0.0146,0.0,0.0065,0.0,0.0,0.0
verantwortung,659,0.0396,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0026,0.0079,0.0008,0.0,0.0056,0.0,0.0,0.0
wirtschaftlich,600,0.0,0.0,0.0,0.0,0.0,0.0799,0.0,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gesellschaftlich,594,0.0054,0.0,0.0,0.0,0.0,0.0318,0.0116,0.0,0.0142,0.0,0.002,0.0,0.0065,0.0028,0.0192,0.0,0.0006,0.0003,0.0,0.0
ethisch,588,0.0038,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0233,0.0219,0.0,0.0
entwicklung,574,0.0,0.0,0.0095,0.0,0.0,0.011,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0087,0.0014,0.0076,0.0303,0.0
leben,546,0.0028,0.0,0.0096,0.0094,0.0,0.0005,0.0092,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0038,0.0146,0.005,0.0187,0.0033,0.0006
wert,517,0.002,0.0,0.0,0.0,0.0,0.003,0.0055,0.0,0.0003,0.0,0.0,0.001,0.0,0.0007,0.0042,0.0,0.0051,0.0472,0.0,0.0053
entscheidung,511,0.0,0.0,0.0,0.0,0.0,0.0094,0.0,0.0,0.021,0.0,0.0,0.0198,0.0,0.0246,0.0,0.0,0.0003,0.0,0.0043,0.0
entwickeln,490,0.0002,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.007,0.0,0.0,0.0,0.0277,0.0105,0.0,0.0,0.0093,0.0068,0.0
ökonomisch,489,0.0,0.0,0.0,0.0,0.0,0.0676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
welt,466,0.0019,0.0,0.0346,0.0128,0.0,0.0011,0.0223,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
frage,466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0085,0.0,0.0063,0.0,0.0282,0.0036,0.0,0.0131
gesellschaft,447,0.0061,0.0,0.0044,0.0,0.0,0.0166,0.0,0.0,0.0251,0.0,0.0028,0.0,0.0,0.0,0.0053,0.0,0.0035,0.0,0.0,0.0
bedeutung,446,0.006,0.0,0.0188,0.0,0.0089,0.0,0.0083,0.0,0.0138,0.0,0.0022,0.0,0.0,0.0015,0.0013,0.0,0.0021,0.0,0.0,0.0067
ethik,445,0.0,0.0,0.002,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0,0.0,0.0022,0.0159,0.0296,0.0,0.0
moralisch,435,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0004,0.0115,0.0,0.0,0.0,0.0115,0.0389,0.0,0.0
denken,432,0.0106,0.0,0.0,0.0012,0.0,0.0,0.008,0.0,0.0001,0.0,0.0,0.0244,0.0,0.0015,0.0054,0.0,0.0066,0.0059,0.0069,0.0082
menschlich,414,0.0138,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0158,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0021,0.0168,0.0,0.0
norm,414,0.0,0.0,0.0,0.0,0.0,0.0024,0.0042,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0058,0.0421,0.0015,0.0
historisch,404,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0
nachhaltig,389,0.0,0.0,0.0099,0.0,0.0,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0
folge,379,0.0028,0.0155,0.0044,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0,0.0075,0.0,0.0,0.0176,0.0,0.0,0.0027,0.0,0.0008
fähigkeit,359,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0061,0.0,0.0,0.0,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.0,0.0056
möglichkeit,358,0.0046,0.0,0.0027,0.0011,0.0,0.0037,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0012,0.0171,0.0
verschieden,351,0.0,0.0,0.0037,0.0,0.0,0.0,0.009,0.0,0.0091,0.0,0.0,0.0,0.0044,0.0015,0.0136,0.0,0.0082,0.0,0.0034,0.0
lernen,334,0.0069,0.0,0.0,0.0,0.0037,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0,0.0,0.0042
motiv,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315,0.0481,0.0,0.0178,0.0,0.0,0.0,0.0,0.0
freiheit,328,0.027,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0
situation,326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0522,0.0,0.0,0.0081,0.0,0.0
unterschiedlich,323,0.0003,0.0,0.0023,0.0,0.0,0.0,0.0104,0.0,0.0083,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0043,0.0033,0.0082,0.0005
ziel,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0269,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0097
zusammenhang,321,0.003,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0032,0.0,0.0,0.0027,0.0,0.0,0.005,0.0006,0.0096,0.0139
wissen,309,0.0,0.0,0.0,0.0088,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0009,0.0068,0.0,0.026
kontext,306,0.0029,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0053,0.0022,0.0242,0.0,0.0001,0.0045,0.0068,0.0
perspektive,304,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0027,0.0169,0.0,0.0,0.0,0.0077,0.0,0.0116,0.0,0.0,0.0072,0.0049,0.0
begründen,292,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0186,0.0,0.0065,0.0017,0.0,0.0
inhalt,283,0.0126,0.0,0.0,0.0,0.0008,0.0059,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189
konflikt,282,0.0,0.0,0.0121,0.0,0.0,0.0055,0.0,0.0,0.0089,0.0051,0.0,0.0,0.0028,0.0062,0.0,0.0,0.0,0.0,0.0,0.0
verantwortlich,273,0.0049,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0175,0.0105,0.0,0.0
prozeß,270,0.0,0.0,0.0,0.0005,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329
sinn,268,0.0015,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0188
problem,265,0.0063,0.0,0.0,0.0,0.0,0.013,0.0016,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0039,0.0031,0.0,0.0
urteil,262,0.0,0.0188,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0096,0.0055,0.0,0.0
individuell,262,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0187,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natur,262,0.0057,0.0,0.0162,0.001,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
demokratisch,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umgang,245,0.0,0.0,0.0101,0.007,0.0,0.0,0.0086,0.0,0.0034,0.0,0.0,0.0,0.0031,0.0,0.0011,0.0018,0.0001,0.0,0.0,0.0069
form,241,0.0,0.0204,0.0054,0.0,0.0,0.0002,0.0,0.0,0.008,0.0,0.0,0.0,0.0039,0.0013,0.0,0.0,0.0069,0.0,0.0028,0.0
regel,235,0.0,0.0,0.0,0.0,0.0,0.0011,0.0071,0.0,0.0065,0.0172,0.0,0.0,0.0,0.0,0.0023,0.0,0.0072,0.0,0.0007,0.0055
orientierung,234,0.0,0.0,0.0,0.0044,0.0,0.0,0.0202,0.0,0.0,0.014,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0021,0.0
