term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
ökologisch,98,0.0001,0.0664,0.0518,0.0001,0.002,0.0003,0.0001,0.0699,0.0175,0.0371,0.0006,0.0003
sozial,91,0.0001,0.0005,0.0002,0.0184,0.002,0.0003,0.0755,0.0007,0.0011,0.0001,0.0196,0.0047
beziehung,74,0.0199,0.0005,0.0231,0.0001,0.002,0.0003,0.0001,0.0109,0.042,0.047,0.0197,0.0003
markt,66,0.0001,0.009,0.0002,0.0378,0.002,0.0003,0.0167,0.0007,0.0011,0.0001,0.0005,0.0004
marktwirtschaft,58,0.0001,0.0005,0.0002,0.0036,0.002,0.0003,0.0612,0.0007,0.0011,0.0001,0.0005,0.0003
ökonomisch,58,0.0892,0.0007,0.0003,0.028,0.002,0.0003,0.0119,0.0007,0.0011,0.0001,0.0005,0.0009
nische,55,0.0001,0.0359,0.0236,0.0001,0.002,0.0003,0.0001,0.0467,0.0174,0.0222,0.0006,0.0003
parasitismus,53,0.0001,0.0005,0.0317,0.0001,0.002,0.0003,0.0001,0.0007,0.0256,0.0326,0.0006,0.0003
bedeutung,48,0.0357,0.0006,0.0022,0.0119,0.0019,0.0164,0.0088,0.0007,0.0011,0.0001,0.0196,0.0051
international,48,0.1037,0.0005,0.0002,0.0087,0.002,0.0003,0.0002,0.0007,0.0011,0.0001,0.0005,0.0148
entwicklung,47,0.0025,0.0007,0.0026,0.0001,0.0021,0.0352,0.0162,0.0058,0.0011,0.0079,0.0005,0.0003
global,45,0.0534,0.0005,0.0002,0.0102,0.0019,0.007,0.0004,0.0058,0.0011,0.0001,0.0005,0.0032
räuberbeutebeziehung,45,0.0001,0.0005,0.0255,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0312,0.0005,0.0003
faktor,44,0.0001,0.0006,0.0405,0.0001,0.002,0.0003,0.0001,0.0174,0.0174,0.0159,0.0005,0.0003
politisch,43,0.0533,0.0006,0.0003,0.0205,0.0019,0.0057,0.0017,0.0007,0.0011,0.0001,0.0005,0.0212
wirtschaftlich,43,0.0103,0.0005,0.0002,0.0154,0.002,0.0003,0.0307,0.0007,0.0011,0.0001,0.0005,0.0006
interspezifisch,42,0.0001,0.0005,0.0227,0.0001,0.002,0.0003,0.0001,0.0109,0.0011,0.0278,0.0006,0.0003
europäisch,39,0.0444,0.0005,0.0002,0.0001,0.002,0.0105,0.0001,0.0007,0.0011,0.0001,0.0005,0.0003
symbios,36,0.0001,0.0005,0.0143,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0287,0.0005,0.0003
art,35,0.0001,0.0027,0.0113,0.0001,0.0021,0.0396,0.0001,0.0007,0.0011,0.0087,0.0005,0.0084
globalisierung,34,0.0342,0.0006,0.0002,0.0001,0.002,0.0003,0.0002,0.0115,0.0011,0.0001,0.0005,0.0097
ökosystem,34,0.0001,0.0006,0.0424,0.0001,0.0026,0.0003,0.0001,0.0007,0.0011,0.0098,0.0005,0.0003
biotisch,33,0.0001,0.0005,0.0143,0.0001,0.002,0.0003,0.0001,0.0007,0.0011,0.0256,0.0005,0.0003
angepasstheit,32,0.0001,0.0616,0.0003,0.0001,0.002,0.0237,0.0001,0.0062,0.0011,0.0063,0.0005,0.0003
abiotisch,31,0.0001,0.0005,0.019,0.0001,0.0021,0.0003,0.0001,0.0007,0.0011,0.0208,0.0005,0.0003
unternehmen,31,0.0352,0.0005,0.0006,0.009,0.002,0.0003,0.0035,0.0007,0.0011,0.0001,0.0005,0.0003
deutschland,30,0.0104,0.0005,0.0002,0.0001,0.002,0.0003,0.0074,0.0007,0.0011,0.0001,0.0005,0.0295
staat,30,0.0001,0.0005,0.0002,0.003,0.002,0.0003,0.014,0.0007,0.0011,0.0001,0.0005,0.016
inhalt,29,0.0001,0.0005,0.0089,0.0066,0.002,0.0003,0.0156,0.0009,0.0181,0.0001,0.0005,0.0235
umweltfaktor,28,0.0001,0.0051,0.0004,0.0001,0.0027,0.0003,0.0001,0.0007,0.0093,0.0265,0.0005,0.0003
