rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,markt,66,52.1429215189939,0.03776662520898752
2,ökonomisch,58,38.623531377215365,0.02797465871258315
3,marktwirtschaftlich,27,32.67925388611866,0.02366927471021777
4,modell,22,30.73244380286412,0.02225921856787888
5,nachfrage,23,30.228282375269675,0.021894059211131835
6,kooperation,27,29.519125335616497,0.021380423470159005
7,politisch,43,28.272480566977304,0.020477490447336506
8,versus,14,27.993029399903488,0.020275086608356245
9,sozial,91,25.4416468602816,0.01842714435020036
10,angebot,25,24.503376560767904,0.017747564040655365
11,ordnung,25,21.899484013361093,0.015861589280177727
12,wirtschaftlich,43,21.242255414292167,0.015385564817900092
13,rolle,25,20.936497481131823,0.015164107236891038
14,demokratisch,15,18.45599367721692,0.013367501777072346
15,prinzip,15,18.218565233877506,0.013195534599700309
16,preisbildung,21,17.774429867358172,0.012873851551632473
17,beitragen,5,17.722013703496376,0.01283588701957724
18,vollkommen,15,17.59324027028666,0.01274261763905098
19,konflikt,19,17.260940883642988,0.012501936334149862
20,verbraucher,7,17.04236082579338,0.012343620864235927
