document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,2,0.9776859984405007,"In der aktiven Auseinandersetzung mit fachlichen Inhalten, Prozessen und Ideen erweitert sich der vorhandene Wortschatz, und es entwickelt sich ein zunehmend differenzierter und bewusster Einsatz von Sprache. Dadurch entstehen Möglichkeiten, Konzepte sowie eigene Wahrnehmungen, Gedanken und Interessen angemessen darzustellen. Die interdisziplinäre Verknüpfung von Schritten einer kumulativen Kompetenzentwicklung, inhaltliche Kooperationen mit anderen Fächern und Lernbereichen sowie außerschulisches Lernen und Kooperationen mit außerschulischen",NRW,,Sek1,2024.0,"Ethik, Philo"
1,1,0.9641605751970098,"Positionen unter Berücksichtigung unterschiedlicher Perspektiven kriteriengeleitet einen eigenen, argumentativ gestützten, plausiblen Standpunkt zu entwickeln. Dazu gehört sowohl die Prüfung der Stichhaltigkeit wie die Gewichtung von Argumenten, die selbstkritische Prüfung eigener Konzepte und Überzeugungen als auch die kritische Prüfung differenter Weltanschauungen. Zudem beinhaltet Urteilskompetenz die Fähigkeit, eine Wertung von Aussagen, Sichtweisen oder Überzeugungen vorzunehmen, indem diese begründet aufgegriffen oder verworfen werden. Urteilskompetenz",NRW,,Sek1,2024.0,"Ethik, Philo"
2,3,0.3457286848462052,"Inhalte gebunden. Philosophische Grundbildung soll deshalb mit Blick auf die nachfolgenden Inhaltsfelder bis zum Ende der Sekundarstufe I entwickelt werden. Inhaltsfeld : Das Selbst In diesem Inhaltsfeld geht es um Konzepte in Bezug auf den Menschen, dessen Persönlichkeit und Entwicklung. Hierbei werden individuelle Fähigkeiten, Emotionen sowie Vernunft und Vorstellungen des Seins besprochen. Verschiedene Möglichkeiten, sich und die eigene Persönlichkeit auszudrücken, werden",NRW,,Sek1,2024.0,"Ethik, Philo"
3,3,0.46129667569547717,"das Verhältnis von Vernunft und Glaube. Im Fokus stehen hier verschiedene Lebensentwürfe, Sinnsuche und Grenzerfahrungen. Es werden unterschiedliche Überzeugungen und Weltanschauungen in den Blick genommen und für die Weiter-Entwicklung eigener Konzepte genutzt. Das Inhaltsfeld umfasst in diesem Sinne auch eine Auseinandersetzung mit den Weltreligionen. Inhaltsfeld : Menschliche Erkenntnis Dieses Inhaltsfeld beschäftigt sich mit Grundproblemen des Wahrnehmens und Erkennens. Schwerpunktmäßig werden die",NRW,,Sek1,2024.0,"Ethik, Philo"
4,5,0.5852989863366056,"von Vielfalt, unterschiedlichen Kulturen und religiösen Ausdrucksformen für das Leben in einer pluralen Welt, erläutern Wahrnehmungs- und Erkenntnisprozesse auch im Hinblick auf den Einfluss und den Umgang mit Medien, erläutern Konzepte von Nachhaltigkeit, reflektieren Chancen und Grenzen der Gestaltung von Zukunft. Methodenkompetenz Die Schülerinnen und Schüler erschließen Kernaussagen und Grundgedanken einfacher diskursiver und präsentativer Materialien mit philosophischem Gehalt, recherchieren in analogen",NRW,,Sek1,2024.0,"Ethik, Philo"
5,5,0.5992654611669909,"Möglichkeiten und Grenzen eigenen Handelns hinsichtlich der Gestaltung von Nachhaltigkeitsprozessen u. a. im Kontext Mensch - Natur - Technik, gegenwärtige - nachfolgende Generationen. Urteilskompetenz Die Schülerinnen und Schüler erörtern kriteriengeleitet Konzepte von Frieden und Krieg u. a. Pazifismus, bellum iustum, beurteilen Chancen und Gefahren von technischen und wissenschaftlichen Entwicklungen, beurteilen die Chancen und Herausforderungen werteorientierter, lokaler und globaler Kooperationen für nachhaltiges",NRW,,Sek1,2024.0,"Ethik, Philo"
6,5,0.3195177030319606,"Nachhaltigkeit. Inhaltsfeld : Sinnsuche und Lebensentwürfe Inhaltliche Schwerpunkte: - Lebensgestaltung - Grenzerfahrungen Sachkompetenz Die Schülerinnen und Schüler beschreiben Träume, Sinnsuche und Glück in ihrer Bedeutung für das eigene Leben, vergleichen Konzepte der Lebensgestaltung u. a. Eudaimonie, Religiosität, beschreiben Verhalten und Handlungen mit Bezug auf unterschiedliche Lebensweisen und Weltanschauungen, stellen unterschiedliche Lebensentwürfe und verschiedene Möglichkeiten des Umgangs mit Grenzerfahrungen dar, erläutern Handlungen",NRW,,Sek1,2024.0,"Ethik, Philo"
7,2,0.6497874213124409,"das Verhältnis von Vernunft und Glaube. Urteilskompetenz Die Schülerinnen und Schüler erörtern Voraussetzungen und Konsequenzen unterschiedlicher Lebensweisen mit Blick auf ein gelingendes Leben, beurteilen die Überzeugungskraft unterschiedlicher Weltanschauungen und philosophischer Konzepte Religionen, Aufklärung, erläutern die Relevanz philosophischer Konzepte und religiöser Glaubensaussagen für das eigene Leben und die gesellschaftliche Wirklichkeit, bewerten die Bedeutsamkeit unterschiedlicher Grenzerfahrungen u. a. Krankheit, Tod für das eigene",NRW,,Sek1,2024.0,"Ethik, Philo"
8,2,0.6187186403585291,"Die Schülerinnen und Schüler erörtern Voraussetzungen und Konsequenzen unterschiedlicher Lebensweisen mit Blick auf ein gelingendes Leben, beurteilen die Überzeugungskraft unterschiedlicher Weltanschauungen und philosophischer Konzepte Religionen, Aufklärung, erläutern die Relevanz philosophischer Konzepte und religiöser Glaubensaussagen für das eigene Leben und die gesellschaftliche Wirklichkeit, bewerten die Bedeutsamkeit unterschiedlicher Grenzerfahrungen u. a. Krankheit, Tod für das eigene und für menschliches Leben allgemein, erörtern kriteriengeleitet",NRW,,Sek1,2024.0,"Ethik, Philo"
9,2,0.3612871071955859,"Hierbei werden individuelle Fähigkeiten, Emotionen sowie Vernunft und Vorstellungen des Seins besprochen. Verschiedene Möglichkeiten, sich und die eigene Persönlichkeit auszudrücken, werden in den Blick genommen. Durch die Auseinandersetzung mit diesen Konzepten werden eigene Handlungsmöglichkeiten eröffnet. Inhaltsfeld : Zwischenmenschliche Beziehungen Dieses Inhaltsfeld greift zwischenmenschliche Beziehungen auf einer persönlichen und gemeinschaftlichen Ebene auf. Lebensweisen und soziale Beziehungen von Menschen mit unterschiedlichen Wertvorstellungen und",NRW,,Sek1,2024.0,"Ethik, Philo"
10,2,0.9723041804414627,"Bewertung von schriftlichen, mündlichen und fachspezifischen Leistungen und bestimmt deren Verhältnis bei der Festlegung der Zeugnisnote, wirkt mit bei der Erstellung des fächerübergreifenden Konzepts zur Beruflichen Orientierung und greift das Konzept im Fachcurriculum auf, entwickelt ein fachbezogenes Konzept zum Einsatz von Medien im Zusammenhang mit dem schulinternen Mediencurriculum, wirkt mit bei der Entwicklung des Förderkonzepts der Schule und stimmt die erforderlichen",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
11,2,0.9713527042874532,"und bestimmt deren Verhältnis bei der Festlegung der Zeugnisnote, wirkt mit bei der Erstellung des fächerübergreifenden Konzepts zur Beruflichen Orientierung und greift das Konzept im Fachcurriculum auf, entwickelt ein fachbezogenes Konzept zum Einsatz von Medien im Zusammenhang mit dem schulinternen Mediencurriculum, wirkt mit bei der Entwicklung des Förderkonzepts der Schule und stimmt die erforderlichen Maßnahmen zur Umsetzung ab, initiiert die Nutzung",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
12,1,0.5507816071011019,"und grundlegende Arbeitsverfahren und Begriffe dabei in besonderem Maße nachgewiesen werden. Das bedeutet, dass der Text gründlich und differenziert erfasst wurde, insbesondere die Unterscheidung zwischen einem libertarischen und einem deterministischen Konzept sowie die Begriffe Antizipation, Selbstreflexion und Selbstkontrolle, die Beantwortung der Fragen ausgeprägtes Theorie- und Problemverständnis zeigt - z. B. von grundlegenden Gedanken Schopenhauers und Epikurs - und die Fähigkeit zu",,,,2006.0,"Ethik, Philo"
