term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
fach,394,0.0062,0.0218,0.0014,0.0431,0.0002
kompetenz,308,0.0026,0.0148,0.0108,0.0181,0.0046
naturwissenschaftlich,284,0.0258,0.0,0.0108,0.0006,0.0001
fachlich,260,0.014,0.0156,0.0074,0.0036,0.0
inhaltsfelder,222,0.0,0.0118,0.0,0.0312,0.0
zusammenhang,221,0.0128,0.0119,0.0053,0.0041,0.0001
entwicklung,219,0.0038,0.012,0.0018,0.0056,0.0097
sachverhalt,199,0.0182,0.0,0.008,0.0,0.0
entwickeln,195,0.003,0.0137,0.0134,0.0,0.001
inhalt,178,0.0044,0.0068,0.0017,0.0138,0.0029
basiskonzept,169,0.0012,0.0001,0.0,0.0317,0.0
beschreiben,169,0.0215,0.0,0.0,0.0,0.0
struktur,168,0.0006,0.0052,0.0011,0.0213,0.0025
wissen,167,0.0094,0.0,0.0133,0.0,0.0
lernende,161,0.0047,0.0063,0.0067,0.0048,0.0021
historisch,155,0.0146,0.0005,0.0005,0.0007,0.0026
erläutern,150,0.0119,0.0002,0.0,0.0,0.0062
sachverhalte,144,0.0144,0.0,0.0042,0.0,0.0
unterricht,144,0.0,0.0007,0.0052,0.0154,0.003
inhaltlich,138,0.0023,0.0177,0.0,0.0057,0.0
politisch,127,0.0,0.0001,0.0033,0.0,0.0119
verschieden,126,0.0065,0.0015,0.0029,0.0,0.0127
perspektive,124,0.0022,0.0008,0.0009,0.0166,0.0012
kenntnis,123,0.0127,0.0,0.0033,0.0,0.0
kontext,119,0.0118,0.0018,0.0022,0.0001,0.0
biologisch,117,0.0051,0.0,0.0108,0.0006,0.0
grundlegend,115,0.0031,0.0155,0.002,0.0,0.0
erklären,114,0.0144,0.0,0.0,0.0,0.0
problem,114,0.0056,0.0,0.0102,0.0,0.0
jahrgangsstufe,113,0.002,0.0034,0.0,0.0155,0.0
bildungsstandard,113,0.0,0.0099,0.0,0.0121,0.0
aspekt,111,0.0087,0.0,0.0018,0.0029,0.0018
nutzen,110,0.0051,0.0,0.0063,0.0037,0.0007
sozial,109,0.0,0.0003,0.001,0.0017,0.0102
theorie,107,0.004,0.0,0.0092,0.0,0.0013
phänomen,105,0.0078,0.0,0.0063,0.0,0.0
funktion,105,0.0001,0.0037,0.0,0.0113,0.0031
grundlage,104,0.0025,0.0006,0.0043,0.0095,0.0005
aufgabe,103,0.0032,0.0023,0.0085,0.0015,0.0
inhaltliche,102,0.0015,0.0063,0.0,0.0112,0.0
sachverhalten,101,0.0127,0.0,0.0,0.0,0.0
biologie,97,0.002,0.0,0.0016,0.014,0.0
prinzip,96,0.0106,0.0002,0.0016,0.0,0.0
strukturieren,95,0.0092,0.0,0.0031,0.0,0.0
beurteilen,92,0.0027,0.0005,0.0064,0.0,0.0028
bewertung,87,0.0002,0.0023,0.0031,0.0102,0.0001
begründen,83,0.0076,0.0,0.0034,0.0,0.0
auswählen,82,0.0082,0.0001,0.0025,0.0,0.0
kompetenzbereiche,82,0.0,0.0053,0.0,0.0108,0.0
modell,77,0.0,0.0,0.0093,0.0,0.0016
fragestellung,74,0.0,0.0,0.0092,0.0018,0.0
erkennen,73,0.0078,0.0001,0.0015,0.0,0.0001
fachcurriculum,73,0.0,0.0142,0.0,0.0,0.0
lernzeitbezogene,72,0.0,0.0,0.0,0.0138,0.0
wirken,71,0.0,0.0138,0.0,0.0,0.0
bezug,70,0.0046,0.0013,0.0004,0.0,0.0103
geeignet,68,0.0024,0.0,0.0037,0.0,0.0101
kerncurriculum,68,0.0,0.0,0.0,0.0132,0.0
fachbezogen,67,0.0019,0.0088,0.0011,0.0,0.0
vernetzung,65,0.0017,0.0,0.0001,0.0101,0.0
kompetenzerwartungen,64,0.0,0.0,0.0,0.0122,0.0
schulintern,63,0.0,0.0124,0.0,0.0,0.0
begründet,63,0.0017,0.0,0.0071,0.0,0.0002
prozeß,63,0.0,0.0112,0.0,0.0016,0.0
medium,60,0.0,0.0083,0.0,0.0,0.0096
darstellung,59,0.0,0.0115,0.0,0.0,0.0
frage,59,0.0,0.0001,0.0067,0.0,0.0011
situation,58,0.0,0.0,0.0085,0.0,0.0
auseinandersetzung,56,0.0,0.0054,0.0006,0.0006,0.0098
verhältnis,54,0.0,0.009,0.0011,0.0,0.0001
iii,53,0.0,0.0,0.0076,0.0,0.0
einsatz,52,0.0,0.0103,0.0,0.0,0.0
umsetzung,49,0.0,0.0098,0.0,0.0,0.0
problemstellung,45,0.0,0.0,0.0068,0.0,0.0
wert,44,0.0012,0.0001,0.0,0.0,0.0189
leben,42,0.0,0.0001,0.0,0.0,0.0195
vorstellung,41,0.0,0.0001,0.0038,0.0,0.0091
diskutieren,36,0.0,0.0001,0.0012,0.0,0.0108
rolle,31,0.0,0.0001,0.0,0.0009,0.0105
demokratie,27,0.0,0.0002,0.0,0.0,0.0181
markt,20,0.0,0.0,0.0,0.0,0.0251
hierbei,18,0.0,0.0,0.0,0.0,0.0095
norm,18,0.0,0.0001,0.0003,0.0,0.0093
demokratisch,17,0.0,0.0,0.0,0.0,0.0095
konsum,10,0.0,0.0,0.0,0.0,0.0162
gut,8,0.0,0.0,0.0,0.0,0.0161
