rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,respektieren,27,23.392280614894887,0.03533887855951371
2,solidarität,40,20.696193594753463,0.0312658814302816
3,verhaltensweise,20,17.470292614171463,0.026392490721843576
4,produktiv,17,17.229828256255647,0.026029219569185313
5,fähigkeit,56,17.206842676810094,0.025994495096868183
6,beziehung,28,13.957336529897796,0.021085443901962146
7,meinung,22,13.746084229800916,0.020766303605150385
8,arbeiten,42,12.569659596077505,0.018989070852602933
9,regel,21,12.389523989068287,0.018716938757184685
10,aufgabe,58,12.041775855596889,0.01819159326991234
11,fremdsprache,10,11.416047002871895,0.017246300405925737
12,idee,16,11.256623599325197,0.01700545837815467
13,zeigen,17,11.226758050828288,0.01696034028946461
14,sozial,104,10.962060988432976,0.016560460624157766
15,nehmen,19,10.92336014579307,0.016501994996085075
16,handeln,49,10.681856055232682,0.0161371531121986
17,verstehen,15,10.39050443474491,0.015697006223400634
18,teamfähigkeit,37,10.37409204313518,0.015672211910972705
19,aufmerksam,12,10.373580695693626,0.015671439414890076
20,anteil,17,10.373554451663642,0.01567139976785421
