document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,2,0.9782515614146247,"sich ein zunehmend differenzierter und bewusster Einsatz von Sprache. Dadurch entstehen Möglichkeiten, Konzepte sowie eigene Wahrnehmungen, Gedanken und Interessen angemessen darzustellen. Die interdisziplinäre Verknüpfung von Schritten einer kumulativen Kompetenzentwicklung, inhaltliche Kooperationen mit anderen Fächern und Lernbereichen sowie außerschulisches Lernen und Kooperationen mit außerschulischen Partnern können sowohl zum Erreichen und zur Vertiefung der jeweils fachlichen Ziele als auch zur Erfüllung übergreifender Aufgaben",NRW,,Sek1,2024.0,"Ethik, Philo"
1,2,0.9776337805849991,"entstehen Möglichkeiten, Konzepte sowie eigene Wahrnehmungen, Gedanken und Interessen angemessen darzustellen. Die interdisziplinäre Verknüpfung von Schritten einer kumulativen Kompetenzentwicklung, inhaltliche Kooperationen mit anderen Fächern und Lernbereichen sowie außerschulisches Lernen und Kooperationen mit außerschulischen Partnern können sowohl zum Erreichen und zur Vertiefung der jeweils fachlichen Ziele als auch zur Erfüllung übergreifender Aufgaben beitragen. Der vorliegende Kernlehrplan ist so gestaltet, dass er Freiräume",NRW,,Sek1,2024.0,"Ethik, Philo"
2,1,0.9688822357411271,"erörtern kriteriengeleitet Konzepte von Frieden und Krieg u. a. Pazifismus, bellum iustum, beurteilen Chancen und Gefahren von technischen und wissenschaftlichen Entwicklungen, beurteilen die Chancen und Herausforderungen werteorientierter, lokaler und globaler Kooperationen für nachhaltiges Handeln, erörtern Chancen auf ein gelingendes Leben im Kontext globaler Krisen und Erfordernissen von Nachhaltigkeit. Inhaltsfeld : Sinnsuche und Lebensentwürfe Inhaltliche Schwerpunkte: - Lebensgestaltung - Grenzerfahrungen Sachkompetenz Die",NRW,,Sek1,2024.0,"Ethik, Philo"
3,4,0.9649128843361473,"Rückgriff auf Begriffe und Forschungsergebnisse der Religionswissenschaft. Auch deshalb stimmt sich die Fachkonferenz des Faches Werte und Normen mit den Fachkonferenzen der Konfessionen und Religionen bezüglich formaler Vorgaben und der Kooperation, z. B. bei gemeinsamen Exkursionen, ab. Gesellschaftswissenschaftlicher Bezug Der Unterricht im Fach Werte und Normen soll zum Verständnis der in der Gesellschaft wirksamen Wertvorstellungen und Normen beitragen. Dies verlangt neben",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
4,3,0.9756142473945908,"höheren Anspruch haben. Diese Angebote dienen der Vertiefung und Erweiterung und lassen komplexe Fragestellungen zu. Innere Differenzierung fordert und fördert fächerübergreifende Kompetenzen wie das eigenverantwortliche, selbstständige Lernen und Arbeiten, die Kooperation und Kommunikation in der Lerngruppe sowie das Erlernen und Beherrschen wichtiger Lern- und Arbeitstechniken. Um den Schülerinnen und Schülern eine aktive Teilnahme am Unterricht zu ermöglichen, ist es vorteilhaft, sie",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
5,4,0.9689758519151318,"ist sie ein pädagogisches Prinzip für die Gestaltung von Unterricht im Allgemeinen und für die Organisation von Lernprozessen im Besonderen, auch hinsichtlich der Sozialformen. Eine bedeutsame Rolle kommt dabei dem kooperativen Lernen zu. Ziele der inneren Differenzierung sind die individuelle Förderung und die soziale Integration der Schülerinnen und Schüler. Aufbauend auf einer Diagnose der individuellen Lernvoraussetzungen unterscheiden sich die Lernangebote z.",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
6,2,0.9748253816199919,"B. durch Einsatz von digitalen und elektronischen Medien, Plakat, Modell - Ergebnisse von Partner- oder Gruppenarbeiten und deren Darstellung - Langzeitaufgaben und Lernwerkstattprojekte - Freie Leistungsvergleiche z. B. Schülerwettbewerbe Bei kooperativen Arbeitsformen sind sowohl die individuelle Leistung als auch die Gesamtleistung der Gruppe in die Bewertung einzubeziehen. So werden neben methodisch-strategischen auch die sozial-kommunikativen Leistungen angemessen berücksichtigt. Die Grundsätze der Leistungsfeststellung",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
7,5,0.9731710783409764,"und -arbeiten in einer demokratischen Gesellschaft und für das friedliche Zusammenleben der Völker sind ihnen vertraut. Die Lernenden erweitern ihre interkulturelle Kompetenz und bringen sich im Dialog und in der Kooperation mit Menschen unterschiedlicher kultureller Prägung aktiv und gestaltend ein. Eigene und gesellschaftliche Perspektiven werden von ihnen zunehmend sachgerecht eingeschätzt. Die Lernenden übernehmen Verantwortung für sich und ihre Mitmenschen, für die",Berlin,Gym,Sek2,2022.0,"Ethik, Philo"
8,3,0.9756321357818989,"die Gestaltung des schulinternen Curriculums, in dem der Bildungs- und Erziehungsauftrag von Schule standortspezifisch konkretisiert wird. Dazu werden fachbezogene, fachübergreifende und fächerverbindende Entwicklungsschwerpunkte sowie profilbildende Maßnahmen festgelegt. Schulinternes Curriculum Die Kooperation innerhalb der einzelnen Fachbereiche ist dabei von ebenso großer Bedeutung wie fachübergreifende Absprachen und Vereinbarungen. Beim Erstellen des schulinternen Curriculums werden regionale und schulspezifische Besonderheiten sowie die Neigungen und Interessenlagen",Berlin,Gym,Sek2,2022.0,"Ethik, Philo"
9,1,0.9684570539610797,"können z. B. angeboten werden: die Lektüre einer komplexeren Ganzschrift das Verhältnis von Philosophie und Kunst, Literatur, Film, Musik, Naturwissenschaften oder Religion außereuropäische philosophische Richtungen Fremdsprachiger Sachfachunterricht Die zunehmende internationale Kooperation und der globale Wettbewerb verändern die Erwartungen an Lernende. Die Fähigkeit, Vorträge, Texte und Materialien zu einer Vielfalt von Themen in einer Fremdsprache verstehen und präsentieren zu können, wird an",Berlin,Gym,Sek2,2022.0,"Ethik, Philo"
