term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
lernen,179,0.0001,0.0215,0.0169,0.0196,0.0185
kommunikation,136,0.0024,0.0191,0.0001,0.0001,0.0289
international,121,0.0314,0.0001,0.0001,0.0043,0.0001
individuell,117,0.0001,0.0178,0.0003,0.0234,0.0036
sozial,104,0.0168,0.0026,0.0068,0.0001,0.0078
medium,85,0.002,0.0049,0.0003,0.0189,0.0082
konflikt,84,0.0189,0.0046,0.0001,0.0001,0.0001
angemessen,83,0.0036,0.0132,0.0128,0.0001,0.0001
entwicklung,81,0.019,0.0001,0.0001,0.0001,0.0028
politisch,80,0.0215,0.0001,0.0001,0.0001,0.0114
bedeutung,80,0.0121,0.0044,0.0001,0.0043,0.0035
unterschiedlich,76,0.0055,0.0111,0.0059,0.0052,0.0023
fördern,72,0.0009,0.0067,0.0001,0.0108,0.0134
möglichkeit,69,0.0055,0.0001,0.0175,0.0053,0.0001
selbstständig,68,0.0001,0.0129,0.0041,0.0003,0.0129
partner,66,0.0035,0.0078,0.0143,0.0001,0.0001
leistung,66,0.0001,0.0219,0.0001,0.002,0.0001
angebot,64,0.0001,0.0001,0.0033,0.0152,0.01
nutzen,63,0.0006,0.0112,0.0028,0.0054,0.0072
sowohl,61,0.0001,0.0076,0.0119,0.0001,0.0068
digital,61,0.0001,0.0045,0.0001,0.0036,0.0188
entwickeln,60,0.0088,0.0066,0.0047,0.0001,0.0001
außerschulisch,59,0.0001,0.0001,0.0277,0.0001,0.0001
ziel,59,0.0055,0.0018,0.0152,0.0017,0.0001
gesellschaftlich,59,0.0095,0.0037,0.0002,0.0033,0.0001
aufgabe,58,0.0001,0.0014,0.0253,0.0001,0.0001
modell,58,0.0079,0.01,0.0031,0.0001,0.0001
europäisch,57,0.0118,0.0001,0.0001,0.0001,0.0032
fähigkeit,56,0.0085,0.0001,0.0001,0.0107,0.0001
arbeit,54,0.0035,0.0001,0.0001,0.0062,0.0106
sozialkompetenz,54,0.0012,0.0088,0.0034,0.0051,0.0001
verschieden,52,0.0098,0.0014,0.0006,0.0001,0.0022
rahmen,49,0.0001,0.0001,0.0061,0.0168,0.0001
vertiefung,48,0.0001,0.0001,0.0115,0.0001,0.0097
ökonomisch,48,0.0139,0.0001,0.0001,0.0001,0.0087
interesse,48,0.0032,0.0001,0.0173,0.0001,0.0001
einsatz,47,0.0001,0.0089,0.0054,0.0001,0.0054
arbeitsform,46,0.0001,0.0143,0.0001,0.0021,0.0001
aktiv,45,0.0001,0.0001,0.0001,0.0125,0.0089
