Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
kooperation,international,kooperation,jahrgangsstufe,leistung,lernende,kooperation
außerschulisch,kooperation,politisch,niveaustufen,kooperativ,kooperativ,lernen
lernen,konflikt,ökonomisch,einzeln,individuell,sozialkompetenz,kompetenz
angebot,lernende,kommunikation,unterricht,arbeitsform,lernen,fördern
möglichkeit,konfrontation,sozial,modell,modell,arbeiten,unterricht
medium,medium,entwicklung,kooperativ,bewertung,gesellschaftlich,fächerübergreifend
fach,beziehung,europäisch,niveaustufe,einbeziehen,verantwortung,fähigkeit
ziel,solidarität,welt,hierbei,ergebnis,entwickeln,erweiterung
interesse,respektieren,handeln,zugeordnen,gruppe,nutzen,dienen
rahmen,deutsch,fach,curriculum,darstellung,fähigkeit,angebot
aufgabe,politik,wirtschaftlich,bildung,schriftlich,übernehmen,arbeit
inhaltlich,krieg,bedeutung,vermitteln,angemessen,sozial,lassen
erreichen,regel,fachkonzept,lernende,einsatz,beurteilen,kommunikation
wahrnehmung,global,chance,fachübergreifend,digital,kooperation,vertiefung
entstehen,meinung,unterschiedlich,lernen,kooperation,gemeinsam,ermöglichen
übergreifend,inhalt,erkennen,sowohl,gruppenarbeit,konflikt,lerngruppe
kompetenzentwicklung,aufgabe,ziel,kooperation,sowohl,selbstständig,arbeitstechniken
partner,europa,lernen,integrativ,frei,kompetenz,fragestellung
fachlich,staat,entwickeln,jahrgangsstuf,grundsatz,angemessen,komplex
lernbereiche,aktuell,reflektieren,schulintern,leistungsvergleiche,information,selbstständig
