topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,2,0.1215,231,61.7328
2,17,0.1016,194,95.6525
3,15,0.0823,109,75.9738
4,1,0.0768,119,63.1578
5,19,0.0714,110,67.6146
6,11,0.0714,103,44.3853
7,12,0.0674,109,67.387
8,13,0.0435,49,39.1684
9,5,0.0412,58,53.4108
10,8,0.0378,47,60.7842
11,9,0.0363,46,107.5007
12,6,0.0354,52,66.4241
13,10,0.0339,38,89.8214
14,7,0.0302,30,117.9952
15,20,0.0301,40,124.2751
16,4,0.0282,32,222.7007
17,14,0.0269,29,60.1034
18,18,0.0236,23,77.5938
19,16,0.0224,25,101.4792
20,3,0.018,22,105.4815
