rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,deutsch,123,61.257050193206545,0.036536920744184326
2,musik,58,57.544268741154,0.03432242296431628
3,religionsunterricht,56,56.152428770921865,0.03349225653415737
4,englisch,47,47.0814422231016,0.028081843928197008
5,kunst,135,44.79160200772154,0.026716063006616404
6,latein,36,36.012376555947384,0.02147967203586131
7,spanisch,35,34.91536710683053,0.020825358007164434
8,französisch,75,33.325234266878915,0.019876919299084427
9,katholisch,33,33.07760113316392,0.01972921789734141
10,russisch,30,30.11871045741431,0.017964380155896284
11,lernen,129,28.668241458604307,0.017099244295056305
12,gesellschaftlich,191,28.61209592920445,0.01706575615366927
13,fächerübergreifend,35,28.444238875301647,0.016965637394188438
14,gemäß,28,28.005070592812103,0.016703694374077756
15,grundsatzband,27,27.139396560035898,0.016187360932847995
16,italienisch,26,26.220672105595114,0.01563938543497837
17,lebenslang,26,26.11542354147001,0.015576609665760797
18,kap,26,26.11485464173202,0.015576270344089694
19,geographie,25,25.251514161917164,0.015061328756358138
20,sprache,89,24.919203183143743,0.014863121042216309
