rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,lernkompetenz,181,128.4939646096275,0.02230545662769243
2,medium,427,103.56118800863966,0.017977339203883013
3,nutzen,356,97.813491490844,0.01697958809723513
4,fähigkeit,500,92.91899878093575,0.016129945896629895
5,inhalt,433,92.91647629655165,0.016129508014849265
6,selbstständig,216,83.80690116475323,0.014548163446516046
7,gehören,69,69.32827751255903,0.01203479783526848
8,umgang,212,62.528115573902845,0.01085434770560834
9,vielfältig,146,62.262531538399095,0.010808244581598321
10,thema,195,60.18473849389196,0.010447557425774488
11,stehen,107,58.93174890182563,0.010230049116448871
12,funktion,100,58.47963690579631,0.0101515663289582
13,verstehen,215,58.00595232297716,0.010069338724343627
14,durchführen,67,56.25704972829057,0.009765744146260871
15,wissen,354,54.80718746169975,0.009514060419310584
16,bedeutung,221,54.2895703783361,0.009424206507200416
17,entwicklung,379,50.603653518201206,0.008784362768961064
18,planen,105,50.24420103908183,0.008721964883526738
19,mittelpunkt,62,49.91171115222818,0.008664247474208006
20,zusammenhang,199,49.291132912574625,0.008556520383284041
