Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
politisch,kennen,kompetenz,jahrgangsstufe,unterricht,fach,fachübergreifend,anforderung,beruf,fähigkeit
entwicklung,historisch,wissen,niveaustuf,kompetenz,kompetenz,digital,system,kontext,entwickeln
leben,geschichte,unterschiedlich,niveaustufen,förderschwerpunkt,inhalt,inhalt,individuell,voraussetzung,lernkompetenz
sozial,mensch,entwickeln,biologie,sonderpädagogisch,unterricht,bezug,leistung,bildung,meinung
gesellschaftlich,verschieden,ziel,entwickeln,lernende,individuell,fach,reflektieren,festigen,verstehen
bildung,menschlich,naturwissenschaftlich,religionsunterricht,ermöglichen,beitrag,medium,entwickeln,struktur,angemessen
ziel,gegenwart,lassen,gemäß,entwicklung,didaktisch,sprachbildung,erreicht,prozess,treffen
klassenstuf,thema,nutzen,englisch,gemeinsam,grundsatz,leitperspektiven,voraussetzung,inklusive,bereich
gesellschaft,zukunft,fähigkeit,analysieren,erreichen,fördern,globales,unterstützen,verknüpfung,einstellung
ökonomisch,erkennen,grundlage,deutsch,zusammenhang,lernende,fachbezoge,lernende,übergreifend,verhalten
demokratie,beurteilen,bewusst,kunst,kontext,gesellschaftswissenschaftlich,welt,hilfe,gesellschaft,umgang
wirtschaftlich,wahrnehmung,medium,überprüfen,unterstützung,überfachliche,sozial,fähigkeit,verstehen,medium
handeln,beschreiben,lernende,französisch,erwerb,inhaltsverzeichnis,unterricht,standard,bleiben,entscheidung
natur,verhalten,problem,latein,wahlbereich,grundlage,kompetenz,erfolgen,kompetenz,vertreten
nachhaltig,denken,erwerb,beschreiben,kompetenzorientiert,wissen,information,berücksichtigen,inklusion,selbstständig
unterricht,möglichkeit,methode,teil,lernbereich,querschnittsaufgabe,erziehung,norm,text,ding
global,umgang,angemessen,wert,kerncurriculum,berücksichtigen,interkulturelle,kompetenzbereiche,aufgabe,handeln
mensch,aspekt,ermöglichen,lebenslang,stellen,basiskonzept,rechtserziehung,grundsätzlich,anforderung,planen
unterschiedlich,leben,bilden,ethikunterricht,kompetenzerwartunge,standard,bildung,lehrkraft,projekt,arbeiten
setzen,europa,erfahrung,spanisch,fachbezogen,fachliche,modul,unterricht,erklärung,interesse
