Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
medium,sozial,kompetenz,fach,unterricht
digital,kennen,fähigkeit,kompetenz,individuell
unterricht,politisch,entwickeln,unterricht,jahrgangsstufe
fördern,fachübergreifend,unterschiedlich,inhalt,lernende
nutzen,inhalt,reflektieren,verstehen,niveaustuf
welt,leben,nutzen,lernkompetenz,förderschwerpunkt
fach,bezug,lernende,beitrag,anforderung
klassenstuf,gesellschaft,angemessen,didaktisch,wissen
leben,bildung,problem,grundsatz,sonderpädagogisch
individuell,entwicklung,historisch,ziel,kontext
bildung,mensch,ziel,strukturieren,niveaustufen
zusammenhang,gesellschaftlich,wissen,fähigkeit,beruflich
kompetenz,demokratie,handeln,entwicklung,ermöglichen
sozial,sprachbildung,entscheidung,konflikt,entwickeln
information,leitperspektiven,methode,verantwortung,kerncurriculum
form,globales,kennen,methodisch,voraussetzung
insbesondere,fachbezoge,treffen,grundlage,gestalten
kritisch,beruf,grundlage,einzeln,stellen
gestaltung,thema,beschreiben,gelten,kompetenz
ziel,kultur,bewusst,zunehmend,erreichen
