rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,frage,656,559.6700526211015,0.030181258447326022
2,historisch,459,467.83547146585903,0.025228906226106233
3,geschichte,421,418.3356096520128,0.022559533234798375
4,gesellschaft,588,243.63884419803878,0.013138682139791092
5,handeln,699,196.42428171787083,0.010592548206024767
6,philosophisch,253,194.04462331550988,0.010464220658532013
7,perspektive,312,179.05147078761547,0.009655686756699476
8,philosophie,184,169.12904646990305,0.009120601394610869
9,leben,1009,151.4506419619073,0.008167260237810735
10,natur,1266,140.10967086040353,0.0075556770768838285
11,sinn,278,139.7993398422253,0.00753894189403816
12,politik,122,137.6155039386272,0.007421174442475649
13,menschlich,449,132.0267035825264,0.00711978788950927
14,anthropologie,152,128.07345669890316,0.006906601628529364
15,gesellschaftlich,433,125.17072991035336,0.006750066636176452
16,wesen,328,121.42056886530358,0.006547832160364026
17,staat,150,119.63033233075511,0.006451290293816036
18,kultur,374,114.02625040968667,0.006149079653765476
19,herrschaft,113,113.90441418431752,0.006142509406547688
20,welt,608,112.55656923479448,0.006069824336875007
