document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,3,0.6613301427597186,"der Umsetzung eines toleranten und respektvollen Umgangs miteinander, beurteilen Herausforderungen des Zusammenlebens in einer komplexen und globalen Welt mit vielfältigen kulturellen Ausprägungen und Werten. Inhaltsfeld : Verantwortung Inhaltliche Schwerpunkte: - Mensch und Natur - Wahrheit, Wahrhaftigkeit und Lüge Sachkompetenz Die Schülerinnen und Schüler beschreiben Beziehungen zwischen Mensch und Tier sowie zwischen Mensch und Natur, untersuchen ethische Positionen und daraus folgende Konsequenzen",NRW,,Sek1,2024.0,"Ethik, Philo"
1,3,0.8802850367359372,"globalen Welt mit vielfältigen kulturellen Ausprägungen und Werten. Inhaltsfeld : Verantwortung Inhaltliche Schwerpunkte: - Mensch und Natur - Wahrheit, Wahrhaftigkeit und Lüge Sachkompetenz Die Schülerinnen und Schüler beschreiben Beziehungen zwischen Mensch und Tier sowie zwischen Mensch und Natur, untersuchen ethische Positionen und daraus folgende Konsequenzen hinsichtlich eines verantwortungsvollen Umgangs des Menschen mit Tieren und der Natur, unterscheiden zwischen Wahrheit, Wahrhaftigkeit und",NRW,,Sek1,2024.0,"Ethik, Philo"
2,3,0.9746181183890158,"Ausprägungen und Werten. Inhaltsfeld : Verantwortung Inhaltliche Schwerpunkte: - Mensch und Natur - Wahrheit, Wahrhaftigkeit und Lüge Sachkompetenz Die Schülerinnen und Schüler beschreiben Beziehungen zwischen Mensch und Tier sowie zwischen Mensch und Natur, untersuchen ethische Positionen und daraus folgende Konsequenzen hinsichtlich eines verantwortungsvollen Umgangs des Menschen mit Tieren und der Natur, unterscheiden zwischen Wahrheit, Wahrhaftigkeit und Lüge, erläutern Wertekonflikte in Bezug",NRW,,Sek1,2024.0,"Ethik, Philo"
3,5,0.6173066770731439,"entwerfen Ideen einer friedfertigeren Welt, stellen Chancen und Gefahren von technischen und wissenschaftlichen Entwicklungen dar, erläutern Möglichkeiten und Grenzen eigenen Handelns hinsichtlich der Gestaltung von Nachhaltigkeitsprozessen u. a. im Kontext Mensch - Natur - Technik, gegenwärtige - nachfolgende Generationen. Urteilskompetenz Die Schülerinnen und Schüler erörtern kriteriengeleitet Konzepte von Frieden und Krieg u. a. Pazifismus, bellum iustum, beurteilen Chancen und Gefahren von",NRW,,Sek1,2024.0,"Ethik, Philo"
4,5,0.96476185187435,"deshalb mit Blick auf die nachfolgenden Inhaltsfelder bis zum Ende der Sekundarstufe I entwickelt werden. Inhaltsfeld : Das Selbst In diesem Inhaltsfeld geht es um Konzepte in Bezug auf den Menschen, dessen Persönlichkeit und Entwicklung. Hierbei werden individuelle Fähigkeiten, Emotionen sowie Vernunft und Vorstellungen des Seins besprochen. Verschiedene Möglichkeiten, sich und die eigene Persönlichkeit auszudrücken, werden in den Blick genommen. Durch",NRW,,Sek1,2024.0,"Ethik, Philo"
5,5,0.8446857533488016,die Auseinandersetzung mit diesen Konzepten werden eigene Handlungsmöglichkeiten eröffnet. Inhaltsfeld : Zwischenmenschliche Beziehungen Dieses Inhaltsfeld greift zwischenmenschliche Beziehungen auf einer persönlichen und gemeinschaftlichen Ebene auf. Lebensweisen und soziale Beziehungen von Menschen mit unterschiedlichen Wertvorstellungen und Weltanschauungen werden fokussiert. Die Bedeutung der vielfältigen Beziehungen für das eigene Leben und für die Gemeinschaft wird verdeutlicht. Inhaltsfeld : Verantwortung In diesem Inhaltsfeld geht es,NRW,,Sek1,2024.0,"Ethik, Philo"
6,5,0.9677315528221324,vielfältigen Beziehungen für das eigene Leben und für die Gemeinschaft wird verdeutlicht. Inhaltsfeld : Verantwortung In diesem Inhaltsfeld geht es um das menschliche Handeln und die damit verbundene Verantwortung des Menschen für sich selbst und die Welt. Im Fokus steht das Verhältnis von Freiheit und Verantwortung der Einzelper son sowie verantwortliches Handeln in der Gesellschaft. Es werden die Gültigkeit moralischer Maßstäbe,NRW,,Sek1,2024.0,"Ethik, Philo"
7,5,0.9714241572167018,"in den Blick genommen. Inhaltsfeld : Gegenwart und Zukunft Dieses Inhaltsfeld greift das Spannungsverhältnis von Gegenwart und Zukunft auf. Dabei stehen das menschliche Handeln und die damit verbundene Verantwortung des Menschen für sich und die Welt im Fokus. Krieg und Frieden, Konsumgewohnheiten und Konsumverantwortung sowie ökologische Krisen werden multiperspektivisch analysiert. Dabei werden Möglichkeiten und Grenzen werteorientierten Handelns im Kontext der Gestaltung",NRW,,Sek1,2024.0,"Ethik, Philo"
8,3,0.5243093129986819,"Die Schülerinnen und Schüler erläutern Merkmale ihrer Person und ihrer Persönlichkeit, identifizieren menschliche Bedürfnisse und Fähigkeiten und die damit einhergehenden Stärken und Schwächen, erläutern den Einfluss von Emotionen auf den Menschen und für das Zusammenleben, entwickeln Vorstellungen von Rollen und deren Entwicklung, erläutern unterschiedliche Möglichkeiten des Ausdrucks von Persönlichkeit u. a. sprachlich, künstlerisch, spielerisch. Urteilskompetenz Die Schülerinnen und Schüler reflektieren die",NRW,,Sek1,2024.0,"Ethik, Philo"
9,3,0.9722053630711259,"und Lüge Sachkompetenz Die Schülerinnen und Schüler beschreiben Beziehungen zwischen Mensch und Tier sowie zwischen Mensch und Natur, untersuchen ethische Positionen und daraus folgende Konsequenzen hinsichtlich eines verantwortungsvollen Umgangs des Menschen mit Tieren und der Natur, unterscheiden zwischen Wahrheit, Wahrhaftigkeit und Lüge, erläutern Wertekonflikte in Bezug auf den Umgang mit Wahrheit und Lüge. Urteilskompetenz Die Schülerinnen und Schüler erörtern eine Verantwortung",NRW,,Sek1,2024.0,"Ethik, Philo"
10,3,0.8937434233004322,"Tieren und der Natur, unterscheiden zwischen Wahrheit, Wahrhaftigkeit und Lüge, erläutern Wertekonflikte in Bezug auf den Umgang mit Wahrheit und Lüge. Urteilskompetenz Die Schülerinnen und Schüler erörtern eine Verantwortung des Menschen gegenüber Tieren und der Natur, beurteilen ethische Positionen hinsichtlich ihrer Tragfähigkeit, prüfen kriteriengeleitet den Wahrheitsgehalt von Aussagen, beurteilen Wertekonflikte in Bezug auf den Umgang mit Wahrheit und Lüge. Inhaltsfeld :",NRW,,Sek1,2024.0,"Ethik, Philo"
11,5,0.6104217233045308,"unter Berücksichtigung unterschiedlicher Perspektiven kriteriengeleitet eigene, argumentativ gestützte Urteile. Handlungskompetenz Die Schülerinnen und Schüler entwickeln zunehmend eigenständig verantwortbare Handlungsperspektiven, vertreten ihre eigene Position unter Einbezug der Lebenssituation und Perspektive anderer Menschen, entwickeln für die Präsentation und Diskussion philosophisch dimensionierte Medienprodukte, rechtfertigen eigene Entscheidungen und Handlungen durch philosophisch dimensionierte Begründungen, diskutieren philosophische Problemstellungen. Die Kompetenzen der Schülerinnen und Schüler sollen im Rahmen",NRW,,Sek1,2024.0,"Ethik, Philo"
12,4,0.3404392098539219,"und Gefahren von sozialen Netzwerken einfache Techniken der Selbstkontrolle bei der Mediennutzung Eth Lernbereich : Dem Anderen begegnen ca. Std. Kompetenzerwartungen Die Schülerinnen und Schüler ... akzeptieren, dass jedem anderen Menschen in gleichem Maße das Recht auf Selbstentfaltung zukommt wie ihnen selbst, z. B. in der Gleichaltrigengruppe. stellen im Umgang mit Gleichaltrigen eigene und fremde Gedankengänge verständlich, strukturiert und sachgerecht dar.",Bayern,Gym,6,,"Ethik, Philo"
13,4,0.8837342926027035,"Gedankengänge verständlich, strukturiert und sachgerecht dar. Sie berücksichtigen dabei, dass gelingende Kommunikation einen wesentlichen Beitrag zu einem respektvollen und menschlichen Umgang mit Anderen leistet. überprüfen in der Begegnung mit anderen Menschen ihre spontanen Urteile über sie, respektieren deren Recht, anders zu sein, und nehmen dieses Recht auch für sich wahr. vollziehen Gefühle, Gedanken und Probleme von anderen nach und berücksichtigen diese",Bayern,Gym,6,,"Ethik, Philo"
14,3,0.9659020780590984,"im Zusammenhang mit ihrem Konsum- und Freizeitverhalten ihre eigenen Bedürfnisse bewusst, auch vor dem Hintergrund, dass ihre Freizeit begrenzt ist. beschreiben und bewerten in konkreten Zusammenhängen, welche Folgen Konsumverhalten auf Menschen in anderen Ländern und auf unsere Umwelt hat, und berücksichtigen dies in ihrem Handeln, z. B. beim schonenden Umgang mit Arbeitsmaterial in der Schule. wenden bezüglich ihres Konsumverhaltens einfache Techniken",Bayern,Gym,6,,"Ethik, Philo"
15,4,0.9701180386568075,"in diesem Zusammenhang den Grund- und Menschenrechten und den Prinzipien des demokratischen und sozialen Rechtsstaates zu. Dem Menschenbild der Aufklärung verpflichtet, wurzeln diese rechtlichen Bestimmungen in der Überzeugung, dass der Mensch eine spezifische Würde besitzt, d. h. einen unverfügbaren, nicht im Namen anderer Prinzipien zu relativierenden Eigenwert. Der Mensch hat demnach das Recht, seine Persönlichkeit frei und eigenverantwortlich zu entfalten und",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
16,4,0.9712097930317182,"der Aufklärung verpflichtet, wurzeln diese rechtlichen Bestimmungen in der Überzeugung, dass der Mensch eine spezifische Würde besitzt, d. h. einen unverfügbaren, nicht im Namen anderer Prinzipien zu relativierenden Eigenwert. Der Mensch hat demnach das Recht, seine Persönlichkeit frei und eigenverantwortlich zu entfalten und sich als selbstbestimmtes Individuum an der Gestaltung des menschlichen Zusammenlebens zu beteiligen. Diesen Zielsetzungen verpflichtet, bezieht sich das",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
17,2,0.9802914154712562,"Aspekte ethischen Handelns. christliche Sozialethik z. B. Caritas, Diakonisches Werk, Liebesgebot, Humanismus, Fünf-Säulen des Islam, Achtfacher Pfad, Konfuzianismus etc. setzen sich mit grundlegenden Aspekten religiöser und weltanschaulicher Menschenund Weltbilder auseinander. Mensch als Ebenbild Gottes, Mensch als Teil der Schöpfung, Mensch als Produkt der Evolution, humanistisches Menschenbild, Mensch als Bedürfnis- und Triebwesen Welt als Schöpfung, Weltbilder in Mythen ptolemäisches vs. kopernikanisches Weltbild",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
