rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,handeln,523,78.62489896793868,0.18752559831813562
2,motiv,58,57.701748081176426,0.1376224958627585
3,motivation,32,21.363884668387655,0.05095428175332475
4,relevant,152,17.87137025459449,0.04262440325836677
5,intern,15,14.936516120595014,0.03562458151386915
6,extern,15,14.936512913705586,0.03562457386522519
7,bzgl,26,14.294184480277941,0.034092577953289106
8,bestimmen,42,11.302898243080872,0.026958161900176924
9,egoistisch,10,9.789568249251769,0.02334876950323019
10,teilnehmend,10,9.789554330365348,0.023348736305763
11,moralischsein,10,9.789548789450592,0.02334872309031384
12,milgramexperiment,10,9.78954376978561,0.02334871111807996
13,wichtig,63,9.451845371135363,0.022543278041672613
14,unterschied,39,7.868474660622901,0.01876683389044593
15,intrinsisch,8,7.841776706908852,0.018703157500271635
16,extrinsisch,8,7.8417643546396905,0.0187031280392905
17,altruistisch,8,7.841599641613656,0.0187027351877999
18,führ,7,6.915219634312442,0.01649325743432186
19,auswertung,6,5.893844541881661,0.01405721010288521
20,motivtagebuch,6,5.893830228891912,0.014057175965455443
