Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
wert,wert,regel,wert,politisch
werturteil,gesellschaftlich,wert,moralisch,wert
lernen,entscheidung,europäisch,handeln,sozial
fach,unterricht,möglich,ethik,gesellschaftlich
bildung,fach,verschieden,ethisch,bne
mensch,bezug,gesetz,leben,ökonomisch
handeln,gesellschaft,familie,frage,bewerten
kriterium,argument,technisch,gerechtigkeit,kriterium
unterricht,ethisch,möglichkeit,bedeutung,sachverhalt
zusammenhang,reflektieren,deutschland,erläutern,wertvorstellung
kompetenz,erkennen,bestimmt,toleranz,beurteilen
nachhaltig,wertvorstellung,bedeutung,mensch,iii
dimension,verschieden,sicherheit,kompetenz,religiös
bne,religion,sozial,wichtig,formulieren
entwicklung,sozial,bereich,menschenrecht,beschreiben
verwendung,unterschiedlich,ritual,sinn,begründen
leben,historisch,inhalt,beschreiben,gesellschaft
bewertung,institution,wertvorstellung,rechtlich,international
berücksichtigung,religiös,gesellschaftlich,moral,medium
ethikunterricht,reflexion,gebot,zusammenleben,perspektive
